"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.791892978395507,2,4,1,4,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
2,0.890963398382173,2,0,1,4,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
3,0.716229490322559,2,1,1,5,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
4,0.907412344900897,2,5,1,10,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
5,0.895832441882895,2,6,1,16,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
6,0.5,2,2,1,18,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
7,1.11919991662298,2,0,1,18,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
8,0.756274052079551,2,2,1,20,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
9,0.60936316402206,2,-2,1,18,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
10,0.621047215324827,2,2,1,20,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
11,0.776155353787059,2,2,1,22,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
12,0.567180425767656,2,2,1,24,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
13,0.861637256508913,2,5,1,29,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
14,0.888290398886241,2,2,1,31,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
15,0.5,2,1,1,32,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
16,1.05412581867555,2,4,1,36,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
17,0.59505343424276,2,0,1,36,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
18,0.573297950554439,2,2,1,38,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
19,0.618402176545549,2,2,1,40,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
20,0.736771731496657,2,4,1,44,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
1,0.742587877382614,2,7,2,7,"1;2","HNZDCFPy",0,2,NA,0,0.68,2
