"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.60048016711384,2,1,1,1,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
2,0.580254524187606,1,5,1,6,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
3,0.583492262491566,1,1,1,7,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
4,0.774326349085759,1,5,1,12,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
5,0.549782945650298,1,4,1,16,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
6,1.168867554151,2,6,1,22,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
7,0.812420998099227,1,2,1,24,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
8,0.528978078185544,1,2,1,26,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
9,0.967693336577182,2,4,1,30,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
10,0.5,2,6,1,36,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
11,0.710088451620925,2,5,1,41,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
12,0.607375968037702,1,2,1,43,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
13,1.2057831703663,1,3,1,46,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
14,0.5,2,2,1,48,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
15,1.27584352481286,2,5,1,53,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
16,0.827484255122277,2,2,1,55,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
17,1.20825887082541,2,5,1,60,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
18,0.899376759316975,2,4,1,64,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
19,1.0047708929949,2,5,1,69,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
20,1.07943577728058,2,0,1,69,"2;1","HZu7cIAG",0,3,NA,0,0.48,1
1,0.568012501540607,1,5,2,5,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
2,0.5,1,0,2,5,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
3,0.678377874135818,1,1,2,6,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
4,0.694360470298374,2,2,2,8,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
5,0.693278437776889,1,1,2,9,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
6,0.831200586900073,2,5,2,14,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
7,0.950374019283937,2,-16,2,-2,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
8,0.721446304510826,2,-6,2,-8,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
9,0.959346719221719,2,2,2,-6,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
10,1.17799061795129,1,0,2,-6,"1;2","HZu7cIAG",0,3,NA,0,0.48,1
