"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.684553904090757,1,3,1,3,"1;2","I2dcwRZc",100,5,3,0,0.6,2
2,1.04918618219962,1,4,1,7,"1;2","I2dcwRZc",100,5,3,0,0.6,2
3,0.918845394551653,1,4,1,11,"1;2","I2dcwRZc",100,5,3,0,0.6,2
4,0.541987450672479,1,0,1,11,"1;2","I2dcwRZc",100,5,3,0,0.6,2
5,0.777753218440748,2,2,1,13,"1;2","I2dcwRZc",100,5,3,0,0.6,2
6,0.752769460042951,1,3,1,16,"1;2","I2dcwRZc",100,5,3,0,0.6,2
7,1.19380279579168,1,6,1,22,"1;2","I2dcwRZc",100,5,3,0,0.6,2
8,0.763281214156468,1,2,1,24,"1;2","I2dcwRZc",100,5,3,0,0.6,2
9,1.02997025197878,2,0,1,24,"1;2","I2dcwRZc",100,5,3,0,0.6,2
10,1.23719642164999,1,6,1,30,"1;2","I2dcwRZc",100,5,3,0,0.6,2
11,0.582219762814167,1,1,1,31,"1;2","I2dcwRZc",100,5,3,0,0.6,2
12,1.06941338765266,1,1,1,32,"1;2","I2dcwRZc",100,5,3,0,0.6,2
13,0.597887467879667,2,2,1,34,"1;2","I2dcwRZc",100,5,3,0,0.6,2
14,0.934274893565576,1,4,1,38,"1;2","I2dcwRZc",100,5,3,0,0.6,2
15,0.737321182546601,1,3,1,41,"1;2","I2dcwRZc",100,5,3,0,0.6,2
16,0.645457015798353,1,3,1,44,"1;2","I2dcwRZc",100,5,3,0,0.6,2
17,0.543848448255277,1,4,1,48,"1;2","I2dcwRZc",100,5,3,0,0.6,2
18,1.42373500613267,2,-1,1,47,"1;2","I2dcwRZc",100,5,3,0,0.6,2
19,0.873761878224206,2,1,1,48,"1;2","I2dcwRZc",100,5,3,0,0.6,2
20,0.99473778095994,2,5,1,53,"1;2","I2dcwRZc",100,5,3,0,0.6,2
1,0.739876528823009,2,-14,2,-14,"1;2","I2dcwRZc",100,5,3,0,0.6,2
2,0.836809532083485,2,4,2,-10,"1;2","I2dcwRZc",100,5,3,0,0.6,2
3,1.02784816794789,2,7,2,-3,"1;2","I2dcwRZc",100,5,3,0,0.6,2
4,0.830755325261204,2,1,2,-2,"1;2","I2dcwRZc",100,5,3,0,0.6,2
5,0.586167200099642,2,-24,2,-26,"1;2","I2dcwRZc",100,5,3,0,0.6,2
6,0.5,2,0,2,-26,"1;2","I2dcwRZc",100,5,3,0,0.6,2
7,0.653035530443647,2,1,2,-25,"1;2","I2dcwRZc",100,5,3,0,0.6,2
8,0.586101972359824,1,5,2,-20,"1;2","I2dcwRZc",100,5,3,0,0.6,2
9,0.79827998824028,2,13,2,-7,"1;2","I2dcwRZc",100,5,3,0,0.6,2
10,1.00869230106342,2,1,2,-6,"1;2","I2dcwRZc",100,5,3,0,0.6,2
11,0.5,2,15,2,9,"1;2","I2dcwRZc",100,5,3,0,0.6,2
12,1.07131322325927,2,19,2,28,"1;2","I2dcwRZc",100,5,3,0,0.6,2
13,0.500307290828319,2,14,2,42,"1;2","I2dcwRZc",100,5,3,0,0.6,2
14,1.26299748386631,2,7,2,49,"1;2","I2dcwRZc",100,5,3,0,0.6,2
15,0.517711432670404,2,22,2,71,"1;2","I2dcwRZc",100,5,3,0,0.6,2
16,1.17396947556442,2,13,2,84,"1;2","I2dcwRZc",100,5,3,0,0.6,2
17,0.751194018390489,2,11,2,95,"1;2","I2dcwRZc",100,5,3,0,0.6,2
18,0.638395953492522,2,8,2,103,"1;2","I2dcwRZc",100,5,3,0,0.6,2
19,0.995230933370333,1,9,2,112,"1;2","I2dcwRZc",100,5,3,0,0.6,2
20,0.628050638743089,1,6,2,118,"1;2","I2dcwRZc",100,5,3,0,0.6,2
21,0.98617481215865,2,-4,2,114,"1;2","I2dcwRZc",100,5,3,0,0.6,2
22,0.931574254270137,1,0,2,114,"1;2","I2dcwRZc",100,5,3,0,0.6,2
23,0.602862407652533,1,4,2,118,"1;2","I2dcwRZc",100,5,3,0,0.6,2
24,0.928596767420479,1,6,2,124,"1;2","I2dcwRZc",100,5,3,0,0.6,2
25,1.01472130785636,1,5,2,129,"1;2","I2dcwRZc",100,5,3,0,0.6,2
1,0.969350603175988,2,-12,3,-12,"1;2","I2dcwRZc",100,5,3,0,0.6,2
2,0.60489717076281,1,8,3,-4,"1;2","I2dcwRZc",100,5,3,0,0.6,2
3,0.565718429157857,1,5,3,1,"1;2","I2dcwRZc",100,5,3,0,0.6,2
4,0.5,1,3,3,4,"1;2","I2dcwRZc",100,5,3,0,0.6,2
5,0.969663964294996,1,5,3,9,"1;2","I2dcwRZc",100,5,3,0,0.6,2
6,1.04643960604112,1,4,3,13,"1;2","I2dcwRZc",100,5,3,0,0.6,2
7,0.67221860696853,1,7,3,20,"1;2","I2dcwRZc",100,5,3,0,0.6,2
8,0.5,1,3,3,23,"1;2","I2dcwRZc",100,5,3,0,0.6,2
9,1.01676296368633,2,-25,3,-2,"1;2","I2dcwRZc",100,5,3,0,0.6,2
10,0.658644114032311,2,-2,3,-4,"1;2","I2dcwRZc",100,5,3,0,0.6,2
11,0.856601294595098,2,3,3,-1,"1;2","I2dcwRZc",100,5,3,0,0.6,2
12,0.898109173886217,1,6,3,5,"1;2","I2dcwRZc",100,5,3,0,0.6,2
13,0.831570719651032,2,7,3,12,"1;2","I2dcwRZc",100,5,3,0,0.6,2
14,0.5,2,12,3,24,"1;2","I2dcwRZc",100,5,3,0,0.6,2
15,1.09299646984924,2,-17,3,7,"1;2","I2dcwRZc",100,5,3,0,0.6,2
16,0.824257029198695,2,9,3,16,"1;2","I2dcwRZc",100,5,3,0,0.6,2
17,1.23583249489565,2,17,3,33,"1;2","I2dcwRZc",100,5,3,0,0.6,2
18,0.867863159091589,2,9,3,42,"1;2","I2dcwRZc",100,5,3,0,0.6,2
19,0.921946265171163,1,6,3,48,"1;2","I2dcwRZc",100,5,3,0,0.6,2
20,1.23358408527531,1,2,3,50,"1;2","I2dcwRZc",100,5,3,0,0.6,2
21,1.10693067545567,2,-7,3,43,"1;2","I2dcwRZc",100,5,3,0,0.6,2
22,1.25123688532647,2,3,3,46,"1;2","I2dcwRZc",100,5,3,0,0.6,2
23,1.04675172307333,2,-14,3,32,"1;2","I2dcwRZc",100,5,3,0,0.6,2
24,0.5,2,8,3,40,"1;2","I2dcwRZc",100,5,3,0,0.6,2
25,0.619214993743991,1,4,3,44,"1;2","I2dcwRZc",100,5,3,0,0.6,2
1,0.927784843342298,2,5,4,5,"2;1","I2dcwRZc",100,5,3,0,0.6,2
2,0.810428714471556,1,23,4,28,"2;1","I2dcwRZc",100,5,3,0,0.6,2
3,1.0539105200669,1,8,4,36,"2;1","I2dcwRZc",100,5,3,0,0.6,2
4,0.804068674073153,1,11,4,47,"2;1","I2dcwRZc",100,5,3,0,0.6,2
5,0.87083041119316,1,-10,4,37,"2;1","I2dcwRZc",100,5,3,0,0.6,2
6,0.66605327868353,1,8,4,45,"2;1","I2dcwRZc",100,5,3,0,0.6,2
7,0.646210704959367,1,13,4,58,"2;1","I2dcwRZc",100,5,3,0,0.6,2
8,0.895998936481699,1,14,4,72,"2;1","I2dcwRZc",100,5,3,0,0.6,2
9,0.679577050398837,1,-7,4,65,"2;1","I2dcwRZc",100,5,3,0,0.6,2
10,0.5,1,8,4,73,"2;1","I2dcwRZc",100,5,3,0,0.6,2
11,0.9296091788374,1,26,4,99,"2;1","I2dcwRZc",100,5,3,0,0.6,2
12,0.929356155657262,1,-14,4,85,"2;1","I2dcwRZc",100,5,3,0,0.6,2
13,1.06297224957731,1,-27,4,58,"2;1","I2dcwRZc",100,5,3,0,0.6,2
14,1.11950496760973,1,-10,4,48,"2;1","I2dcwRZc",100,5,3,0,0.6,2
15,0.659564302111327,1,-13,4,35,"2;1","I2dcwRZc",100,5,3,0,0.6,2
16,0.638102685773064,1,5,4,40,"2;1","I2dcwRZc",100,5,3,0,0.6,2
17,0.623121394514758,1,14,4,54,"2;1","I2dcwRZc",100,5,3,0,0.6,2
18,0.967148619626306,1,6,4,60,"2;1","I2dcwRZc",100,5,3,0,0.6,2
19,0.5,1,8,4,68,"2;1","I2dcwRZc",100,5,3,0,0.6,2
20,1.11534006741471,1,-7,4,61,"2;1","I2dcwRZc",100,5,3,0,0.6,2
21,0.860310184587098,2,3,4,64,"2;1","I2dcwRZc",100,5,3,0,0.6,2
22,1.0706131584296,1,7,4,71,"2;1","I2dcwRZc",100,5,3,0,0.6,2
23,0.5,1,14,4,85,"2;1","I2dcwRZc",100,5,3,0,0.6,2
24,0.660004294022092,1,4,4,89,"2;1","I2dcwRZc",100,5,3,0,0.6,2
25,0.890706284379763,1,14,4,103,"2;1","I2dcwRZc",100,5,3,0,0.6,2
1,0.952607040649538,2,-17,5,-17,"1;2","I2dcwRZc",100,5,3,0,0.6,2
2,0.987338888069334,2,1,5,-16,"1;2","I2dcwRZc",100,5,3,0,0.6,2
3,0.899641241204663,2,1,5,-15,"1;2","I2dcwRZc",100,5,3,0,0.6,2
4,0.5,2,7,5,-8,"1;2","I2dcwRZc",100,5,3,0,0.6,2
5,0.859925506297111,2,14,5,6,"1;2","I2dcwRZc",100,5,3,0,0.6,2
6,0.50339374277592,2,12,5,18,"1;2","I2dcwRZc",100,5,3,0,0.6,2
7,0.62725560563477,2,-17,5,1,"1;2","I2dcwRZc",100,5,3,0,0.6,2
8,0.697054727587204,2,-11,5,-10,"1;2","I2dcwRZc",100,5,3,0,0.6,2
9,0.753602193363887,2,5,5,-5,"1;2","I2dcwRZc",100,5,3,0,0.6,2
10,1.01685171788938,2,4,5,-1,"1;2","I2dcwRZc",100,5,3,0,0.6,2
