"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.808499436690108,1,4,1,4,"1;2","IgepzQY2",0,1,NA,0,1.17,2
2,1.14555045093397,1,5,1,9,"1;2","IgepzQY2",0,1,NA,0,1.17,2
3,0.620304242777529,1,2,1,11,"1;2","IgepzQY2",0,1,NA,0,1.17,2
4,1.21091551563133,1,4,1,15,"1;2","IgepzQY2",0,1,NA,0,1.17,2
5,0.946308002683119,1,3,1,18,"1;2","IgepzQY2",0,1,NA,0,1.17,2
6,1.200056325246,1,2,1,20,"1;2","IgepzQY2",0,1,NA,0,1.17,2
7,1.1325098912729,1,4,1,24,"1;2","IgepzQY2",0,1,NA,0,1.17,2
8,0.569907447128069,1,4,1,28,"1;2","IgepzQY2",0,1,NA,0,1.17,2
9,0.5,1,5,1,33,"1;2","IgepzQY2",0,1,NA,0,1.17,2
10,1.09802133426619,1,3,1,36,"1;2","IgepzQY2",0,1,NA,0,1.17,2
11,1.01134995716851,1,3,1,39,"1;2","IgepzQY2",0,1,NA,0,1.17,2
12,0.907188247854931,1,6,1,45,"1;2","IgepzQY2",0,1,NA,0,1.17,2
13,0.730238755623959,1,6,1,51,"1;2","IgepzQY2",0,1,NA,0,1.17,2
14,0.5,1,-3,1,48,"1;2","IgepzQY2",0,1,NA,0,1.17,2
15,0.97896842469683,1,5,1,53,"1;2","IgepzQY2",0,1,NA,0,1.17,2
16,0.650576962889503,1,1,1,54,"1;2","IgepzQY2",0,1,NA,0,1.17,2
17,0.956941100691921,1,6,1,60,"1;2","IgepzQY2",0,1,NA,0,1.17,2
18,1.03071551652178,1,1,1,61,"1;2","IgepzQY2",0,1,NA,0,1.17,2
19,0.51193829547818,1,1,1,62,"1;2","IgepzQY2",0,1,NA,0,1.17,2
20,0.848704138202024,1,1,1,63,"1;2","IgepzQY2",0,1,NA,0,1.17,2
1,1.07726720714125,2,9,2,9,"1;2","IgepzQY2",0,1,NA,0,1.17,2
2,0.977578412359494,2,8,2,17,"1;2","IgepzQY2",0,1,NA,0,1.17,2
3,0.5,2,3,2,20,"1;2","IgepzQY2",0,1,NA,0,1.17,2
4,0.5,2,19,2,39,"1;2","IgepzQY2",0,1,NA,0,1.17,2
5,0.686031092106417,2,1,2,40,"1;2","IgepzQY2",0,1,NA,0,1.17,2
6,1.10989609922173,2,-9,2,31,"1;2","IgepzQY2",0,1,NA,0,1.17,2
7,0.861653607192586,2,-8,2,23,"1;2","IgepzQY2",0,1,NA,0,1.17,2
8,1.08787688642123,1,6,2,29,"1;2","IgepzQY2",0,1,NA,0,1.17,2
9,0.986537715345232,1,1,2,30,"1;2","IgepzQY2",0,1,NA,0,1.17,2
10,0.5,1,5,2,35,"1;2","IgepzQY2",0,1,NA,0,1.17,2
11,0.529833472620149,1,4,2,39,"1;2","IgepzQY2",0,1,NA,0,1.17,2
12,1.13589466750528,1,5,2,44,"1;2","IgepzQY2",0,1,NA,0,1.17,2
13,0.752796671202026,1,1,2,45,"1;2","IgepzQY2",0,1,NA,0,1.17,2
14,0.941974449446074,1,7,2,52,"1;2","IgepzQY2",0,1,NA,0,1.17,2
15,0.846000837325215,1,2,2,54,"1;2","IgepzQY2",0,1,NA,0,1.17,2
16,0.680045872516232,1,1,2,55,"1;2","IgepzQY2",0,1,NA,0,1.17,2
17,0.585136671631561,1,8,2,63,"1;2","IgepzQY2",0,1,NA,0,1.17,2
18,0.63320104781602,1,2,2,65,"1;2","IgepzQY2",0,1,NA,0,1.17,2
19,0.872172710029351,1,2,2,67,"1;2","IgepzQY2",0,1,NA,0,1.17,2
20,0.5,1,4,2,71,"1;2","IgepzQY2",0,1,NA,0,1.17,2
21,1.15540560384244,1,0,2,71,"1;2","IgepzQY2",0,1,NA,0,1.17,2
22,0.899640957419994,1,6,2,77,"1;2","IgepzQY2",0,1,NA,0,1.17,2
23,0.609009990594409,1,3,2,80,"1;2","IgepzQY2",0,1,NA,0,1.17,2
24,1.21972357041899,1,6,2,86,"1;2","IgepzQY2",0,1,NA,0,1.17,2
25,0.946666987726853,1,2,2,88,"1;2","IgepzQY2",0,1,NA,0,1.17,2
1,0.762536805732064,1,17,3,17,"2;1","IgepzQY2",0,1,NA,0,1.17,2
2,0.905352408332885,1,31,3,48,"2;1","IgepzQY2",0,1,NA,0,1.17,2
3,1.22384948854951,1,-2,3,46,"2;1","IgepzQY2",0,1,NA,0,1.17,2
4,0.801074172765487,1,9,3,55,"2;1","IgepzQY2",0,1,NA,0,1.17,2
5,0.762919032293896,1,12,3,67,"2;1","IgepzQY2",0,1,NA,0,1.17,2
6,0.959675014307569,1,15,3,82,"2;1","IgepzQY2",0,1,NA,0,1.17,2
7,0.5,1,10,3,92,"2;1","IgepzQY2",0,1,NA,0,1.17,2
8,0.618367132533653,1,6,3,98,"2;1","IgepzQY2",0,1,NA,0,1.17,2
9,0.5,1,10,3,108,"2;1","IgepzQY2",0,1,NA,0,1.17,2
10,0.5,1,10,3,118,"2;1","IgepzQY2",0,1,NA,0,1.17,2
11,0.5,1,21,3,139,"2;1","IgepzQY2",0,1,NA,0,1.17,2
12,0.872607148303105,1,7,3,146,"2;1","IgepzQY2",0,1,NA,0,1.17,2
13,0.776744098786833,1,-10,3,136,"2;1","IgepzQY2",0,1,NA,0,1.17,2
14,1.09809983339586,1,30,3,166,"2;1","IgepzQY2",0,1,NA,0,1.17,2
15,0.736209242451736,1,3,3,169,"2;1","IgepzQY2",0,1,NA,0,1.17,2
16,1.42996058073477,2,7,3,176,"2;1","IgepzQY2",0,1,NA,0,1.17,2
17,0.592786679257096,1,-7,3,169,"2;1","IgepzQY2",0,1,NA,0,1.17,2
18,0.700946890056336,1,10,3,179,"2;1","IgepzQY2",0,1,NA,0,1.17,2
19,0.510308339580053,1,0,3,179,"2;1","IgepzQY2",0,1,NA,0,1.17,2
20,1.07335433166291,1,-6,3,173,"2;1","IgepzQY2",0,1,NA,0,1.17,2
21,0.992545600411903,2,4,3,177,"2;1","IgepzQY2",0,1,NA,0,1.17,2
22,0.5,2,4,3,181,"2;1","IgepzQY2",0,1,NA,0,1.17,2
23,0.695028263582065,2,2,3,183,"2;1","IgepzQY2",0,1,NA,0,1.17,2
24,0.57046001293669,2,6,3,189,"2;1","IgepzQY2",0,1,NA,0,1.17,2
25,0.572269733414223,2,3,3,192,"2;1","IgepzQY2",0,1,NA,0,1.17,2
1,0.578628095380627,2,4,4,4,"2;1","IgepzQY2",0,1,NA,0,1.17,2
2,0.607115209596563,2,3,4,7,"2;1","IgepzQY2",0,1,NA,0,1.17,2
3,0.76141234301745,2,1,4,8,"2;1","IgepzQY2",0,1,NA,0,1.17,2
4,0.5,2,1,4,9,"2;1","IgepzQY2",0,1,NA,0,1.17,2
5,0.697307249152186,2,1,4,10,"2;1","IgepzQY2",0,1,NA,0,1.17,2
6,0.835901927802854,2,7,4,17,"2;1","IgepzQY2",0,1,NA,0,1.17,2
7,0.698160638539883,2,3,4,20,"2;1","IgepzQY2",0,1,NA,0,1.17,2
8,0.74886599663169,2,3,4,23,"2;1","IgepzQY2",0,1,NA,0,1.17,2
9,0.652735331220179,2,8,4,31,"2;1","IgepzQY2",0,1,NA,0,1.17,2
10,0.5,2,9,4,40,"2;1","IgepzQY2",0,1,NA,0,1.17,2
11,0.89469441940338,2,2,4,42,"2;1","IgepzQY2",0,1,NA,0,1.17,2
12,0.70124364997917,2,3,4,45,"2;1","IgepzQY2",0,1,NA,0,1.17,2
13,0.857603235405466,2,4,4,49,"2;1","IgepzQY2",0,1,NA,0,1.17,2
14,1.23206223109937,2,4,4,53,"2;1","IgepzQY2",0,1,NA,0,1.17,2
15,0.716747813489069,2,-3,4,50,"2;1","IgepzQY2",0,1,NA,0,1.17,2
16,0.786038937950844,2,6,4,56,"2;1","IgepzQY2",0,1,NA,0,1.17,2
17,1.33378468749868,2,4,4,60,"2;1","IgepzQY2",0,1,NA,0,1.17,2
18,0.725290384602369,2,8,4,68,"2;1","IgepzQY2",0,1,NA,0,1.17,2
19,0.785398893227651,2,7,4,75,"2;1","IgepzQY2",0,1,NA,0,1.17,2
20,0.755600696710536,2,-3,4,72,"2;1","IgepzQY2",0,1,NA,0,1.17,2
21,0.5,2,3,4,75,"2;1","IgepzQY2",0,1,NA,0,1.17,2
22,0.64433083854281,2,-1,4,74,"2;1","IgepzQY2",0,1,NA,0,1.17,2
23,0.698388828444898,2,5,4,79,"2;1","IgepzQY2",0,1,NA,0,1.17,2
24,1.02986500968628,2,5,4,84,"2;1","IgepzQY2",0,1,NA,0,1.17,2
25,0.680897877863065,2,1,4,85,"2;1","IgepzQY2",0,1,NA,0,1.17,2
1,1.03957228644216,1,-1,5,-1,"2;1","IgepzQY2",0,1,NA,0,1.17,2
2,0.97429881703699,2,-1,5,-2,"2;1","IgepzQY2",0,1,NA,0,1.17,2
3,0.682282946086968,2,2,5,0,"2;1","IgepzQY2",0,1,NA,0,1.17,2
4,1.20446801102122,2,2,5,2,"2;1","IgepzQY2",0,1,NA,0,1.17,2
5,0.6499472913809,2,3,5,5,"2;1","IgepzQY2",0,1,NA,0,1.17,2
6,0.5,2,2,5,7,"2;1","IgepzQY2",0,1,NA,0,1.17,2
7,0.908464044038676,2,4,5,11,"2;1","IgepzQY2",0,1,NA,0,1.17,2
8,0.984723155530773,2,1,5,12,"2;1","IgepzQY2",0,1,NA,0,1.17,2
9,0.820272177763212,2,5,5,17,"2;1","IgepzQY2",0,1,NA,0,1.17,2
10,1.02599232075788,2,6,5,23,"2;1","IgepzQY2",0,1,NA,0,1.17,2
11,0.773720377604614,2,4,5,27,"2;1","IgepzQY2",0,1,NA,0,1.17,2
12,1.20350517466139,2,2,5,29,"2;1","IgepzQY2",0,1,NA,0,1.17,2
13,0.749401720841105,2,2,5,31,"2;1","IgepzQY2",0,1,NA,0,1.17,2
14,0.785987663384392,2,3,5,34,"2;1","IgepzQY2",0,1,NA,0,1.17,2
15,0.790356551845647,2,7,5,41,"2;1","IgepzQY2",0,1,NA,0,1.17,2
16,0.990360116716944,1,2,5,43,"2;1","IgepzQY2",0,1,NA,0,1.17,2
17,1.34713449388347,2,-1,5,42,"2;1","IgepzQY2",0,1,NA,0,1.17,2
18,0.977742726828205,2,4,5,46,"2;1","IgepzQY2",0,1,NA,0,1.17,2
19,1.08910711593272,2,5,5,51,"2;1","IgepzQY2",0,1,NA,0,1.17,2
20,0.716145134521849,2,1,5,52,"2;1","IgepzQY2",0,1,NA,0,1.17,2
21,0.842673113689123,2,6,5,58,"2;1","IgepzQY2",0,1,NA,0,1.17,2
22,0.995846953762428,2,2,5,60,"2;1","IgepzQY2",0,1,NA,0,1.17,2
23,0.694921132425386,2,5,5,65,"2;1","IgepzQY2",0,1,NA,0,1.17,2
24,0.74932539072597,2,3,5,68,"2;1","IgepzQY2",0,1,NA,0,1.17,2
25,0.690439097158126,2,5,5,73,"2;1","IgepzQY2",0,1,NA,0,1.17,2
1,0.908579098671005,1,14,6,14,"2;1","IgepzQY2",0,1,NA,0,1.17,2
2,0.799003854262467,1,-4,6,10,"2;1","IgepzQY2",0,1,NA,0,1.17,2
3,0.5,1,9,6,19,"2;1","IgepzQY2",0,1,NA,0,1.17,2
4,0.536990464331396,1,18,6,37,"2;1","IgepzQY2",0,1,NA,0,1.17,2
5,0.75495003649827,1,2,6,39,"2;1","IgepzQY2",0,1,NA,0,1.17,2
6,0.750462520023759,1,4,6,43,"2;1","IgepzQY2",0,1,NA,0,1.17,2
7,0.665001525119639,1,11,6,54,"2;1","IgepzQY2",0,1,NA,0,1.17,2
8,0.732504899641863,1,25,6,79,"2;1","IgepzQY2",0,1,NA,0,1.17,2
9,0.647760154412346,1,-13,6,66,"2;1","IgepzQY2",0,1,NA,0,1.17,2
10,1.07260224455149,1,3,6,69,"2;1","IgepzQY2",0,1,NA,0,1.17,2
11,1.00038003031119,1,27,6,96,"2;1","IgepzQY2",0,1,NA,0,1.17,2
12,0.851800452822779,1,2,6,98,"2;1","IgepzQY2",0,1,NA,0,1.17,2
13,0.954336172097331,1,-8,6,90,"2;1","IgepzQY2",0,1,NA,0,1.17,2
14,0.683922119219431,1,15,6,105,"2;1","IgepzQY2",0,1,NA,0,1.17,2
15,0.925651281711509,1,18,6,123,"2;1","IgepzQY2",0,1,NA,0,1.17,2
16,0.648672505934209,1,12,6,135,"2;1","IgepzQY2",0,1,NA,0,1.17,2
17,0.5,1,13,6,148,"2;1","IgepzQY2",0,1,NA,0,1.17,2
18,0.548629528607248,1,10,6,158,"2;1","IgepzQY2",0,1,NA,0,1.17,2
19,0.936746194244061,1,4,6,162,"2;1","IgepzQY2",0,1,NA,0,1.17,2
20,0.70500780072001,1,17,6,179,"2;1","IgepzQY2",0,1,NA,0,1.17,2
21,0.828349209407019,1,1,6,180,"2;1","IgepzQY2",0,1,NA,0,1.17,2
22,0.877055872339568,1,-26,6,154,"2;1","IgepzQY2",0,1,NA,0,1.17,2
23,0.948532370632072,2,10,6,164,"2;1","IgepzQY2",0,1,NA,0,1.17,2
24,0.90339540137221,2,5,6,169,"2;1","IgepzQY2",0,1,NA,0,1.17,2
25,0.780969911403221,2,-1,6,168,"2;1","IgepzQY2",0,1,NA,0,1.17,2
1,0.5,2,5,7,5,"2;1","IgepzQY2",0,1,NA,0,1.17,2
2,0.593892991209137,2,2,7,7,"2;1","IgepzQY2",0,1,NA,0,1.17,2
3,1.15463890356415,2,10,7,17,"2;1","IgepzQY2",0,1,NA,0,1.17,2
4,1.11589181123677,2,7,7,24,"2;1","IgepzQY2",0,1,NA,0,1.17,2
5,1.12423430447602,2,6,7,30,"2;1","IgepzQY2",0,1,NA,0,1.17,2
6,0.5636967434165,2,9,7,39,"2;1","IgepzQY2",0,1,NA,0,1.17,2
7,1.36043626909836,2,4,7,43,"2;1","IgepzQY2",0,1,NA,0,1.17,2
8,0.79667475106548,2,5,7,48,"2;1","IgepzQY2",0,1,NA,0,1.17,2
9,0.870449423758502,2,3,7,51,"2;1","IgepzQY2",0,1,NA,0,1.17,2
10,1.03089837440202,2,6,7,57,"2;1","IgepzQY2",0,1,NA,0,1.17,2
11,0.72528146837876,2,0,7,57,"2;1","IgepzQY2",0,1,NA,0,1.17,2
12,1.03719986484494,2,5,7,62,"2;1","IgepzQY2",0,1,NA,0,1.17,2
13,1.00365677576255,2,6,7,68,"2;1","IgepzQY2",0,1,NA,0,1.17,2
14,1.19784819220689,2,5,7,73,"2;1","IgepzQY2",0,1,NA,0,1.17,2
15,0.555327116213434,2,6,7,79,"2;1","IgepzQY2",0,1,NA,0,1.17,2
16,0.713062100676088,2,4,7,83,"2;1","IgepzQY2",0,1,NA,0,1.17,2
17,0.838830264275815,2,8,7,91,"2;1","IgepzQY2",0,1,NA,0,1.17,2
18,0.642715823130484,2,8,7,99,"2;1","IgepzQY2",0,1,NA,0,1.17,2
19,1.05020031767261,2,7,7,106,"2;1","IgepzQY2",0,1,NA,0,1.17,2
20,0.5,2,3,7,109,"2;1","IgepzQY2",0,1,NA,0,1.17,2
21,0.688541554467797,2,2,7,111,"2;1","IgepzQY2",0,1,NA,0,1.17,2
22,0.793395738636268,2,6,7,117,"2;1","IgepzQY2",0,1,NA,0,1.17,2
23,0.5,2,0,7,117,"2;1","IgepzQY2",0,1,NA,0,1.17,2
24,0.5,2,3,7,120,"2;1","IgepzQY2",0,1,NA,0,1.17,2
25,0.634609664048743,2,6,7,126,"2;1","IgepzQY2",0,1,NA,0,1.17,2
1,0.981564794207348,2,9,8,9,"1;2","IgepzQY2",0,1,NA,0,1.17,2
