"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02605615292919,1,3,1,3,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
2,0.742322110574813,1,1,1,4,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
3,1.08781735816867,2,0,1,4,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
4,1.07065652648349,2,4,1,8,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
5,0.865233106077126,2,5,1,13,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
6,0.5,2,5,1,18,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
7,0.905262886978196,2,6,1,24,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
8,0.610981081357351,2,1,1,25,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
9,0.738976083683252,2,3,1,28,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
10,1.00080218873521,1,7,1,35,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
11,0.5,2,5,1,40,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
12,0.509179180208837,2,5,1,45,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
13,0.731564773032703,2,3,1,48,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
14,0.858564101816741,1,1,1,49,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
15,0.5,2,6,1,55,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
16,0.788632037748994,2,4,1,59,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
17,0.87000719729301,2,6,1,65,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
18,1.42421577058501,1,6,1,71,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
19,0.695388262089233,2,-1,1,70,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
20,1.2084742947987,1,4,1,74,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
1,0.555672655334514,1,7,2,7,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
2,0.992823928189297,1,6,2,13,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
3,1.07513158870172,2,-14,2,-1,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
4,0.945205673619283,1,6,2,5,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
5,0.876211775016881,1,6,2,11,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
6,0.588717081710003,1,2,2,13,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
7,0.5,2,6,2,19,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
8,1.12832113845024,1,2,2,21,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
9,0.875023550873554,2,-14,2,7,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
10,0.5,1,2,2,9,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
11,1.18756129059343,1,5,2,14,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
12,0.730180381459811,1,1,2,15,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
13,0.544640739350503,2,19,2,34,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
14,0.5,1,6,2,40,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
15,0.5,2,-7,2,33,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
16,0.645085169541087,1,3,2,36,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
17,1.17828953158147,1,5,2,41,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
18,0.751034447676025,1,4,2,45,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
19,0.814594210735081,1,7,2,52,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
20,0.928825656289493,2,-10,2,42,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
21,0.691754595532221,1,8,2,50,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
22,1.18892703333282,1,0,2,50,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
23,0.884698330840923,1,5,2,55,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
24,0.574005832617244,1,3,2,58,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
25,1.3969763957972,1,1,2,59,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
1,0.696552774777468,2,16,3,16,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
2,0.736568502124282,2,0,3,16,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
3,0.868282157522789,2,9,3,25,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
4,0.800735077470953,2,10,3,35,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
5,0.994524582442398,2,0,3,35,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
6,0.686093462519997,2,-3,3,32,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
7,0.856179362633349,2,3,3,35,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
8,0.514240670244853,2,8,3,43,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
9,0.791640830428666,2,11,3,54,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
10,0.560104582498388,1,4,3,58,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
11,1.09364724599201,1,1,3,59,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
12,1.00518912698991,2,-2,3,57,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
13,0.888336612044495,2,-8,3,49,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
14,1.10951876705363,2,-8,3,41,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
15,0.5,1,7,3,48,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
16,1.08015652178189,2,-1,3,47,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
17,0.996515300078521,1,5,3,52,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
18,0.576852075370568,2,-7,3,45,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
19,0.776188551686413,1,3,3,48,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
20,1.0403068834383,1,5,3,53,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
21,0.629514509356793,1,6,3,59,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
22,0.792176394125794,1,8,3,67,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
23,0.555270649224459,1,1,3,68,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
24,0.950024800491856,2,-6,3,62,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
25,0.5,2,13,3,75,"1;2","JHdNhdbw",0,2,NA,1,0.73,2
1,0.73305783902887,2,5,4,5,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
2,0.678242527905766,1,15,4,20,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
3,0.748457475382669,2,5,4,25,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
4,1.16431140959407,1,15,4,40,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
5,1.26450767187735,1,18,4,58,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
6,0.654727031647901,1,4,4,62,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
7,0.5,1,8,4,70,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
8,0.727125538590385,1,-3,4,67,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
9,1.10853228781527,2,6,4,73,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
10,1.13571630922098,1,-3,4,70,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
11,1.13663593337078,1,5,4,75,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
12,0.659093212088261,1,-5,4,70,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
13,0.5,1,21,4,91,"2;1","JHdNhdbw",0,2,NA,1,0.73,2
