"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.681797625068674,2,5,1,5,"2;1","JazxsTLH",100,6,6,0,1.2,1
2,0.524412673571248,2,5,1,10,"2;1","JazxsTLH",100,6,6,0,1.2,1
3,0.94907243255381,2,4,1,14,"2;1","JazxsTLH",100,6,6,0,1.2,1
4,1.06421526171924,1,2,1,16,"2;1","JazxsTLH",100,6,6,0,1.2,1
5,0.789628370745631,2,2,1,18,"2;1","JazxsTLH",100,6,6,0,1.2,1
6,0.982121752462154,2,2,1,20,"2;1","JazxsTLH",100,6,6,0,1.2,1
7,0.806975273804997,1,3,1,23,"2;1","JazxsTLH",100,6,6,0,1.2,1
8,0.832761426253008,2,2,1,25,"2;1","JazxsTLH",100,6,6,0,1.2,1
9,0.669704961216213,1,5,1,30,"2;1","JazxsTLH",100,6,6,0,1.2,1
10,0.752185746497512,2,4,1,34,"2;1","JazxsTLH",100,6,6,0,1.2,1
11,0.5,2,3,1,37,"2;1","JazxsTLH",100,6,6,0,1.2,1
12,1.08561462789914,2,5,1,42,"2;1","JazxsTLH",100,6,6,0,1.2,1
13,0.5,1,2,1,44,"2;1","JazxsTLH",100,6,6,0,1.2,1
14,1.11715422289197,1,0,1,44,"2;1","JazxsTLH",100,6,6,0,1.2,1
15,0.620384358446703,1,0,1,44,"2;1","JazxsTLH",100,6,6,0,1.2,1
16,0.904496063462041,2,3,1,47,"2;1","JazxsTLH",100,6,6,0,1.2,1
17,0.771313790862928,2,3,1,50,"2;1","JazxsTLH",100,6,6,0,1.2,1
18,0.5,2,3,1,53,"2;1","JazxsTLH",100,6,6,0,1.2,1
19,1.30680679700475,2,3,1,56,"2;1","JazxsTLH",100,6,6,0,1.2,1
20,0.5,1,6,1,62,"2;1","JazxsTLH",100,6,6,0,1.2,1
1,0.629611393573582,2,5,2,5,"2;1","JazxsTLH",100,6,6,0,1.2,1
2,0.784109292797321,1,5,2,10,"2;1","JazxsTLH",100,6,6,0,1.2,1
3,0.965154009984399,1,-3,2,7,"2;1","JazxsTLH",100,6,6,0,1.2,1
4,0.825810651770359,1,0,2,7,"2;1","JazxsTLH",100,6,6,0,1.2,1
5,0.5,1,4,2,11,"2;1","JazxsTLH",100,6,6,0,1.2,1
6,0.611205543001579,1,6,2,17,"2;1","JazxsTLH",100,6,6,0,1.2,1
7,1.03513761838621,2,3,2,20,"2;1","JazxsTLH",100,6,6,0,1.2,1
8,0.921413341638209,2,7,2,27,"2;1","JazxsTLH",100,6,6,0,1.2,1
9,0.822214861208964,1,15,2,42,"2;1","JazxsTLH",100,6,6,0,1.2,1
10,0.90705579401966,1,3,2,45,"2;1","JazxsTLH",100,6,6,0,1.2,1
11,0.730020825540453,1,8,2,53,"2;1","JazxsTLH",100,6,6,0,1.2,1
12,0.746971293018556,1,19,2,72,"2;1","JazxsTLH",100,6,6,0,1.2,1
13,0.978712903783991,1,-4,2,68,"2;1","JazxsTLH",100,6,6,0,1.2,1
14,1.3961120818984,1,22,2,90,"2;1","JazxsTLH",100,6,6,0,1.2,1
15,0.5,1,-12,2,78,"2;1","JazxsTLH",100,6,6,0,1.2,1
16,1.00461261641903,2,3,2,81,"2;1","JazxsTLH",100,6,6,0,1.2,1
17,0.5,1,-3,2,78,"2;1","JazxsTLH",100,6,6,0,1.2,1
18,0.5,2,5,2,83,"2;1","JazxsTLH",100,6,6,0,1.2,1
19,0.701179821472404,2,6,2,89,"2;1","JazxsTLH",100,6,6,0,1.2,1
20,0.822038572328734,2,1,2,90,"2;1","JazxsTLH",100,6,6,0,1.2,1
21,0.855535300885869,1,-9,2,81,"2;1","JazxsTLH",100,6,6,0,1.2,1
22,0.500615915857919,1,5,2,86,"2;1","JazxsTLH",100,6,6,0,1.2,1
23,0.882534252682141,1,14,2,100,"2;1","JazxsTLH",100,6,6,0,1.2,1
24,1.00510065920751,2,4,2,104,"2;1","JazxsTLH",100,6,6,0,1.2,1
25,0.5,2,3,2,107,"2;1","JazxsTLH",100,6,6,0,1.2,1
1,0.71537966480056,1,-1,3,-1,"1;2","JazxsTLH",100,6,6,0,1.2,1
2,0.561960606140994,1,5,3,4,"1;2","JazxsTLH",100,6,6,0,1.2,1
3,1.19279715522007,1,4,3,8,"1;2","JazxsTLH",100,6,6,0,1.2,1
4,0.950585949035174,1,2,3,10,"1;2","JazxsTLH",100,6,6,0,1.2,1
5,1.22074129347643,1,5,3,15,"1;2","JazxsTLH",100,6,6,0,1.2,1
6,0.5,1,5,3,20,"1;2","JazxsTLH",100,6,6,0,1.2,1
7,1.06906628246507,1,3,3,23,"1;2","JazxsTLH",100,6,6,0,1.2,1
8,0.614869610187285,1,3,3,26,"1;2","JazxsTLH",100,6,6,0,1.2,1
9,0.947348271551847,2,26,3,52,"1;2","JazxsTLH",100,6,6,0,1.2,1
10,0.945350182667668,2,5,3,57,"1;2","JazxsTLH",100,6,6,0,1.2,1
11,0.939796527717115,1,1,3,58,"1;2","JazxsTLH",100,6,6,0,1.2,1
12,0.5,2,1,3,59,"1;2","JazxsTLH",100,6,6,0,1.2,1
13,0.967605378070327,1,1,3,60,"1;2","JazxsTLH",100,6,6,0,1.2,1
14,1.22246270759618,2,-15,3,45,"1;2","JazxsTLH",100,6,6,0,1.2,1
15,0.929651501181653,2,0,3,45,"1;2","JazxsTLH",100,6,6,0,1.2,1
16,0.975208831210553,2,-6,3,39,"1;2","JazxsTLH",100,6,6,0,1.2,1
17,0.623748394983615,2,1,3,40,"1;2","JazxsTLH",100,6,6,0,1.2,1
18,0.660082277330744,1,1,3,41,"1;2","JazxsTLH",100,6,6,0,1.2,1
19,1.13734412023138,2,1,3,42,"1;2","JazxsTLH",100,6,6,0,1.2,1
20,0.735871377249668,2,-5,3,37,"1;2","JazxsTLH",100,6,6,0,1.2,1
21,0.842447852389915,2,-2,3,35,"1;2","JazxsTLH",100,6,6,0,1.2,1
22,0.507392227796472,2,-4,3,31,"1;2","JazxsTLH",100,6,6,0,1.2,1
23,0.648752371799637,2,12,3,43,"1;2","JazxsTLH",100,6,6,0,1.2,1
24,0.874127194214069,1,4,3,47,"1;2","JazxsTLH",100,6,6,0,1.2,1
25,0.795081137769636,1,0,3,47,"1;2","JazxsTLH",100,6,6,0,1.2,1
1,0.5,2,-5,4,-5,"1;2","JazxsTLH",100,6,6,0,1.2,1
2,0.975601246992716,1,3,4,-2,"1;2","JazxsTLH",100,6,6,0,1.2,1
3,1.08730688303913,1,8,4,6,"1;2","JazxsTLH",100,6,6,0,1.2,1
4,0.832596125384231,1,9,4,15,"1;2","JazxsTLH",100,6,6,0,1.2,1
5,0.597181338184314,1,5,4,20,"1;2","JazxsTLH",100,6,6,0,1.2,1
6,0.587345092719317,1,1,4,21,"1;2","JazxsTLH",100,6,6,0,1.2,1
7,0.785076015213539,1,4,4,25,"1;2","JazxsTLH",100,6,6,0,1.2,1
8,0.836122865037296,1,2,4,27,"1;2","JazxsTLH",100,6,6,0,1.2,1
9,0.5,2,32,4,59,"1;2","JazxsTLH",100,6,6,0,1.2,1
10,0.732161695092858,1,3,4,62,"1;2","JazxsTLH",100,6,6,0,1.2,1
