"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.37525236274267,1,3,1,3,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
2,0.833425712375143,2,1,1,4,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
3,0.511544013095987,2,7,1,11,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
4,0.675193064146416,2,3,1,14,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
5,0.708616039201466,2,3,1,17,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
6,0.766602564013456,1,5,1,22,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
7,0.804835692132434,2,2,1,24,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
8,0.784921099133907,2,-1,1,23,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
9,0.611259270338243,1,4,1,27,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
10,0.870024031211494,2,2,1,29,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
11,1.02180248014006,1,1,1,30,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
12,1.05581041915141,1,3,1,33,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
13,1.1717379522825,2,2,1,35,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
14,1.14723121362786,1,3,1,38,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
15,0.854521528889377,1,2,1,40,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
16,0.542631267597826,1,3,1,43,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
17,0.959217088838636,1,3,1,46,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
18,1.02179941159435,1,3,1,49,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
19,0.57022791778502,2,4,1,53,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
20,0.549192004078685,1,4,1,57,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
1,0.706473555635395,2,2,2,2,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
2,0.648188453816893,1,17,2,19,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
3,1.08176431410697,1,-6,2,13,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
4,0.726481714023984,1,14,2,27,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
5,1.03663655403267,2,2,2,29,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
6,0.84898337870082,1,3,2,32,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
7,0.5,1,19,2,51,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
8,1.0273403863182,1,-16,2,35,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
9,0.791111114435726,1,7,2,42,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
10,0.77999624657731,1,-6,2,36,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
11,0.698855403663736,2,8,2,44,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
12,0.779076676627628,2,4,2,48,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
13,1.05681682494117,2,1,2,49,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
14,0.509597366400884,2,6,2,55,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
15,0.854250063233711,1,4,2,59,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
16,1.11989828974558,2,4,2,63,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
17,0.630222652087722,2,6,2,69,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
18,1.07810819512658,2,3,2,72,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
19,0.545661774564559,2,4,2,76,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
20,1.13080447647158,2,5,2,81,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
21,0.662232962375704,1,5,2,86,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
22,0.551433481231917,1,8,2,94,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
23,1.25615101794944,2,6,2,100,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
24,0.840939449525275,2,5,2,105,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
25,0.812913114286267,1,0,2,105,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
1,1.17500628668923,2,3,3,3,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
2,0.5,1,5,3,8,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
3,0.63684538163286,2,10,3,18,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
4,0.849905067700607,2,-10,3,8,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
5,0.803876759273237,1,5,3,13,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
6,0.789401715335153,1,7,3,20,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
7,0.789208126935564,2,6,3,26,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
8,0.74147083345382,1,5,3,31,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
9,0.725799541937569,1,5,3,36,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
10,1.20707526463813,1,7,3,43,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
11,0.90740398905324,1,3,3,46,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
12,1.10621502085485,1,5,3,51,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
13,0.989939021784737,1,3,3,54,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
14,0.572117410566154,1,-3,3,51,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
15,0.873225260554099,1,7,3,58,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
16,0.5970062886106,1,2,3,60,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
17,0.834978472367977,1,7,3,67,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
18,0.5,1,6,3,73,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
19,0.79647309432948,1,6,3,79,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
20,0.792728481379766,2,17,3,96,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
21,1.61985761401294,2,6,3,102,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
22,0.5,2,9,3,111,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
23,1.0016794129582,2,-9,3,102,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
24,0.912383290486098,1,2,3,104,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
25,1.14353629698493,1,9,3,113,"1;2","JpBlY1cg",0,1,NA,0,1.13,3
1,0.768537752753406,1,10,4,10,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
2,0.5,1,-6,4,4,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
3,0.82033938842225,1,2,4,6,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
4,0.81989867555945,1,7,4,13,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
5,1.06465065927686,2,4,4,17,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
6,0.794679838536553,1,-7,4,10,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
7,0.5,1,-2,4,8,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
8,0.512776681655717,2,5,4,13,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
9,0.864276293204822,2,1,4,14,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
10,1.15422125181388,2,2,4,16,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
11,0.5,2,4,4,20,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
12,1.21773082990456,2,1,4,21,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
13,0.598362497488388,2,4,4,25,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
14,0.823114183776252,2,2,4,27,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
15,0.5,2,5,4,32,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
16,1.48026962887717,2,4,4,36,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
17,0.5,1,19,4,55,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
18,0.870871948276965,1,2,4,57,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
19,0.770143997339742,1,16,4,73,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
20,1.32873057335786,1,-8,4,65,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
21,0.564753011248713,2,0,4,65,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
22,0.677403169141843,1,-12,4,53,"2;1","JpBlY1cg",0,1,NA,0,1.13,3
