"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.783231824503791,2,2,1,2,"1;2","LleghZNR",0,2,NA,0,0.66,3
2,0.886634210024381,2,3,1,5,"1;2","LleghZNR",0,2,NA,0,0.66,3
3,0.833277623351637,2,4,1,9,"1;2","LleghZNR",0,2,NA,0,0.66,3
4,0.5,2,4,1,13,"1;2","LleghZNR",0,2,NA,0,0.66,3
5,0.985454355873726,1,3,1,16,"1;2","LleghZNR",0,2,NA,0,0.66,3
6,1.15662670430923,1,4,1,20,"1;2","LleghZNR",0,2,NA,0,0.66,3
7,0.743392611895507,2,2,1,22,"1;2","LleghZNR",0,2,NA,0,0.66,3
8,1.10400012779278,1,4,1,26,"1;2","LleghZNR",0,2,NA,0,0.66,3
9,0.832778262353892,2,-1,1,25,"1;2","LleghZNR",0,2,NA,0,0.66,3
10,0.931941850491126,1,3,1,28,"1;2","LleghZNR",0,2,NA,0,0.66,3
11,0.754477946397783,1,2,1,30,"1;2","LleghZNR",0,2,NA,0,0.66,3
12,1.00864726863001,1,2,1,32,"1;2","LleghZNR",0,2,NA,0,0.66,3
13,1.15895764202495,1,5,1,37,"1;2","LleghZNR",0,2,NA,0,0.66,3
14,1.0800906043449,1,8,1,45,"1;2","LleghZNR",0,2,NA,0,0.66,3
15,1.19264896696421,2,2,1,47,"1;2","LleghZNR",0,2,NA,0,0.66,3
16,0.751316398332266,1,2,1,49,"1;2","LleghZNR",0,2,NA,0,0.66,3
17,1.07767330461523,1,3,1,52,"1;2","LleghZNR",0,2,NA,0,0.66,3
18,1.00382760063825,2,2,1,54,"1;2","LleghZNR",0,2,NA,0,0.66,3
19,0.5,1,3,1,57,"1;2","LleghZNR",0,2,NA,0,0.66,3
20,0.539124768999514,1,0,1,57,"1;2","LleghZNR",0,2,NA,0,0.66,3
1,0.780910143912994,1,18,2,18,"2;1","LleghZNR",0,2,NA,0,0.66,3
2,0.696675762006917,2,4,2,22,"2;1","LleghZNR",0,2,NA,0,0.66,3
3,0.822684390828454,1,11,2,33,"2;1","LleghZNR",0,2,NA,0,0.66,3
4,0.846230611411215,1,7,2,40,"2;1","LleghZNR",0,2,NA,0,0.66,3
5,1.01684006097748,2,3,2,43,"2;1","LleghZNR",0,2,NA,0,0.66,3
6,0.835304772121202,2,3,2,46,"2;1","LleghZNR",0,2,NA,0,0.66,3
7,0.630171711389841,2,7,2,53,"2;1","LleghZNR",0,2,NA,0,0.66,3
8,0.5,1,-1,2,52,"2;1","LleghZNR",0,2,NA,0,0.66,3
9,0.710450067262604,2,7,2,59,"2;1","LleghZNR",0,2,NA,0,0.66,3
10,0.526062262830246,2,2,2,61,"2;1","LleghZNR",0,2,NA,0,0.66,3
11,0.781254874678765,1,1,2,62,"2;1","LleghZNR",0,2,NA,0,0.66,3
12,0.910269687150237,2,-1,2,61,"2;1","LleghZNR",0,2,NA,0,0.66,3
13,0.576248954697309,1,-1,2,60,"2;1","LleghZNR",0,2,NA,0,0.66,3
14,1.14519249482059,1,17,2,77,"2;1","LleghZNR",0,2,NA,0,0.66,3
15,0.900949191862923,1,-1,2,76,"2;1","LleghZNR",0,2,NA,0,0.66,3
16,0.781066363044765,2,6,2,82,"2;1","LleghZNR",0,2,NA,0,0.66,3
17,0.932421096890182,1,3,2,85,"2;1","LleghZNR",0,2,NA,0,0.66,3
18,0.805376090416803,1,22,2,107,"2;1","LleghZNR",0,2,NA,0,0.66,3
19,0.745294650595464,1,18,2,125,"2;1","LleghZNR",0,2,NA,0,0.66,3
20,0.657656956838219,1,-10,2,115,"2;1","LleghZNR",0,2,NA,0,0.66,3
21,1.26814133778928,1,2,2,117,"2;1","LleghZNR",0,2,NA,0,0.66,3
22,0.698480482841389,1,-1,2,116,"2;1","LleghZNR",0,2,NA,0,0.66,3
23,0.706434828763809,2,7,2,123,"2;1","LleghZNR",0,2,NA,0,0.66,3
24,0.951154231538155,2,7,2,130,"2;1","LleghZNR",0,2,NA,0,0.66,3
25,0.619980188713644,1,4,2,134,"2;1","LleghZNR",0,2,NA,0,0.66,3
1,0.825372752911342,2,3,3,3,"2;1","LleghZNR",0,2,NA,0,0.66,3
2,0.753093863184663,2,5,3,8,"2;1","LleghZNR",0,2,NA,0,0.66,3
3,0.668400075667662,1,-25,3,-17,"2;1","LleghZNR",0,2,NA,0,0.66,3
4,0.5,2,4,3,-13,"2;1","LleghZNR",0,2,NA,0,0.66,3
5,0.5,2,2,3,-11,"2;1","LleghZNR",0,2,NA,0,0.66,3
6,1.14405520618939,2,4,3,-7,"2;1","LleghZNR",0,2,NA,0,0.66,3
7,1.20289576606593,2,2,3,-5,"2;1","LleghZNR",0,2,NA,0,0.66,3
8,0.723609808298176,2,3,3,-2,"2;1","LleghZNR",0,2,NA,0,0.66,3
9,0.62465143214413,1,0,3,-2,"2;1","LleghZNR",0,2,NA,0,0.66,3
10,0.5,2,1,3,-1,"2;1","LleghZNR",0,2,NA,0,0.66,3
11,0.711372919369039,2,4,3,3,"2;1","LleghZNR",0,2,NA,0,0.66,3
12,1.01836521890946,2,2,3,5,"2;1","LleghZNR",0,2,NA,0,0.66,3
13,0.813440784502572,2,8,3,13,"2;1","LleghZNR",0,2,NA,0,0.66,3
14,0.720274999252221,1,-9,3,4,"2;1","LleghZNR",0,2,NA,0,0.66,3
15,0.5,2,1,3,5,"2;1","LleghZNR",0,2,NA,0,0.66,3
16,0.700524795190127,2,5,3,10,"2;1","LleghZNR",0,2,NA,0,0.66,3
17,0.887246977034521,1,-4,3,6,"2;1","LleghZNR",0,2,NA,0,0.66,3
18,1.19667362421447,2,6,3,12,"2;1","LleghZNR",0,2,NA,0,0.66,3
19,1.16067684946342,2,4,3,16,"2;1","LleghZNR",0,2,NA,0,0.66,3
20,0.775238481700852,1,9,3,25,"2;1","LleghZNR",0,2,NA,0,0.66,3
21,0.870611679085498,2,5,3,30,"2;1","LleghZNR",0,2,NA,0,0.66,3
22,0.990710846630681,2,0,3,30,"2;1","LleghZNR",0,2,NA,0,0.66,3
