"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.06162395146768,2,2,1,2,"1;2","M5B3hejd",100,5,8,0,1.6,2
2,1.07289440119997,1,5,1,7,"1;2","M5B3hejd",100,5,8,0,1.6,2
3,0.5,1,-1,1,6,"1;2","M5B3hejd",100,5,8,0,1.6,2
4,0.88524315912402,1,1,1,7,"1;2","M5B3hejd",100,5,8,0,1.6,2
5,0.661513093712112,2,4,1,11,"1;2","M5B3hejd",100,5,8,0,1.6,2
6,0.796111181684015,1,4,1,15,"1;2","M5B3hejd",100,5,8,0,1.6,2
7,0.722516541720144,1,2,1,17,"1;2","M5B3hejd",100,5,8,0,1.6,2
8,1.0185200736456,1,2,1,19,"1;2","M5B3hejd",100,5,8,0,1.6,2
9,0.5,2,4,1,23,"1;2","M5B3hejd",100,5,8,0,1.6,2
10,0.592255244561472,1,2,1,25,"1;2","M5B3hejd",100,5,8,0,1.6,2
11,1.19538345234739,1,3,1,28,"1;2","M5B3hejd",100,5,8,0,1.6,2
12,1.05133298838728,1,5,1,33,"1;2","M5B3hejd",100,5,8,0,1.6,2
13,0.5,1,2,1,35,"1;2","M5B3hejd",100,5,8,0,1.6,2
14,1.04325496340318,2,0,1,35,"1;2","M5B3hejd",100,5,8,0,1.6,2
15,1.25974478640763,2,-1,1,34,"1;2","M5B3hejd",100,5,8,0,1.6,2
16,1.04756286615108,2,1,1,35,"1;2","M5B3hejd",100,5,8,0,1.6,2
17,1.17967507028514,2,2,1,37,"1;2","M5B3hejd",100,5,8,0,1.6,2
18,0.761936344768162,1,7,1,44,"1;2","M5B3hejd",100,5,8,0,1.6,2
19,0.872255325047386,1,0,1,44,"1;2","M5B3hejd",100,5,8,0,1.6,2
20,0.551090588641211,2,6,1,50,"1;2","M5B3hejd",100,5,8,0,1.6,2
1,0.829794975076395,1,-8,2,-8,"2;1","M5B3hejd",100,5,8,0,1.6,2
2,0.684413088817641,2,1,2,-7,"2;1","M5B3hejd",100,5,8,0,1.6,2
3,1.1580229352285,2,2,2,-5,"2;1","M5B3hejd",100,5,8,0,1.6,2
4,1.07123495158815,1,7,2,2,"2;1","M5B3hejd",100,5,8,0,1.6,2
5,0.967557416392347,1,-4,2,-2,"2;1","M5B3hejd",100,5,8,0,1.6,2
6,0.595408515409193,1,-1,2,-3,"2;1","M5B3hejd",100,5,8,0,1.6,2
7,1.05027075257546,2,5,2,2,"2;1","M5B3hejd",100,5,8,0,1.6,2
8,0.746229027189418,2,3,2,5,"2;1","M5B3hejd",100,5,8,0,1.6,2
9,0.761790082734273,1,7,2,12,"2;1","M5B3hejd",100,5,8,0,1.6,2
10,0.886412529168502,1,-5,2,7,"2;1","M5B3hejd",100,5,8,0,1.6,2
11,0.72140033654279,1,6,2,13,"2;1","M5B3hejd",100,5,8,0,1.6,2
12,0.833888601245944,2,4,2,17,"2;1","M5B3hejd",100,5,8,0,1.6,2
13,0.693599877134795,1,-12,2,5,"2;1","M5B3hejd",100,5,8,0,1.6,2
14,0.56214513950267,2,5,2,10,"2;1","M5B3hejd",100,5,8,0,1.6,2
15,1.07782809007928,1,10,2,20,"2;1","M5B3hejd",100,5,8,0,1.6,2
16,0.773748165106309,1,12,2,32,"2;1","M5B3hejd",100,5,8,0,1.6,2
17,0.986948426221789,1,9,2,41,"2;1","M5B3hejd",100,5,8,0,1.6,2
18,1.07685507002727,2,11,2,52,"2;1","M5B3hejd",100,5,8,0,1.6,2
19,0.681298153140212,1,6,2,58,"2;1","M5B3hejd",100,5,8,0,1.6,2
