"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.513286106113776,1,5,1,5,"2;1","MAyXnbjF",100,5,4,0,0.8,1
2,0.5,1,2,1,7,"2;1","MAyXnbjF",100,5,4,0,0.8,1
3,0.914462257016631,1,2,1,9,"2;1","MAyXnbjF",100,5,4,0,0.8,1
4,1.07375582824955,2,9,1,18,"2;1","MAyXnbjF",100,5,4,0,0.8,1
5,1.03429568079835,1,4,1,22,"2;1","MAyXnbjF",100,5,4,0,0.8,1
6,0.932733116267126,1,2,1,24,"2;1","MAyXnbjF",100,5,4,0,0.8,1
7,0.927603024825441,2,2,1,26,"2;1","MAyXnbjF",100,5,4,0,0.8,1
8,0.728991241814238,2,3,1,29,"2;1","MAyXnbjF",100,5,4,0,0.8,1
9,0.726558703771248,2,0,1,29,"2;1","MAyXnbjF",100,5,4,0,0.8,1
10,0.550085662351335,1,4,1,33,"2;1","MAyXnbjF",100,5,4,0,0.8,1
11,0.982780617330861,1,3,1,36,"2;1","MAyXnbjF",100,5,4,0,0.8,1
12,0.975636502431809,2,1,1,37,"2;1","MAyXnbjF",100,5,4,0,0.8,1
13,1.17321412629081,1,5,1,42,"2;1","MAyXnbjF",100,5,4,0,0.8,1
14,0.691282056417151,1,4,1,46,"2;1","MAyXnbjF",100,5,4,0,0.8,1
15,0.929582822506865,1,7,1,53,"2;1","MAyXnbjF",100,5,4,0,0.8,1
16,0.536367634112242,2,5,1,58,"2;1","MAyXnbjF",100,5,4,0,0.8,1
17,0.86865778589058,1,7,1,65,"2;1","MAyXnbjF",100,5,4,0,0.8,1
18,0.939917303469156,2,1,1,66,"2;1","MAyXnbjF",100,5,4,0,0.8,1
19,0.652487776117179,1,4,1,70,"2;1","MAyXnbjF",100,5,4,0,0.8,1
20,0.618210837305414,2,2,1,72,"2;1","MAyXnbjF",100,5,4,0,0.8,1
1,1.06974233176914,1,3,2,3,"1;2","MAyXnbjF",100,5,4,0,0.8,1
2,0.787849461139174,1,2,2,5,"1;2","MAyXnbjF",100,5,4,0,0.8,1
3,1.28633279489763,1,4,2,9,"1;2","MAyXnbjF",100,5,4,0,0.8,1
4,0.905796335447261,1,0,2,9,"1;2","MAyXnbjF",100,5,4,0,0.8,1
5,0.523968540687313,1,2,2,11,"1;2","MAyXnbjF",100,5,4,0,0.8,1
6,1.10703981831763,2,-6,2,5,"1;2","MAyXnbjF",100,5,4,0,0.8,1
7,0.971482754372341,1,3,2,8,"1;2","MAyXnbjF",100,5,4,0,0.8,1
8,0.6603799338194,1,6,2,14,"1;2","MAyXnbjF",100,5,4,0,0.8,1
9,0.729452581972801,1,6,2,20,"1;2","MAyXnbjF",100,5,4,0,0.8,1
10,0.722342631488243,2,-7,2,13,"1;2","MAyXnbjF",100,5,4,0,0.8,1
11,0.5,1,7,2,20,"1;2","MAyXnbjF",100,5,4,0,0.8,1
12,0.5,2,17,2,37,"1;2","MAyXnbjF",100,5,4,0,0.8,1
13,0.7812784338773,2,10,2,47,"1;2","MAyXnbjF",100,5,4,0,0.8,1
14,0.5,1,7,2,54,"1;2","MAyXnbjF",100,5,4,0,0.8,1
15,0.699094010464371,1,3,2,57,"1;2","MAyXnbjF",100,5,4,0,0.8,1
16,0.801323055727566,1,5,2,62,"1;2","MAyXnbjF",100,5,4,0,0.8,1
17,0.5,2,17,2,79,"1;2","MAyXnbjF",100,5,4,0,0.8,1
18,0.955524818631344,1,5,2,84,"1;2","MAyXnbjF",100,5,4,0,0.8,1
19,0.813491916719651,1,3,2,87,"1;2","MAyXnbjF",100,5,4,0,0.8,1
20,0.734327369881511,1,3,2,90,"1;2","MAyXnbjF",100,5,4,0,0.8,1
21,0.608858424216066,1,6,2,96,"1;2","MAyXnbjF",100,5,4,0,0.8,1
22,1.05769848042854,2,1,2,97,"1;2","MAyXnbjF",100,5,4,0,0.8,1
23,1.11895633601924,1,3,2,100,"1;2","MAyXnbjF",100,5,4,0,0.8,1
24,0.708637523315471,1,-2,2,98,"1;2","MAyXnbjF",100,5,4,0,0.8,1
25,0.700953431872438,1,7,2,105,"1;2","MAyXnbjF",100,5,4,0,0.8,1
1,0.694080648538687,2,-4,3,-4,"2;1","MAyXnbjF",100,5,4,0,0.8,1
2,1.08019838871705,2,2,3,-2,"2;1","MAyXnbjF",100,5,4,0,0.8,1
3,0.970222941105138,2,5,3,3,"2;1","MAyXnbjF",100,5,4,0,0.8,1
