"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.699843966867072,2,5,1,5,"2;1","MFY9iU6U",100,5,6,2,1.2,3
2,0.803776811865217,2,4,1,9,"2;1","MFY9iU6U",100,5,6,2,1.2,3
3,0.772305114118711,1,4,1,13,"2;1","MFY9iU6U",100,5,6,2,1.2,3
4,1.22771630239616,2,5,1,18,"2;1","MFY9iU6U",100,5,6,2,1.2,3
5,0.804687836501775,2,5,1,23,"2;1","MFY9iU6U",100,5,6,2,1.2,3
6,0.66654528452776,1,4,1,27,"2;1","MFY9iU6U",100,5,6,2,1.2,3
7,0.76185748889508,1,2,1,29,"2;1","MFY9iU6U",100,5,6,2,1.2,3
8,0.5,1,2,1,31,"2;1","MFY9iU6U",100,5,6,2,1.2,3
9,0.826093314491301,2,4,1,35,"2;1","MFY9iU6U",100,5,6,2,1.2,3
10,0.781504419605976,2,1,1,36,"2;1","MFY9iU6U",100,5,6,2,1.2,3
11,0.624811074801315,2,2,1,38,"2;1","MFY9iU6U",100,5,6,2,1.2,3
12,0.5,1,2,1,40,"2;1","MFY9iU6U",100,5,6,2,1.2,3
13,0.5,2,2,1,42,"2;1","MFY9iU6U",100,5,6,2,1.2,3
14,0.945773537410704,2,3,1,45,"2;1","MFY9iU6U",100,5,6,2,1.2,3
15,0.97964814828316,1,6,1,51,"2;1","MFY9iU6U",100,5,6,2,1.2,3
16,0.935528436147238,1,5,1,56,"2;1","MFY9iU6U",100,5,6,2,1.2,3
17,0.533650146570863,1,3,1,59,"2;1","MFY9iU6U",100,5,6,2,1.2,3
18,0.5,1,5,1,64,"2;1","MFY9iU6U",100,5,6,2,1.2,3
19,1.17862905730846,1,5,1,69,"2;1","MFY9iU6U",100,5,6,2,1.2,3
20,0.754788926444195,2,5,1,74,"2;1","MFY9iU6U",100,5,6,2,1.2,3
1,0.531486364304453,1,0,2,0,"2;1","MFY9iU6U",100,5,6,2,1.2,3
2,0.5,1,-2,2,-2,"2;1","MFY9iU6U",100,5,6,2,1.2,3
3,0.678548440742828,1,11,2,9,"2;1","MFY9iU6U",100,5,6,2,1.2,3
4,0.812680968240839,2,2,2,11,"2;1","MFY9iU6U",100,5,6,2,1.2,3
5,0.50990610675251,1,20,2,31,"2;1","MFY9iU6U",100,5,6,2,1.2,3
6,0.593522332950894,1,-7,2,24,"2;1","MFY9iU6U",100,5,6,2,1.2,3
7,1.00590404576469,1,15,2,39,"2;1","MFY9iU6U",100,5,6,2,1.2,3
8,1.14927375039857,1,0,2,39,"2;1","MFY9iU6U",100,5,6,2,1.2,3
9,0.784768797201512,2,4,2,43,"2;1","MFY9iU6U",100,5,6,2,1.2,3
10,1.28380172439353,1,0,2,43,"2;1","MFY9iU6U",100,5,6,2,1.2,3
11,0.904312275928377,1,7,2,50,"2;1","MFY9iU6U",100,5,6,2,1.2,3
12,1.08098575999633,1,-19,2,31,"2;1","MFY9iU6U",100,5,6,2,1.2,3
13,0.798304606207085,1,1,2,32,"2;1","MFY9iU6U",100,5,6,2,1.2,3
14,0.996725136071227,1,12,2,44,"2;1","MFY9iU6U",100,5,6,2,1.2,3
15,0.613401410389343,1,4,2,48,"2;1","MFY9iU6U",100,5,6,2,1.2,3
16,0.752914569644721,2,2,2,50,"2;1","MFY9iU6U",100,5,6,2,1.2,3
17,0.657857010479564,1,5,2,55,"2;1","MFY9iU6U",100,5,6,2,1.2,3
18,1.09618064283311,1,8,2,63,"2;1","MFY9iU6U",100,5,6,2,1.2,3
19,0.510726441368044,1,-1,2,62,"2;1","MFY9iU6U",100,5,6,2,1.2,3
20,0.500901053765299,2,3,2,65,"2;1","MFY9iU6U",100,5,6,2,1.2,3
21,0.5,1,1,2,66,"2;1","MFY9iU6U",100,5,6,2,1.2,3
22,0.91592457523673,1,12,2,78,"2;1","MFY9iU6U",100,5,6,2,1.2,3
23,0.58525464093318,1,-8,2,70,"2;1","MFY9iU6U",100,5,6,2,1.2,3
24,0.517767015151665,1,-19,2,51,"2;1","MFY9iU6U",100,5,6,2,1.2,3
25,0.8588258662487,2,5,2,56,"2;1","MFY9iU6U",100,5,6,2,1.2,3
1,0.933409890808705,2,20,3,20,"1;2","MFY9iU6U",100,5,6,2,1.2,3
2,1.02834289257379,1,6,3,26,"1;2","MFY9iU6U",100,5,6,2,1.2,3
3,0.889656237622189,2,-1,3,25,"1;2","MFY9iU6U",100,5,6,2,1.2,3
4,0.874850328987588,2,-15,3,10,"1;2","MFY9iU6U",100,5,6,2,1.2,3
5,0.630857046844864,2,17,3,27,"1;2","MFY9iU6U",100,5,6,2,1.2,3
6,0.969961239371137,2,-8,3,19,"1;2","MFY9iU6U",100,5,6,2,1.2,3
7,0.90232094514254,2,-2,3,17,"1;2","MFY9iU6U",100,5,6,2,1.2,3
8,0.784166523503117,2,11,3,28,"1;2","MFY9iU6U",100,5,6,2,1.2,3
9,1.42556838347669,2,-29,3,-1,"1;2","MFY9iU6U",100,5,6,2,1.2,3
10,0.706178126700398,1,3,3,2,"1;2","MFY9iU6U",100,5,6,2,1.2,3
11,0.804690045251566,2,-13,3,-11,"1;2","MFY9iU6U",100,5,6,2,1.2,3
12,1.25041023556387,2,2,3,-9,"1;2","MFY9iU6U",100,5,6,2,1.2,3
13,0.641537215210854,2,12,3,3,"1;2","MFY9iU6U",100,5,6,2,1.2,3
14,0.857790625079568,1,4,3,7,"1;2","MFY9iU6U",100,5,6,2,1.2,3
15,1.01506508199555,1,3,3,10,"1;2","MFY9iU6U",100,5,6,2,1.2,3
16,0.736905331040926,2,0,3,10,"1;2","MFY9iU6U",100,5,6,2,1.2,3
17,1.20889621285639,2,7,3,17,"1;2","MFY9iU6U",100,5,6,2,1.2,3
18,0.729710959642332,1,6,3,23,"1;2","MFY9iU6U",100,5,6,2,1.2,3
