"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.797718550979486,1,4,1,4,"1;2","MPnUwkum",100,6,4,0,0.8,1
2,0.5,2,0,1,4,"1;2","MPnUwkum",100,6,4,0,0.8,1
3,0.910440319841248,2,0,1,4,"1;2","MPnUwkum",100,6,4,0,0.8,1
4,1.07733375153174,2,0,1,4,"1;2","MPnUwkum",100,6,4,0,0.8,1
5,0.659994072445602,1,5,1,9,"1;2","MPnUwkum",100,6,4,0,0.8,1
6,0.815341597987892,2,4,1,13,"1;2","MPnUwkum",100,6,4,0,0.8,1
7,0.954799645901245,2,1,1,14,"1;2","MPnUwkum",100,6,4,0,0.8,1
8,1.02697319299259,2,5,1,19,"1;2","MPnUwkum",100,6,4,0,0.8,1
9,1.43617459610172,2,6,1,25,"1;2","MPnUwkum",100,6,4,0,0.8,1
10,0.757927123241898,1,2,1,27,"1;2","MPnUwkum",100,6,4,0,0.8,1
11,0.5,1,1,1,28,"1;2","MPnUwkum",100,6,4,0,0.8,1
12,0.527916029248747,2,6,1,34,"1;2","MPnUwkum",100,6,4,0,0.8,1
13,0.741101190943457,2,5,1,39,"1;2","MPnUwkum",100,6,4,0,0.8,1
14,0.5,1,5,1,44,"1;2","MPnUwkum",100,6,4,0,0.8,1
15,0.85731527907773,2,3,1,47,"1;2","MPnUwkum",100,6,4,0,0.8,1
16,0.571226199341147,2,3,1,50,"1;2","MPnUwkum",100,6,4,0,0.8,1
17,0.778556926696498,2,7,1,57,"1;2","MPnUwkum",100,6,4,0,0.8,1
18,1.08916353296827,2,6,1,63,"1;2","MPnUwkum",100,6,4,0,0.8,1
19,0.662279813325909,2,3,1,66,"1;2","MPnUwkum",100,6,4,0,0.8,1
20,0.670229900380795,1,5,1,71,"1;2","MPnUwkum",100,6,4,0,0.8,1
1,0.76091797266709,2,-1,2,-1,"2;1","MPnUwkum",100,6,4,0,0.8,1
2,0.933410635155394,2,1,2,0,"2;1","MPnUwkum",100,6,4,0,0.8,1
3,0.542445541480414,2,0,2,0,"2;1","MPnUwkum",100,6,4,0,0.8,1
4,0.843386282494263,1,-1,2,-1,"2;1","MPnUwkum",100,6,4,0,0.8,1
5,0.554522978329462,1,2,2,1,"2;1","MPnUwkum",100,6,4,0,0.8,1
6,0.622295248817544,2,2,2,3,"2;1","MPnUwkum",100,6,4,0,0.8,1
7,0.5,2,3,2,6,"2;1","MPnUwkum",100,6,4,0,0.8,1
8,0.997566325411613,1,0,2,6,"2;1","MPnUwkum",100,6,4,0,0.8,1
9,1.06108001988913,2,5,2,11,"2;1","MPnUwkum",100,6,4,0,0.8,1
10,0.737741801790534,2,1,2,12,"2;1","MPnUwkum",100,6,4,0,0.8,1
11,0.760698995240168,2,6,2,18,"2;1","MPnUwkum",100,6,4,0,0.8,1
12,0.759953034729892,2,0,2,18,"2;1","MPnUwkum",100,6,4,0,0.8,1
13,1.01725725247248,2,5,2,23,"2;1","MPnUwkum",100,6,4,0,0.8,1
14,0.5,2,5,2,28,"2;1","MPnUwkum",100,6,4,0,0.8,1
15,1.34002423329554,2,2,2,30,"2;1","MPnUwkum",100,6,4,0,0.8,1
16,0.5,2,1,2,31,"2;1","MPnUwkum",100,6,4,0,0.8,1
17,0.813585591717501,2,2,2,33,"2;1","MPnUwkum",100,6,4,0,0.8,1
18,0.747304204827066,2,1,2,34,"2;1","MPnUwkum",100,6,4,0,0.8,1
19,0.772861577678397,2,2,2,36,"2;1","MPnUwkum",100,6,4,0,0.8,1
20,0.528038210648342,1,23,2,59,"2;1","MPnUwkum",100,6,4,0,0.8,1
21,0.814570320302813,1,4,2,63,"2;1","MPnUwkum",100,6,4,0,0.8,1
22,0.5,1,-17,2,46,"2;1","MPnUwkum",100,6,4,0,0.8,1
23,0.859895947917795,1,11,2,57,"2;1","MPnUwkum",100,6,4,0,0.8,1
24,0.901611968189147,1,3,2,60,"2;1","MPnUwkum",100,6,4,0,0.8,1
25,0.539108728354085,2,-1,2,59,"2;1","MPnUwkum",100,6,4,0,0.8,1
1,1.09907629550159,2,-2,3,-2,"2;1","MPnUwkum",100,6,4,0,0.8,1
2,0.604260861414854,1,13,3,11,"2;1","MPnUwkum",100,6,4,0,0.8,1
3,0.714445483063176,1,4,3,15,"2;1","MPnUwkum",100,6,4,0,0.8,1
4,1.06626701309114,1,-5,3,10,"2;1","MPnUwkum",100,6,4,0,0.8,1
5,0.811465934597723,2,5,3,15,"2;1","MPnUwkum",100,6,4,0,0.8,1
6,0.565271115885548,2,5,3,20,"2;1","MPnUwkum",100,6,4,0,0.8,1
7,0.600802113118141,2,3,3,23,"2;1","MPnUwkum",100,6,4,0,0.8,1
8,0.744715510467352,2,2,3,25,"2;1","MPnUwkum",100,6,4,0,0.8,1
9,0.5,1,-7,3,18,"2;1","MPnUwkum",100,6,4,0,0.8,1
10,0.809319304559087,2,0,3,18,"2;1","MPnUwkum",100,6,4,0,0.8,1
11,0.655581923392083,1,16,3,34,"2;1","MPnUwkum",100,6,4,0,0.8,1
12,0.642224331681463,1,5,3,39,"2;1","MPnUwkum",100,6,4,0,0.8,1
13,0.879968819768291,2,-1,3,38,"2;1","MPnUwkum",100,6,4,0,0.8,1
14,1.02993344342664,1,14,3,52,"2;1","MPnUwkum",100,6,4,0,0.8,1
15,0.502735517612267,1,-7,3,45,"2;1","MPnUwkum",100,6,4,0,0.8,1
16,0.982186693152932,1,7,3,52,"2;1","MPnUwkum",100,6,4,0,0.8,1
17,0.823411911050194,1,-1,3,51,"2;1","MPnUwkum",100,6,4,0,0.8,1
18,0.511099159649745,2,-1,3,50,"2;1","MPnUwkum",100,6,4,0,0.8,1
19,1.17026731223306,2,1,3,51,"2;1","MPnUwkum",100,6,4,0,0.8,1
20,0.744190910464201,1,11,3,62,"2;1","MPnUwkum",100,6,4,0,0.8,1
21,0.5,1,8,3,70,"2;1","MPnUwkum",100,6,4,0,0.8,1
22,0.580411043151971,1,-3,3,67,"2;1","MPnUwkum",100,6,4,0,0.8,1
23,0.800615148405252,1,-6,3,61,"2;1","MPnUwkum",100,6,4,0,0.8,1
24,0.699461668139845,1,0,3,61,"2;1","MPnUwkum",100,6,4,0,0.8,1
25,0.853689109309499,1,-5,3,56,"2;1","MPnUwkum",100,6,4,0,0.8,1
1,1.31303290907333,1,4,4,4,"2;1","MPnUwkum",100,6,4,0,0.8,1
2,0.932207888061231,1,-5,4,-1,"2;1","MPnUwkum",100,6,4,0,0.8,1
3,0.654546943519882,2,3,4,2,"2;1","MPnUwkum",100,6,4,0,0.8,1
4,1.09802495210906,1,7,4,9,"2;1","MPnUwkum",100,6,4,0,0.8,1
5,0.79417751164417,1,15,4,24,"2;1","MPnUwkum",100,6,4,0,0.8,1
6,0.87826462001692,2,2,4,26,"2;1","MPnUwkum",100,6,4,0,0.8,1
7,0.608962012734219,1,9,4,35,"2;1","MPnUwkum",100,6,4,0,0.8,1
8,1.03415409475966,1,-16,4,19,"2;1","MPnUwkum",100,6,4,0,0.8,1
9,1.29000183452882,1,1,4,20,"2;1","MPnUwkum",100,6,4,0,0.8,1
10,0.5,2,4,4,24,"2;1","MPnUwkum",100,6,4,0,0.8,1
11,0.990782673196851,1,6,4,30,"2;1","MPnUwkum",100,6,4,0,0.8,1
12,0.748215402417241,1,8,4,38,"2;1","MPnUwkum",100,6,4,0,0.8,1
13,0.5,1,30,4,68,"2;1","MPnUwkum",100,6,4,0,0.8,1
14,0.941776187755545,1,2,4,70,"2;1","MPnUwkum",100,6,4,0,0.8,1
15,0.520534261741463,1,14,4,84,"2;1","MPnUwkum",100,6,4,0,0.8,1
16,0.623333612214809,2,-4,4,80,"2;1","MPnUwkum",100,6,4,0,0.8,1
17,0.742891515327229,2,2,4,82,"2;1","MPnUwkum",100,6,4,0,0.8,1
18,0.90746527640999,1,-4,4,78,"2;1","MPnUwkum",100,6,4,0,0.8,1
19,0.511645556681847,2,2,4,80,"2;1","MPnUwkum",100,6,4,0,0.8,1
20,0.801907997815405,1,5,4,85,"2;1","MPnUwkum",100,6,4,0,0.8,1
21,0.520132789972612,1,19,4,104,"2;1","MPnUwkum",100,6,4,0,0.8,1
22,1.11082142409791,1,3,4,107,"2;1","MPnUwkum",100,6,4,0,0.8,1
23,0.718809433333475,2,5,4,112,"2;1","MPnUwkum",100,6,4,0,0.8,1
24,0.776528462589535,2,2,4,114,"2;1","MPnUwkum",100,6,4,0,0.8,1
25,1.38236083893564,2,3,4,117,"2;1","MPnUwkum",100,6,4,0,0.8,1
1,1.26483960438557,1,-1,5,-1,"1;2","MPnUwkum",100,6,4,0,0.8,1
2,1.03697796721157,2,11,5,10,"1;2","MPnUwkum",100,6,4,0,0.8,1
3,0.538214391602072,2,-4,5,6,"1;2","MPnUwkum",100,6,4,0,0.8,1
4,0.640965824360241,2,-6,5,0,"1;2","MPnUwkum",100,6,4,0,0.8,1
