"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.931823369036308,2,1,1,1,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
2,0.706598630993557,2,5,1,6,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
3,0.571758538852355,1,0,1,6,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
4,0.754277773639175,2,1,1,7,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
5,0.891405870607578,1,5,1,12,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
6,0.7547893976016,1,3,1,15,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
7,1.22272396087628,2,3,1,18,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
8,0.770658480374099,2,1,1,19,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
9,0.54087276081005,2,5,1,24,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
10,0.7892619268479,1,5,1,29,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
11,1.03373340809268,1,1,1,30,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
12,0.753411838627242,1,5,1,35,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
13,0.614618004540311,1,2,1,37,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
14,1.23640393167615,1,6,1,43,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
15,0.840171514835607,1,0,1,43,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
16,0.509442127635857,1,0,1,43,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
17,0.5,2,4,1,47,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
18,1.34757904051039,1,6,1,53,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
19,0.801875355019412,1,4,1,57,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
20,0.636688252669149,1,8,1,65,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
1,1.1849441168984,2,-1,2,-1,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
2,0.532616394377355,1,2,2,1,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
3,0.933924921697891,2,2,2,3,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
4,0.825717690708754,1,7,2,10,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
5,0.89700124622124,1,2,2,12,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
6,1.22207822372564,2,-2,2,10,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
7,1.17354818525869,2,-1,2,9,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
8,0.864596819046926,1,9,2,18,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
9,0.83802660795961,1,2,2,20,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
10,0.512416957401531,2,7,2,27,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
11,0.5,1,5,2,32,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
12,0.5,1,4,2,36,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
13,0.640136573431075,1,4,2,40,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
14,0.5,1,-1,2,39,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
15,1.1095049983158,1,6,2,45,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
16,0.55611637014827,2,11,2,56,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
17,0.869158144413122,2,-31,2,25,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
18,0.591409535418918,1,8,2,33,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
19,0.57390453548595,1,2,2,35,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
20,0.75594671319607,1,7,2,42,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
21,0.980473462513898,1,3,2,45,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
22,1.05151663350109,1,5,2,50,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
23,0.925520139378969,2,20,2,70,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
24,0.535957810104095,1,6,2,76,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
25,0.956754773660927,2,2,2,78,"1;2","MzlY7YyD",0,2,NA,0,0.78,1
1,0.539819667978204,1,18,3,18,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
2,1.29726120623487,1,2,3,20,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
3,0.600978885689975,2,8,3,28,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
4,0.5,1,-2,3,26,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
5,0.758302608587266,1,-1,3,25,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
6,0.5,1,8,3,33,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
7,1.21027527593779,1,17,3,50,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
8,0.628118822286247,2,5,3,55,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
9,1.02559400180784,2,3,3,58,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
10,0.5,1,-22,3,36,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
11,0.903339481209084,1,-9,3,27,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
12,0.5,2,1,3,28,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
13,0.894482011260036,1,5,3,33,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
14,1.1984193221183,2,2,3,35,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
15,0.633170502039344,2,5,3,40,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
16,0.884845255654888,2,4,3,44,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
17,1.08171429926838,2,4,3,48,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
18,1.17487760445012,2,5,3,53,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
19,1.09775218682344,2,6,3,59,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
20,0.5,2,6,3,65,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
21,0.675832517775384,2,4,3,69,"2;1","MzlY7YyD",0,2,NA,0,0.78,1
