"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.966751782450537,2,2,1,2,"2;1","NbFov8O5",0,1,NA,0,0.87,3
2,1.30077989520263,2,5,1,7,"2;1","NbFov8O5",0,1,NA,0,0.87,3
3,0.76446751450384,2,4,1,11,"2;1","NbFov8O5",0,1,NA,0,0.87,3
4,0.778291500314438,2,2,1,13,"2;1","NbFov8O5",0,1,NA,0,0.87,3
5,0.5,2,5,1,18,"2;1","NbFov8O5",0,1,NA,0,0.87,3
6,0.988378417632453,2,1,1,19,"2;1","NbFov8O5",0,1,NA,0,0.87,3
7,0.992224027510326,1,3,1,22,"2;1","NbFov8O5",0,1,NA,0,0.87,3
8,1.00476143552591,2,2,1,24,"2;1","NbFov8O5",0,1,NA,0,0.87,3
9,0.560607873364373,2,1,1,25,"2;1","NbFov8O5",0,1,NA,0,0.87,3
10,0.804568435136807,1,4,1,29,"2;1","NbFov8O5",0,1,NA,0,0.87,3
11,1.31601944063546,2,5,1,34,"2;1","NbFov8O5",0,1,NA,0,0.87,3
12,1.04777211411087,2,0,1,34,"2;1","NbFov8O5",0,1,NA,0,0.87,3
13,0.734958994082375,2,3,1,37,"2;1","NbFov8O5",0,1,NA,0,0.87,3
14,1.04078141700756,1,6,1,43,"2;1","NbFov8O5",0,1,NA,0,0.87,3
15,1.15059322678062,2,6,1,49,"2;1","NbFov8O5",0,1,NA,0,0.87,3
16,0.5,1,0,1,49,"2;1","NbFov8O5",0,1,NA,0,0.87,3
17,1.12122358381023,2,3,1,52,"2;1","NbFov8O5",0,1,NA,0,0.87,3
18,0.56560441614643,1,3,1,55,"2;1","NbFov8O5",0,1,NA,0,0.87,3
19,1.00721924851111,2,4,1,59,"2;1","NbFov8O5",0,1,NA,0,0.87,3
20,0.770417488300278,1,1,1,60,"2;1","NbFov8O5",0,1,NA,0,0.87,3
1,0.832925956748059,2,1,2,1,"2;1","NbFov8O5",0,1,NA,0,0.87,3
2,0.722552030552376,2,4,2,5,"2;1","NbFov8O5",0,1,NA,0,0.87,3
3,0.659067308033046,2,3,2,8,"2;1","NbFov8O5",0,1,NA,0,0.87,3
4,0.5,2,-1,2,7,"2;1","NbFov8O5",0,1,NA,0,0.87,3
5,0.859082143396899,2,6,2,13,"2;1","NbFov8O5",0,1,NA,0,0.87,3
6,1.01510883886618,2,6,2,19,"2;1","NbFov8O5",0,1,NA,0,0.87,3
7,0.655116779670592,2,5,2,24,"2;1","NbFov8O5",0,1,NA,0,0.87,3
8,0.851050799015374,1,-15,2,9,"2;1","NbFov8O5",0,1,NA,0,0.87,3
9,1.11605414438926,2,3,2,12,"2;1","NbFov8O5",0,1,NA,0,0.87,3
10,0.5,2,7,2,19,"2;1","NbFov8O5",0,1,NA,0,0.87,3
11,0.907862825905738,2,2,2,21,"2;1","NbFov8O5",0,1,NA,0,0.87,3
12,0.5,2,3,2,24,"2;1","NbFov8O5",0,1,NA,0,0.87,3
13,0.857324968776079,2,6,2,30,"2;1","NbFov8O5",0,1,NA,0,0.87,3
14,0.798347364293274,2,3,2,33,"2;1","NbFov8O5",0,1,NA,0,0.87,3
15,0.612815926140892,2,2,2,35,"2;1","NbFov8O5",0,1,NA,0,0.87,3
16,1.02923137177579,2,6,2,41,"2;1","NbFov8O5",0,1,NA,0,0.87,3
17,0.848122111991349,2,6,2,47,"2;1","NbFov8O5",0,1,NA,0,0.87,3
18,1.09607351488651,2,6,2,53,"2;1","NbFov8O5",0,1,NA,0,0.87,3
19,0.693622767823433,1,13,2,66,"2;1","NbFov8O5",0,1,NA,0,0.87,3
20,0.735901236052217,2,5,2,71,"2;1","NbFov8O5",0,1,NA,0,0.87,3
21,0.804121723190311,2,1,2,72,"2;1","NbFov8O5",0,1,NA,0,0.87,3
22,0.58610924977626,2,1,2,73,"2;1","NbFov8O5",0,1,NA,0,0.87,3
23,0.708263736213736,2,1,2,74,"2;1","NbFov8O5",0,1,NA,0,0.87,3
24,0.5,2,0,2,74,"2;1","NbFov8O5",0,1,NA,0,0.87,3
25,0.875885480251308,2,7,2,81,"2;1","NbFov8O5",0,1,NA,0,0.87,3
1,1.01768688793895,1,7,3,7,"1;2","NbFov8O5",0,1,NA,0,0.87,3
2,0.696657371496802,1,4,3,11,"1;2","NbFov8O5",0,1,NA,0,0.87,3
3,1.12679475150398,1,1,3,12,"1;2","NbFov8O5",0,1,NA,0,0.87,3
4,0.916534378221598,2,-18,3,-6,"1;2","NbFov8O5",0,1,NA,0,0.87,3
5,0.513666346447534,1,0,3,-6,"1;2","NbFov8O5",0,1,NA,0,0.87,3
6,0.648160639152205,1,3,3,-3,"1;2","NbFov8O5",0,1,NA,0,0.87,3
7,0.574129332954412,2,-9,3,-12,"1;2","NbFov8O5",0,1,NA,0,0.87,3
8,0.758737977779532,1,8,3,-4,"1;2","NbFov8O5",0,1,NA,0,0.87,3
9,0.618933245918672,1,3,3,-1,"1;2","NbFov8O5",0,1,NA,0,0.87,3
10,0.5,1,6,3,5,"1;2","NbFov8O5",0,1,NA,0,0.87,3
11,0.588595125290884,1,3,3,8,"1;2","NbFov8O5",0,1,NA,0,0.87,3
12,0.85999702030481,1,0,3,8,"1;2","NbFov8O5",0,1,NA,0,0.87,3
13,0.612543838127952,1,4,3,12,"1;2","NbFov8O5",0,1,NA,0,0.87,3
14,0.663000440379536,1,0,3,12,"1;2","NbFov8O5",0,1,NA,0,0.87,3
15,0.668305001783219,1,4,3,16,"1;2","NbFov8O5",0,1,NA,0,0.87,3
