"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.611179455159921,2,0,1,0,"2;1","NdkXDbIi",100,6,4,0,0.8,1
2,0.717471042183012,2,1,1,1,"2;1","NdkXDbIi",100,6,4,0,0.8,1
3,0.632281027893009,1,1,1,2,"2;1","NdkXDbIi",100,6,4,0,0.8,1
4,0.613839164524605,2,3,1,5,"2;1","NdkXDbIi",100,6,4,0,0.8,1
5,0.868810047537801,1,4,1,9,"2;1","NdkXDbIi",100,6,4,0,0.8,1
6,0.5,2,7,1,16,"2;1","NdkXDbIi",100,6,4,0,0.8,1
7,0.766019925165304,2,8,1,24,"2;1","NdkXDbIi",100,6,4,0,0.8,1
8,0.859462797250378,2,1,1,25,"2;1","NdkXDbIi",100,6,4,0,0.8,1
9,0.798612583732739,1,5,1,30,"2;1","NdkXDbIi",100,6,4,0,0.8,1
10,0.863028000720486,2,3,1,33,"2;1","NdkXDbIi",100,6,4,0,0.8,1
11,0.5,2,3,1,36,"2;1","NdkXDbIi",100,6,4,0,0.8,1
12,0.5,2,2,1,38,"2;1","NdkXDbIi",100,6,4,0,0.8,1
13,0.609397225560567,2,5,1,43,"2;1","NdkXDbIi",100,6,4,0,0.8,1
14,1.00383976693249,2,1,1,44,"2;1","NdkXDbIi",100,6,4,0,0.8,1
15,0.638957829264946,2,3,1,47,"2;1","NdkXDbIi",100,6,4,0,0.8,1
16,0.961925557671609,1,5,1,52,"2;1","NdkXDbIi",100,6,4,0,0.8,1
17,1.1695974901774,2,5,1,57,"2;1","NdkXDbIi",100,6,4,0,0.8,1
18,0.633848631006297,2,5,1,62,"2;1","NdkXDbIi",100,6,4,0,0.8,1
19,0.894064650500954,1,2,1,64,"2;1","NdkXDbIi",100,6,4,0,0.8,1
20,0.829554580686966,1,6,1,70,"2;1","NdkXDbIi",100,6,4,0,0.8,1
1,0.796815604034428,1,13,2,13,"2;1","NdkXDbIi",100,6,4,0,0.8,1
2,0.783556223738666,1,-9,2,4,"2;1","NdkXDbIi",100,6,4,0,0.8,1
3,1.17223569278579,1,-4,2,0,"2;1","NdkXDbIi",100,6,4,0,0.8,1
4,0.938385674598178,1,0,2,0,"2;1","NdkXDbIi",100,6,4,0,0.8,1
5,0.830111959827621,1,5,2,5,"2;1","NdkXDbIi",100,6,4,0,0.8,1
6,1.16921612761715,1,-2,2,3,"2;1","NdkXDbIi",100,6,4,0,0.8,1
7,0.85731231913766,1,17,2,20,"2;1","NdkXDbIi",100,6,4,0,0.8,1
8,0.768365846870207,1,9,2,29,"2;1","NdkXDbIi",100,6,4,0,0.8,1
9,0.871497809403556,1,3,2,32,"2;1","NdkXDbIi",100,6,4,0,0.8,1
10,0.827441953817141,2,1,2,33,"2;1","NdkXDbIi",100,6,4,0,0.8,1
11,0.836500875129157,2,0,2,33,"2;1","NdkXDbIi",100,6,4,0,0.8,1
12,0.976455161034588,2,1,2,34,"2;1","NdkXDbIi",100,6,4,0,0.8,1
13,0.79861863783865,2,7,2,41,"2;1","NdkXDbIi",100,6,4,0,0.8,1
14,0.826174550939199,1,8,2,49,"2;1","NdkXDbIi",100,6,4,0,0.8,1
15,0.79789004313679,1,19,2,68,"2;1","NdkXDbIi",100,6,4,0,0.8,1
16,0.954706895873697,1,0,2,68,"2;1","NdkXDbIi",100,6,4,0,0.8,1
17,1.02743420568297,1,-14,2,54,"2;1","NdkXDbIi",100,6,4,0,0.8,1
18,1.15828621522131,2,2,2,56,"2;1","NdkXDbIi",100,6,4,0,0.8,1
19,0.539995372369051,1,0,2,56,"2;1","NdkXDbIi",100,6,4,0,0.8,1
20,0.764853139207958,1,-4,2,52,"2;1","NdkXDbIi",100,6,4,0,0.8,1
21,0.826486165211814,1,31,2,83,"2;1","NdkXDbIi",100,6,4,0,0.8,1
22,0.713166327446736,1,-8,2,75,"2;1","NdkXDbIi",100,6,4,0,0.8,1
23,0.695465524087851,1,12,2,87,"2;1","NdkXDbIi",100,6,4,0,0.8,1
24,1.06640478928945,1,8,2,95,"2;1","NdkXDbIi",100,6,4,0,0.8,1
25,0.941786072745867,2,2,2,97,"2;1","NdkXDbIi",100,6,4,0,0.8,1
1,0.881082622097681,1,9,3,9,"2;1","NdkXDbIi",100,6,4,0,0.8,1
2,1.14762432091873,2,1,3,10,"2;1","NdkXDbIi",100,6,4,0,0.8,1
3,0.746340092616486,1,-2,3,8,"2;1","NdkXDbIi",100,6,4,0,0.8,1
4,0.5,1,5,3,13,"2;1","NdkXDbIi",100,6,4,0,0.8,1
5,0.5,1,-11,3,2,"2;1","NdkXDbIi",100,6,4,0,0.8,1
6,0.881557765444123,1,0,3,2,"2;1","NdkXDbIi",100,6,4,0,0.8,1
7,1.19617265867885,1,2,3,4,"2;1","NdkXDbIi",100,6,4,0,0.8,1
8,0.697831217803401,1,17,3,21,"2;1","NdkXDbIi",100,6,4,0,0.8,1
9,0.752445542409033,1,22,3,43,"2;1","NdkXDbIi",100,6,4,0,0.8,1
10,1.05176150925432,1,7,3,50,"2;1","NdkXDbIi",100,6,4,0,0.8,1
11,0.772565475767627,1,7,3,57,"2;1","NdkXDbIi",100,6,4,0,0.8,1
12,0.978248714242127,2,4,3,61,"2;1","NdkXDbIi",100,6,4,0,0.8,1
13,0.5,1,12,3,73,"2;1","NdkXDbIi",100,6,4,0,0.8,1
14,0.638993103774888,1,15,3,88,"2;1","NdkXDbIi",100,6,4,0,0.8,1
15,0.76381724962403,1,8,3,96,"2;1","NdkXDbIi",100,6,4,0,0.8,1
16,0.72191368378738,1,2,3,98,"2;1","NdkXDbIi",100,6,4,0,0.8,1
17,0.963352572682714,2,6,3,104,"2;1","NdkXDbIi",100,6,4,0,0.8,1
18,0.5,1,2,3,106,"2;1","NdkXDbIi",100,6,4,0,0.8,1
19,0.5,2,5,3,111,"2;1","NdkXDbIi",100,6,4,0,0.8,1
20,1.02433716866244,2,1,3,112,"2;1","NdkXDbIi",100,6,4,0,0.8,1
21,0.765773659586666,2,2,3,114,"2;1","NdkXDbIi",100,6,4,0,0.8,1
22,0.682236588494629,1,6,3,120,"2;1","NdkXDbIi",100,6,4,0,0.8,1
23,0.5,2,0,3,120,"2;1","NdkXDbIi",100,6,4,0,0.8,1
24,0.725926896793533,2,3,3,123,"2;1","NdkXDbIi",100,6,4,0,0.8,1
25,0.835979669575564,2,4,3,127,"2;1","NdkXDbIi",100,6,4,0,0.8,1
1,0.600985796214338,2,6,4,6,"2;1","NdkXDbIi",100,6,4,0,0.8,1
2,0.673913181951317,2,2,4,8,"2;1","NdkXDbIi",100,6,4,0,0.8,1
3,1.01064155777759,2,3,4,11,"2;1","NdkXDbIi",100,6,4,0,0.8,1
4,0.5,2,2,4,13,"2;1","NdkXDbIi",100,6,4,0,0.8,1
5,1.06411005765873,1,-2,4,11,"2;1","NdkXDbIi",100,6,4,0,0.8,1
6,0.672259679650115,1,8,4,19,"2;1","NdkXDbIi",100,6,4,0,0.8,1
7,0.5,2,-5,4,14,"2;1","NdkXDbIi",100,6,4,0,0.8,1
8,1.30050324289162,1,23,4,37,"2;1","NdkXDbIi",100,6,4,0,0.8,1
9,0.641022960183469,1,1,4,38,"2;1","NdkXDbIi",100,6,4,0,0.8,1
10,1.2285684718955,2,-1,4,37,"2;1","NdkXDbIi",100,6,4,0,0.8,1
11,0.600830886310898,1,-5,4,32,"2;1","NdkXDbIi",100,6,4,0,0.8,1
12,0.684879577399658,1,13,4,45,"2;1","NdkXDbIi",100,6,4,0,0.8,1
13,0.816735811658014,1,8,4,53,"2;1","NdkXDbIi",100,6,4,0,0.8,1
14,0.501912416704646,2,1,4,54,"2;1","NdkXDbIi",100,6,4,0,0.8,1
15,0.833108771568023,1,1,4,55,"2;1","NdkXDbIi",100,6,4,0,0.8,1
16,0.930658971954436,1,13,4,68,"2;1","NdkXDbIi",100,6,4,0,0.8,1
17,0.5,1,1,4,69,"2;1","NdkXDbIi",100,6,4,0,0.8,1
18,0.599364826254534,1,11,4,80,"2;1","NdkXDbIi",100,6,4,0,0.8,1
19,1.14688250257534,2,-3,4,77,"2;1","NdkXDbIi",100,6,4,0,0.8,1
20,0.532532672572416,1,-9,4,68,"2;1","NdkXDbIi",100,6,4,0,0.8,1
21,0.752290696110908,1,5,4,73,"2;1","NdkXDbIi",100,6,4,0,0.8,1
22,1.16276534424456,1,22,4,95,"2;1","NdkXDbIi",100,6,4,0,0.8,1
23,0.737551037763362,1,-5,4,90,"2;1","NdkXDbIi",100,6,4,0,0.8,1
24,0.860006753379116,1,-1,4,89,"2;1","NdkXDbIi",100,6,4,0,0.8,1
25,1.17710689192778,2,1,4,90,"2;1","NdkXDbIi",100,6,4,0,0.8,1
1,0.619205424837728,1,3,5,3,"1;2","NdkXDbIi",100,6,4,0,0.8,1
2,0.5,2,-21,5,-18,"1;2","NdkXDbIi",100,6,4,0,0.8,1
3,0.628534951065152,2,7,5,-11,"1;2","NdkXDbIi",100,6,4,0,0.8,1
4,0.909475432437073,2,-3,5,-14,"1;2","NdkXDbIi",100,6,4,0,0.8,1
5,0.575191307972539,2,-9,5,-23,"1;2","NdkXDbIi",100,6,4,0,0.8,1
6,1.05401590690076,2,-15,5,-38,"1;2","NdkXDbIi",100,6,4,0,0.8,1
7,0.943186612120356,1,0,5,-38,"1;2","NdkXDbIi",100,6,4,0,0.8,1
8,0.647233381616739,2,-8,5,-46,"1;2","NdkXDbIi",100,6,4,0,0.8,1
9,0.65410751546261,2,5,5,-41,"1;2","NdkXDbIi",100,6,4,0,0.8,1
10,0.968533863056182,2,10,5,-31,"1;2","NdkXDbIi",100,6,4,0,0.8,1
11,1.24676628945699,2,-10,5,-41,"1;2","NdkXDbIi",100,6,4,0,0.8,1
12,1.09509242017334,2,30,5,-11,"1;2","NdkXDbIi",100,6,4,0,0.8,1
13,0.947881011991478,2,-1,5,-12,"1;2","NdkXDbIi",100,6,4,0,0.8,1
14,0.92222038717622,1,0,5,-12,"1;2","NdkXDbIi",100,6,4,0,0.8,1
15,0.709569924980695,2,-6,5,-18,"1;2","NdkXDbIi",100,6,4,0,0.8,1
16,0.5,2,1,5,-17,"1;2","NdkXDbIi",100,6,4,0,0.8,1
17,0.920072266997348,2,12,5,-5,"1;2","NdkXDbIi",100,6,4,0,0.8,1
18,1.08102463520736,2,13,5,8,"1;2","NdkXDbIi",100,6,4,0,0.8,1
19,0.951291769546862,2,14,5,22,"1;2","NdkXDbIi",100,6,4,0,0.8,1
