"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.528517986454196,1,2,1,2,"1;2","NtKlEW3S",100,6,3,0,0.6,1
2,1.03236533873185,2,4,1,6,"1;2","NtKlEW3S",100,6,3,0,0.6,1
3,0.5,2,4,1,10,"1;2","NtKlEW3S",100,6,3,0,0.6,1
4,0.5,2,4,1,14,"1;2","NtKlEW3S",100,6,3,0,0.6,1
5,1.02146979089683,2,7,1,21,"1;2","NtKlEW3S",100,6,3,0,0.6,1
6,0.704016654560805,1,3,1,24,"1;2","NtKlEW3S",100,6,3,0,0.6,1
7,0.512688728145783,2,1,1,25,"1;2","NtKlEW3S",100,6,3,0,0.6,1
8,0.763550720657414,2,1,1,26,"1;2","NtKlEW3S",100,6,3,0,0.6,1
9,0.5,2,5,1,31,"1;2","NtKlEW3S",100,6,3,0,0.6,1
10,0.642676247100616,2,-2,1,29,"1;2","NtKlEW3S",100,6,3,0,0.6,1
11,1.41238022515559,2,2,1,31,"1;2","NtKlEW3S",100,6,3,0,0.6,1
12,0.80599085060898,2,3,1,34,"1;2","NtKlEW3S",100,6,3,0,0.6,1
13,0.869197686193342,2,2,1,36,"1;2","NtKlEW3S",100,6,3,0,0.6,1
14,0.709992064148519,2,6,1,42,"1;2","NtKlEW3S",100,6,3,0,0.6,1
15,0.598556139686199,2,6,1,48,"1;2","NtKlEW3S",100,6,3,0,0.6,1
16,0.987070945842274,2,2,1,50,"1;2","NtKlEW3S",100,6,3,0,0.6,1
17,1.01487806560442,2,4,1,54,"1;2","NtKlEW3S",100,6,3,0,0.6,1
18,0.750695669931999,1,1,1,55,"1;2","NtKlEW3S",100,6,3,0,0.6,1
19,0.85483622696493,1,5,1,60,"1;2","NtKlEW3S",100,6,3,0,0.6,1
20,1.26800556245608,2,2,1,62,"1;2","NtKlEW3S",100,6,3,0,0.6,1
1,0.766967020214965,1,8,2,8,"2;1","NtKlEW3S",100,6,3,0,0.6,1
2,1.52971120227701,1,6,2,14,"2;1","NtKlEW3S",100,6,3,0,0.6,1
3,0.851470242497985,1,8,2,22,"2;1","NtKlEW3S",100,6,3,0,0.6,1
4,1.40854567694004,1,10,2,32,"2;1","NtKlEW3S",100,6,3,0,0.6,1
5,0.5,1,-6,2,26,"2;1","NtKlEW3S",100,6,3,0,0.6,1
6,0.851877356815325,1,6,2,32,"2;1","NtKlEW3S",100,6,3,0,0.6,1
7,0.544821309399233,2,4,2,36,"2;1","NtKlEW3S",100,6,3,0,0.6,1
8,0.824592210673981,1,8,2,44,"2;1","NtKlEW3S",100,6,3,0,0.6,1
9,1.05260613595774,1,-11,2,33,"2;1","NtKlEW3S",100,6,3,0,0.6,1
10,0.639701586285456,1,-11,2,22,"2;1","NtKlEW3S",100,6,3,0,0.6,1
11,0.66538027266726,2,2,2,24,"2;1","NtKlEW3S",100,6,3,0,0.6,1
12,1.19541867229889,1,-8,2,16,"2;1","NtKlEW3S",100,6,3,0,0.6,1
13,0.5,1,18,2,34,"2;1","NtKlEW3S",100,6,3,0,0.6,1
