"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,3,1,3,"1;2","O8COMQyY",0,1,NA,0,1.33,3
2,0.5,1,1,1,4,"1;2","O8COMQyY",0,1,NA,0,1.33,3
3,1.09175414856189,1,3,1,7,"1;2","O8COMQyY",0,1,NA,0,1.33,3
4,0.832019757634582,1,1,1,8,"1;2","O8COMQyY",0,1,NA,0,1.33,3
5,0.593395904348167,1,4,1,12,"1;2","O8COMQyY",0,1,NA,0,1.33,3
6,0.94267659542175,1,4,1,16,"1;2","O8COMQyY",0,1,NA,0,1.33,3
7,0.68889591135967,1,4,1,20,"1;2","O8COMQyY",0,1,NA,0,1.33,3
8,0.752403890485031,2,6,1,26,"1;2","O8COMQyY",0,1,NA,0,1.33,3
9,0.985383704419809,1,2,1,28,"1;2","O8COMQyY",0,1,NA,0,1.33,3
10,0.950668944158703,1,2,1,30,"1;2","O8COMQyY",0,1,NA,0,1.33,3
11,0.917709307394073,2,3,1,33,"1;2","O8COMQyY",0,1,NA,0,1.33,3
12,0.835678164959436,1,4,1,37,"1;2","O8COMQyY",0,1,NA,0,1.33,3
13,0.542351710028216,1,8,1,45,"1;2","O8COMQyY",0,1,NA,0,1.33,3
14,0.745534049868377,1,4,1,49,"1;2","O8COMQyY",0,1,NA,0,1.33,3
15,1.01675110872181,1,6,1,55,"1;2","O8COMQyY",0,1,NA,0,1.33,3
16,0.796668007442502,2,5,1,60,"1;2","O8COMQyY",0,1,NA,0,1.33,3
17,0.5,2,3,1,63,"1;2","O8COMQyY",0,1,NA,0,1.33,3
18,0.547630082519537,1,2,1,65,"1;2","O8COMQyY",0,1,NA,0,1.33,3
19,0.936453839699266,1,5,1,70,"1;2","O8COMQyY",0,1,NA,0,1.33,3
20,1.06856699446666,1,3,1,73,"1;2","O8COMQyY",0,1,NA,0,1.33,3
1,0.673388955487241,2,5,2,5,"2;1","O8COMQyY",0,1,NA,0,1.33,3
2,0.528859355389465,2,7,2,12,"2;1","O8COMQyY",0,1,NA,0,1.33,3
3,0.589291711915438,2,8,2,20,"2;1","O8COMQyY",0,1,NA,0,1.33,3
4,1.24245062623211,2,3,2,23,"2;1","O8COMQyY",0,1,NA,0,1.33,3
5,0.828934966672567,2,-3,2,20,"2;1","O8COMQyY",0,1,NA,0,1.33,3
6,0.730264892805761,2,6,2,26,"2;1","O8COMQyY",0,1,NA,0,1.33,3
7,0.778524224162717,2,3,2,29,"2;1","O8COMQyY",0,1,NA,0,1.33,3
8,0.660454883284602,2,5,2,34,"2;1","O8COMQyY",0,1,NA,0,1.33,3
9,1.25789938915508,1,3,2,37,"2;1","O8COMQyY",0,1,NA,0,1.33,3
10,0.5,2,1,2,38,"2;1","O8COMQyY",0,1,NA,0,1.33,3
11,0.5,2,3,2,41,"2;1","O8COMQyY",0,1,NA,0,1.33,3
12,0.798240430387265,2,-1,2,40,"2;1","O8COMQyY",0,1,NA,0,1.33,3
13,0.815737398079411,2,7,2,47,"2;1","O8COMQyY",0,1,NA,0,1.33,3
14,1.39114406241082,2,2,2,49,"2;1","O8COMQyY",0,1,NA,0,1.33,3
15,1.00816626825021,2,0,2,49,"2;1","O8COMQyY",0,1,NA,0,1.33,3
