"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.53873978485991,2,4,1,4,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
2,0.988898609089576,1,5,1,9,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
3,0.5,1,3,1,12,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
4,0.5,1,0,1,12,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
5,1.33135108341199,1,3,1,15,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
6,0.576726164191796,2,1,1,16,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
7,0.979298256812074,1,2,1,18,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
8,0.679130179596455,2,0,1,18,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
9,0.65235839893199,1,1,1,19,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
10,0.874757006206064,2,2,1,21,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
11,0.931973447953338,1,4,1,25,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
12,0.5,2,2,1,27,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
13,1.08511930522596,2,1,1,28,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
14,0.742140063321404,1,6,1,34,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
15,0.819936019872323,2,3,1,37,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
16,0.5,1,1,1,38,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
17,0.5,2,3,1,41,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
18,0.650459123618637,1,3,1,44,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
19,0.930239063006539,1,6,1,50,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
20,0.836557458101642,1,0,1,50,"1;2","OO8Viwp7",0,3,NA,1,0.66,2
1,0.819270731274087,2,-1,2,-1,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
2,0.649194670876725,1,15,2,14,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
3,1.27554929673996,1,19,2,33,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
4,0.86324158883765,1,-5,2,28,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
5,1.13019011704012,1,22,2,50,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
6,1.23881753813328,2,-2,2,48,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
7,0.596484210597114,1,-9,2,39,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
8,1.03761159631183,2,4,2,43,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
9,0.920779218299739,2,7,2,50,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
10,1.01816026494674,1,-7,2,43,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
11,0.804172128084134,2,4,2,47,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
12,0.772645647758044,1,-15,2,32,"2;1","OO8Viwp7",0,3,NA,1,0.66,2
