"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03175292984064,2,5,1,5,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
2,0.549144411900398,2,4,1,9,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
3,0.908174894649493,2,2,1,11,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
4,0.937608574553549,2,3,1,14,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
5,0.5,2,3,1,17,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
6,0.775181829878729,2,5,1,22,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
7,0.709650262527577,2,6,1,28,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
8,0.655980203364674,2,3,1,31,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
9,0.937499905916351,1,1,1,32,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
10,0.740812080742003,2,2,1,34,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
11,0.993978062334182,1,2,1,36,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
12,0.902614695301185,2,5,1,41,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
13,0.778127656278813,1,4,1,45,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
14,0.718038741602166,2,1,1,46,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
15,0.608869270670464,2,5,1,51,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
16,1.16563256708712,2,2,1,53,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
17,1.08048935698238,2,3,1,56,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
18,0.911145988177635,2,1,1,57,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
19,0.96892664974417,2,-1,1,56,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
20,0.781767695561251,2,3,1,59,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
1,1.10074783417286,2,2,2,2,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
2,0.747485728801335,1,2,2,4,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
3,0.588969231453728,1,-6,2,-2,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
4,1.04141340781124,2,5,2,3,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
5,0.5,2,5,2,8,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
6,1.04089279667684,2,5,2,13,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
7,0.650930409776284,2,5,2,18,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
8,1.0634948545426,1,-5,2,13,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
9,0.69561978867915,2,4,2,17,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
10,0.917614417972362,2,8,2,25,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
11,0.552271953923314,1,2,2,27,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
12,0.976056482900159,2,6,2,33,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
13,0.97407939244803,2,4,2,37,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
14,0.862438154877913,2,3,2,40,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
15,0.762736652687034,2,3,2,43,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
16,0.777463892059124,1,-9,2,34,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
17,0.516076414617951,2,6,2,40,"2;1","OWA3Hmuq",0,2,NA,2,0.73,2
