"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.961454889218945,1,2,1,2,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
2,0.883624026887272,2,3,1,5,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
3,0.5,2,2,1,7,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
4,0.877522948282344,1,0,1,7,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
5,0.895387925494248,1,4,1,11,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
6,0.847890449538638,2,1,1,12,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
7,0.969133503350223,1,3,1,15,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
8,0.995294027657428,1,4,1,19,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
9,1.08229715503673,2,6,1,25,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
10,0.817907003615654,2,4,1,29,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
11,0.506872255209721,2,2,1,31,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
12,1.05735020141486,1,4,1,35,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
13,0.78452193541675,1,-1,1,34,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
14,1.18516162965134,1,-1,1,33,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
15,0.5,2,5,1,38,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
16,0.5,1,4,1,42,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
17,0.998010440079488,2,4,1,46,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
18,0.80143353968942,2,3,1,49,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
19,0.798801768600477,1,2,1,51,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
20,1.06777321187136,1,3,1,54,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
1,0.796078111213221,1,7,2,7,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
2,0.5,2,6,2,13,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
3,0.671818722539922,1,15,2,28,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
4,0.624781010967511,1,26,2,54,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
5,0.951804342737217,2,2,2,56,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
6,0.817948026851466,2,1,2,57,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
7,0.796176327294322,1,6,2,63,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
8,0.5,1,8,2,71,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
9,1.02006074159823,1,0,2,71,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
10,0.537125831704601,2,6,2,77,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
11,0.739770416224659,1,10,2,87,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
12,1.25128547952884,1,6,2,93,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
13,0.994377572574137,2,4,2,97,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
14,0.923357443795707,2,3,2,100,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
15,0.77894496120969,1,-6,2,94,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
16,0.827113847632352,2,-1,2,93,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
17,1.08265953103054,2,5,2,98,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
18,0.657061880404414,2,4,2,102,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
19,1.08338574435957,2,3,2,105,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
20,0.646229039322454,2,8,2,113,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
21,1.19659626443172,1,-9,2,104,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
22,0.578595311274656,1,-3,2,101,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
23,0.5,2,3,2,104,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
24,0.858230075114065,2,3,2,107,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
25,0.649829194651314,1,7,2,114,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
1,0.869248937016614,2,6,3,6,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
2,1.31252254743667,1,3,3,9,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
3,0.5,1,12,3,21,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
4,1.28784062656193,2,6,3,27,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
5,0.861348907891232,1,-8,3,19,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
6,0.5,2,6,3,25,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
7,0.5,1,-3,3,22,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
8,1.16292741195313,1,-20,3,2,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
9,0.560331030715343,1,-15,3,-13,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
10,1.20302725521623,1,17,3,4,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
11,0.550080597560384,1,-5,3,-1,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
12,0.533721871308024,2,3,3,2,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
13,1.16940967200965,1,14,3,16,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
14,0.909288313399224,1,2,3,18,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
15,0.905100423561963,1,5,3,23,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
16,1.18861659028868,1,-6,3,17,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
17,0.558917127358249,1,-7,3,10,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
18,0.982196251355799,1,21,3,31,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
19,0.5,1,6,3,37,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
20,0.5,2,4,3,41,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
21,0.72134937201846,1,6,3,47,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
22,1.2802367575958,1,9,3,56,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
23,0.894471096780391,1,6,3,62,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
24,0.717171574753117,1,-12,3,50,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
25,0.832374497105796,2,8,3,58,"2;1","Oc2tnf1X",100,4,6,0,1.2,3
1,0.795000647090971,1,-1,4,-1,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
2,1.02780365522899,2,-11,4,-12,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
3,1.56800526009234,2,-11,4,-23,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
4,0.506356993775249,2,12,4,-11,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
5,0.888408614237377,2,7,4,-4,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
6,1.23826106169939,2,11,4,7,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
7,1.01525062591893,2,4,4,11,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
8,1.26846295870901,2,8,4,19,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
9,0.645316133212688,2,10,4,29,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
10,0.986676339634725,2,-10,4,19,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
11,0.593535359655015,2,5,4,24,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
12,0.697288299349479,2,10,4,34,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
13,0.630888614778376,2,-2,4,32,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
14,0.5,2,33,4,65,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
15,0.853172234946031,2,19,4,84,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
16,0.932672961149046,2,8,4,92,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
17,1.31654812299492,2,-11,4,81,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
18,0.815874602977976,2,-3,4,78,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
19,0.980268965348405,2,5,4,83,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
20,0.5,2,-5,4,78,"1;2","Oc2tnf1X",100,4,6,0,1.2,3
