"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.49404820623987,2,0,1,0,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
2,1.28405593380624,1,2,1,2,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
3,0.853821307789755,1,4,1,6,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
4,0.752091242958923,1,0,1,6,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
5,1.33762810416118,2,1,1,7,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
6,0.510290640730221,1,2,1,9,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
7,0.829990667518604,2,6,1,15,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
8,0.599772777650959,1,3,1,18,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
9,0.709540377070018,2,3,1,21,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
10,0.989965174285164,2,5,1,26,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
11,0.696848045528564,2,2,1,28,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
12,0.993271118112894,2,2,1,30,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
13,0.80668764423588,2,-2,1,28,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
14,1.28351393762018,1,4,1,32,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
15,0.887063347117386,1,3,1,35,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
16,1.31655856930265,2,3,1,38,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
17,0.814763332924583,1,3,1,41,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
18,1.17359994163664,2,4,1,45,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
19,0.67156079352108,1,4,1,49,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
20,0.5,2,5,1,54,"2;1","OfYhrY5Z",0,3,NA,1,0.76,1
1,0.682482935281967,1,4,2,4,"1;2","OfYhrY5Z",0,3,NA,1,0.76,1
2,0.997000915268619,2,4,2,8,"1;2","OfYhrY5Z",0,3,NA,1,0.76,1
3,0.5,1,1,2,9,"1;2","OfYhrY5Z",0,3,NA,1,0.76,1
4,0.704983449671923,1,3,2,12,"1;2","OfYhrY5Z",0,3,NA,1,0.76,1
5,0.716518250171522,1,3,2,15,"1;2","OfYhrY5Z",0,3,NA,1,0.76,1
