"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.2675277032815,1,2,1,2,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
2,1.27215178027928,1,1,1,3,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
3,0.826778044072095,1,2,1,5,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
4,0.5,2,3,1,8,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
5,0.807810940327843,2,6,1,14,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
6,0.640511146990938,2,3,1,17,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
7,0.5,2,1,1,18,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
8,0.5,2,3,1,21,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
9,0.5,2,0,1,21,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
10,1.20975463269468,2,1,1,22,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
11,0.701161233720408,1,6,1,28,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
12,0.953785605192805,1,1,1,29,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
13,0.727288172732358,1,3,1,32,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
14,0.5,1,5,1,37,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
15,0.816579459440999,1,4,1,41,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
16,0.649822054318503,1,4,1,45,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
17,1.15940378898166,1,2,1,47,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
18,1.01373787836494,1,4,1,51,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
19,0.872463685707645,1,5,1,56,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
20,1.03149906742848,1,4,1,60,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
1,0.5,1,-4,2,-4,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
2,0.521447574492987,1,8,2,4,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
3,0.955503622367377,1,-14,2,-10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
4,0.677301206648571,2,1,2,-9,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
5,1.39260073437867,1,-1,2,-10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
6,0.5,2,2,2,-8,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
7,0.564924070234696,2,1,2,-7,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
8,0.529375228542099,2,6,2,-1,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
9,0.5,2,2,2,1,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
10,1.01476353555947,2,3,2,4,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
11,0.535062298828545,2,7,2,11,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
12,0.862124775937332,1,9,2,20,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
13,1.00014537201106,2,2,2,22,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
14,0.5,1,11,2,33,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
15,0.5,1,18,2,51,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
16,1.18640091818119,2,6,2,57,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
17,1.09690298484188,2,6,2,63,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
18,1.19668937817179,1,10,2,73,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
19,1.01085735936711,1,-3,2,70,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
20,0.661659756715068,2,2,2,72,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
21,1.28147886011756,1,2,2,74,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
22,1.13864943781076,2,6,2,80,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
23,0.685318799576593,2,1,2,81,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
24,1.18284707847166,1,-13,2,68,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
25,0.664958421817431,2,4,2,72,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
1,0.783405610812991,1,4,3,4,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
2,1.0680096155315,1,6,3,10,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
3,1.06676564736697,1,5,3,15,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
4,1.1291865402769,2,16,3,31,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
5,0.910048647169821,1,6,3,37,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
6,0.787665244130625,2,-6,3,31,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
7,0.598900892717469,1,5,3,36,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
8,1.01423139867716,1,4,3,40,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
9,0.85927141164709,2,-6,3,34,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
10,0.643557698035258,2,10,3,44,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
11,1.04711318415618,1,4,3,48,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
12,1.08686450574093,1,4,3,52,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
13,0.508643036010183,1,-1,3,51,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
14,0.857096068466729,2,12,3,63,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
15,0.790300627661738,2,17,3,80,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
16,0.700140798858548,1,7,3,87,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
17,0.986328345472018,1,3,3,90,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
18,0.5,2,1,3,91,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
19,0.791862507921218,2,5,3,96,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
20,1.27523463604291,1,1,3,97,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
21,1.30624158128622,1,2,3,99,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
22,1.01214286654073,2,-15,3,84,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
23,0.5,2,-9,3,75,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
24,0.908024928121494,2,4,3,79,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
25,0.559974963319204,1,3,3,82,"1;2","OsXHwLYg",0,1,NA,0,0.95,3
1,0.968165225066722,1,-17,4,-17,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
2,0.628513094469093,2,-1,4,-18,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
3,0.571715684702546,2,7,4,-11,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
4,0.991239470418801,1,-12,4,-23,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
5,0.65350022036172,2,8,4,-15,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
6,0.850582173229075,2,5,4,-10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
7,1.4495157021067,1,-11,4,-21,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
8,0.624312873338554,1,2,4,-19,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
9,0.802831568681964,2,7,4,-12,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
10,0.576060123482524,2,2,4,-10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
11,1.10058662353112,2,5,4,-5,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
12,1.19691734433111,1,8,4,3,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
13,0.848841558611868,2,6,4,9,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
14,0.908603468792578,1,-19,4,-10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
15,0.816780323208144,2,3,4,-7,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
16,0.957058159171831,1,7,4,0,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
17,0.57130659284248,2,7,4,7,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
18,0.886820153701241,2,3,4,10,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
19,0.796595044350791,2,5,4,15,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
20,1.21781363544361,2,4,4,19,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
21,0.936854347314978,1,-3,4,16,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
22,0.845210470517726,2,5,4,21,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
23,0.747394040127314,2,3,4,24,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
24,0.878596909796644,2,0,4,24,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
25,0.777389732490755,2,3,4,27,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
1,0.996982586157792,1,-13,5,-13,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
2,0.525666798035134,1,7,5,-6,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
3,0.670207199995245,1,12,5,6,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
4,1.22820389503141,1,3,5,9,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
5,0.5,1,-2,5,7,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
6,0.663694274695947,1,17,5,24,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
7,1.34448605132359,1,-9,5,15,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
8,0.751294201796404,1,0,5,15,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
9,1.03221688808421,1,4,5,19,"2;1","OsXHwLYg",0,1,NA,0,0.95,3
