"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.745507596928658,2,3,1,3,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
2,0.701583864610074,2,1,1,4,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
3,0.5,2,2,1,6,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
4,0.88653341224441,2,4,1,10,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
5,0.851556817287375,2,4,1,14,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
6,0.99598942170024,2,0,1,14,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
7,1.04264555217566,1,4,1,18,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
8,1.05311199616126,2,4,1,22,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
9,0.944753782186813,2,4,1,26,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
10,0.5,2,5,1,31,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
11,0.663704922311004,2,1,1,32,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
12,0.960906980302275,2,1,1,33,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
13,0.890368637816403,2,1,1,34,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
14,0.622155964149752,2,4,1,38,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
15,0.95652284630304,2,3,1,41,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
16,0.879719147756006,1,5,1,46,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
17,0.5,2,7,1,53,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
18,1.23834011313211,2,5,1,58,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
19,0.652813368303909,2,0,1,58,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
20,0.663300635705984,2,6,1,64,"1;2","P3uGDzIo",0,1,NA,0,1.37,3
