"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05876695416258,1,1,1,1,"2;1","PC3sKM4F",100,4,6,0,1.2,3
2,0.707632252497009,1,3,1,4,"2;1","PC3sKM4F",100,4,6,0,1.2,3
3,1.03209436048798,1,7,1,11,"2;1","PC3sKM4F",100,4,6,0,1.2,3
4,0.664623280588574,2,4,1,15,"2;1","PC3sKM4F",100,4,6,0,1.2,3
5,0.919099139022479,1,7,1,22,"2;1","PC3sKM4F",100,4,6,0,1.2,3
6,0.775731534969941,1,4,1,26,"2;1","PC3sKM4F",100,4,6,0,1.2,3
7,1.13346868524086,1,4,1,30,"2;1","PC3sKM4F",100,4,6,0,1.2,3
8,0.5,1,6,1,36,"2;1","PC3sKM4F",100,4,6,0,1.2,3
9,0.939878272617585,1,4,1,40,"2;1","PC3sKM4F",100,4,6,0,1.2,3
10,1.24076395431929,1,3,1,43,"2;1","PC3sKM4F",100,4,6,0,1.2,3
11,0.733823408817069,2,1,1,44,"2;1","PC3sKM4F",100,4,6,0,1.2,3
12,0.793204518764072,1,3,1,47,"2;1","PC3sKM4F",100,4,6,0,1.2,3
13,1.0161759955374,1,4,1,51,"2;1","PC3sKM4F",100,4,6,0,1.2,3
14,0.71985946959271,1,5,1,56,"2;1","PC3sKM4F",100,4,6,0,1.2,3
15,0.966644310610787,1,0,1,56,"2;1","PC3sKM4F",100,4,6,0,1.2,3
16,0.732078316456827,1,1,1,57,"2;1","PC3sKM4F",100,4,6,0,1.2,3
17,0.571591961473938,2,3,1,60,"2;1","PC3sKM4F",100,4,6,0,1.2,3
18,0.876010882906913,1,5,1,65,"2;1","PC3sKM4F",100,4,6,0,1.2,3
19,0.601470889799768,1,7,1,72,"2;1","PC3sKM4F",100,4,6,0,1.2,3
20,0.693003162720535,1,1,1,73,"2;1","PC3sKM4F",100,4,6,0,1.2,3
1,0.791640835470569,2,3,2,3,"2;1","PC3sKM4F",100,4,6,0,1.2,3
2,0.5,2,8,2,11,"2;1","PC3sKM4F",100,4,6,0,1.2,3
3,0.711133998214651,2,7,2,18,"2;1","PC3sKM4F",100,4,6,0,1.2,3
4,0.742176488227156,1,-20,2,-2,"2;1","PC3sKM4F",100,4,6,0,1.2,3
5,0.924322517488502,1,5,2,3,"2;1","PC3sKM4F",100,4,6,0,1.2,3
6,0.851255324238988,2,5,2,8,"2;1","PC3sKM4F",100,4,6,0,1.2,3
7,0.776087672303485,2,5,2,13,"2;1","PC3sKM4F",100,4,6,0,1.2,3
8,0.5,1,6,2,19,"2;1","PC3sKM4F",100,4,6,0,1.2,3
9,0.584303961577954,1,7,2,26,"2;1","PC3sKM4F",100,4,6,0,1.2,3
10,1.04984966956468,1,-5,2,21,"2;1","PC3sKM4F",100,4,6,0,1.2,3
11,0.671206193129949,2,10,2,31,"2;1","PC3sKM4F",100,4,6,0,1.2,3
12,0.786055372463163,1,13,2,44,"2;1","PC3sKM4F",100,4,6,0,1.2,3
13,0.974481280510454,1,-9,2,35,"2;1","PC3sKM4F",100,4,6,0,1.2,3
14,0.662349243517123,1,6,2,41,"2;1","PC3sKM4F",100,4,6,0,1.2,3
15,1.09493449621184,2,8,2,49,"2;1","PC3sKM4F",100,4,6,0,1.2,3
16,0.902192379407635,1,12,2,61,"2;1","PC3sKM4F",100,4,6,0,1.2,3
17,0.836418418433182,2,7,2,68,"2;1","PC3sKM4F",100,4,6,0,1.2,3
18,0.806254496284334,1,-4,2,64,"2;1","PC3sKM4F",100,4,6,0,1.2,3
19,0.539880245985486,2,4,2,68,"2;1","PC3sKM4F",100,4,6,0,1.2,3
20,0.697095268889719,1,-5,2,63,"2;1","PC3sKM4F",100,4,6,0,1.2,3
21,0.928453487023601,1,11,2,74,"2;1","PC3sKM4F",100,4,6,0,1.2,3
22,0.598681147584501,1,8,2,82,"2;1","PC3sKM4F",100,4,6,0,1.2,3
23,0.5,1,22,2,104,"2;1","PC3sKM4F",100,4,6,0,1.2,3
24,0.786405770650374,1,-7,2,97,"2;1","PC3sKM4F",100,4,6,0,1.2,3
25,1.12942872633785,1,-21,2,76,"2;1","PC3sKM4F",100,4,6,0,1.2,3
1,0.712624352541865,1,-5,3,-5,"2;1","PC3sKM4F",100,4,6,0,1.2,3
2,0.782614815225488,2,9,3,4,"2;1","PC3sKM4F",100,4,6,0,1.2,3
3,0.5,1,18,3,22,"2;1","PC3sKM4F",100,4,6,0,1.2,3
4,1.36985039062576,1,-5,3,17,"2;1","PC3sKM4F",100,4,6,0,1.2,3
5,0.865837554864202,1,-7,3,10,"2;1","PC3sKM4F",100,4,6,0,1.2,3
6,0.5,1,4,3,14,"2;1","PC3sKM4F",100,4,6,0,1.2,3
7,0.653477471651512,2,4,3,18,"2;1","PC3sKM4F",100,4,6,0,1.2,3
8,0.972607028103409,1,6,3,24,"2;1","PC3sKM4F",100,4,6,0,1.2,3
9,1.10688978074868,1,14,3,38,"2;1","PC3sKM4F",100,4,6,0,1.2,3
10,0.5,1,14,3,52,"2;1","PC3sKM4F",100,4,6,0,1.2,3
11,0.994869290815846,1,2,3,54,"2;1","PC3sKM4F",100,4,6,0,1.2,3
12,0.869600002959781,2,6,3,60,"2;1","PC3sKM4F",100,4,6,0,1.2,3
13,0.704985509517133,1,-7,3,53,"2;1","PC3sKM4F",100,4,6,0,1.2,3
14,0.689819669227294,1,-11,3,42,"2;1","PC3sKM4F",100,4,6,0,1.2,3
15,0.620077909545702,1,15,3,57,"2;1","PC3sKM4F",100,4,6,0,1.2,3
16,0.5,1,-11,3,46,"2;1","PC3sKM4F",100,4,6,0,1.2,3
17,1.30733227762738,1,10,3,56,"2;1","PC3sKM4F",100,4,6,0,1.2,3
18,1.1841278209804,1,-5,3,51,"2;1","PC3sKM4F",100,4,6,0,1.2,3
19,0.55765991650354,1,27,3,78,"2;1","PC3sKM4F",100,4,6,0,1.2,3
20,0.5,1,2,3,80,"2;1","PC3sKM4F",100,4,6,0,1.2,3
