"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.875789322220912,2,4,1,4,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
2,1.10599584111119,2,4,1,8,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
3,1.1529550474288,1,6,1,14,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
4,1.08421207519673,1,5,1,19,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
5,1.07002925466942,2,9,1,28,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
6,0.5,2,1,1,29,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
7,1.10713036934733,2,0,1,29,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
8,0.863634576335991,1,6,1,35,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
9,0.924503800247797,2,4,1,39,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
10,1.06966491067013,1,3,1,42,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
11,0.802121144678745,2,2,1,44,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
12,0.5,2,5,1,49,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
13,0.5,2,5,1,54,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
14,0.5,2,3,1,57,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
15,1.18027795263103,2,5,1,62,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
16,0.5,2,1,1,63,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
17,0.987880862200611,1,5,1,68,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
18,1.11810250247799,2,0,1,68,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
19,0.5,2,2,1,70,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
20,0.706175769961564,1,1,1,71,"1;2","PNQZx6SZ",100,5,2,0,0.4,2
1,0.89237219171668,1,-6,2,-6,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
2,0.778288119057239,1,15,2,9,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
3,0.604914889476229,1,5,2,14,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
4,1.01402709206,1,-5,2,9,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
5,0.604006662020757,1,10,2,19,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
6,0.793880061460878,1,-8,2,11,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
7,0.776357047557679,1,-8,2,3,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
8,0.894096040032503,1,5,2,8,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
9,0.867049736372331,1,-11,2,-3,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
10,0.887773061620565,2,7,2,4,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
11,1.28877423257158,1,-19,2,-15,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
12,0.505091633646046,2,2,2,-13,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
13,0.648417250686871,2,2,2,-11,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
14,1.0218472161229,1,2,2,-9,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
15,0.5,1,-15,2,-24,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
16,0.983666482597407,1,-19,2,-43,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
17,0.800218719531371,1,6,2,-37,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
18,0.941852972471921,1,19,2,-18,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
19,0.918932074421944,1,10,2,-8,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
20,0.928914346712073,1,3,2,-5,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
21,0.826611937851631,1,7,2,2,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
22,0.5,2,7,2,9,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
23,0.896714034975617,1,-10,2,-1,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
24,0.603580867407149,2,8,2,7,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
25,1.0735840287431,2,5,2,12,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
1,0.897544095137992,1,8,3,8,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
2,0.592236229742768,1,4,3,12,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
3,0.5,2,4,3,16,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
4,0.683588196044062,1,0,3,16,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
5,0.990802354511409,2,5,3,21,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
6,1.12688455234465,2,5,3,26,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
7,0.646228684836006,1,1,3,27,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
8,0.758035716448276,1,2,3,29,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
9,1.05833289678124,1,-7,3,22,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
10,0.605109312219443,2,1,3,23,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
11,0.547028593308689,1,21,3,44,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
12,0.827137529283992,1,4,3,48,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
13,0.925234147008062,1,-11,3,37,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
14,0.730252498535612,1,15,3,52,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
15,0.828599200609728,1,16,3,68,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
16,0.935550661116693,2,6,3,74,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
17,0.5,1,0,3,74,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
18,0.690599514878126,1,-25,3,49,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
19,0.57186189545589,1,6,3,55,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
20,1.13643989988774,1,11,3,66,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
21,1.06230937908439,1,13,3,79,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
22,0.5,1,1,3,80,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
23,0.551022422217973,1,17,3,97,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
24,1.03627028710031,1,-9,3,88,"2;1","PNQZx6SZ",100,5,2,0,0.4,2
