"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.832201337297983,2,4,1,4,"1;2","PvspJSdc",0,1,NA,0,0.74,1
2,0.782761227192818,2,4,1,8,"1;2","PvspJSdc",0,1,NA,0,0.74,1
3,0.892395390647404,2,5,1,13,"1;2","PvspJSdc",0,1,NA,0,0.74,1
4,0.574126176958382,2,5,1,18,"1;2","PvspJSdc",0,1,NA,0,0.74,1
5,0.599979229322251,2,6,1,24,"1;2","PvspJSdc",0,1,NA,0,0.74,1
6,1.08785404937031,2,2,1,26,"1;2","PvspJSdc",0,1,NA,0,0.74,1
7,0.5,2,2,1,28,"1;2","PvspJSdc",0,1,NA,0,0.74,1
8,1.07350375263284,2,3,1,31,"1;2","PvspJSdc",0,1,NA,0,0.74,1
9,0.866071280728975,1,4,1,35,"1;2","PvspJSdc",0,1,NA,0,0.74,1
10,0.819024666574883,2,4,1,39,"1;2","PvspJSdc",0,1,NA,0,0.74,1
11,0.96158925310629,2,4,1,43,"1;2","PvspJSdc",0,1,NA,0,0.74,1
12,0.682988856596156,2,3,1,46,"1;2","PvspJSdc",0,1,NA,0,0.74,1
13,0.765565496003953,2,6,1,52,"1;2","PvspJSdc",0,1,NA,0,0.74,1
14,0.770078045826551,2,3,1,55,"1;2","PvspJSdc",0,1,NA,0,0.74,1
15,0.580076631431201,2,2,1,57,"1;2","PvspJSdc",0,1,NA,0,0.74,1
16,0.5,2,4,1,61,"1;2","PvspJSdc",0,1,NA,0,0.74,1
17,0.62780453679159,2,2,1,63,"1;2","PvspJSdc",0,1,NA,0,0.74,1
18,0.5,2,2,1,65,"1;2","PvspJSdc",0,1,NA,0,0.74,1
19,0.924885348126269,2,5,1,70,"1;2","PvspJSdc",0,1,NA,0,0.74,1
20,0.677520883146951,1,6,1,76,"1;2","PvspJSdc",0,1,NA,0,0.74,1
1,0.815936538963855,2,6,2,6,"2;1","PvspJSdc",0,1,NA,0,0.74,1
2,0.878998331417408,1,-2,2,4,"2;1","PvspJSdc",0,1,NA,0,0.74,1
3,0.884661083481595,2,4,2,8,"2;1","PvspJSdc",0,1,NA,0,0.74,1
4,0.5,2,5,2,13,"2;1","PvspJSdc",0,1,NA,0,0.74,1
5,0.6925598283572,2,4,2,17,"2;1","PvspJSdc",0,1,NA,0,0.74,1
6,0.859622466022057,2,4,2,21,"2;1","PvspJSdc",0,1,NA,0,0.74,1
7,0.755046277199146,2,5,2,26,"2;1","PvspJSdc",0,1,NA,0,0.74,1
8,1.18363725415469,2,4,2,30,"2;1","PvspJSdc",0,1,NA,0,0.74,1
9,0.5,1,-9,2,21,"2;1","PvspJSdc",0,1,NA,0,0.74,1
10,0.959741836408053,2,3,2,24,"2;1","PvspJSdc",0,1,NA,0,0.74,1
11,0.5,2,2,2,26,"2;1","PvspJSdc",0,1,NA,0,0.74,1
12,0.974573056192826,2,7,2,33,"2;1","PvspJSdc",0,1,NA,0,0.74,1
13,0.735781695930863,2,7,2,40,"2;1","PvspJSdc",0,1,NA,0,0.74,1
14,0.811027117678645,2,3,2,43,"2;1","PvspJSdc",0,1,NA,0,0.74,1
15,0.684960009871046,1,-15,2,28,"2;1","PvspJSdc",0,1,NA,0,0.74,1
16,0.801120458284632,1,12,2,40,"2;1","PvspJSdc",0,1,NA,0,0.74,1
17,0.721298515077443,2,4,2,44,"2;1","PvspJSdc",0,1,NA,0,0.74,1
18,0.691778308410415,2,5,2,49,"2;1","PvspJSdc",0,1,NA,0,0.74,1
19,0.591283395322095,2,1,2,50,"2;1","PvspJSdc",0,1,NA,0,0.74,1
20,0.78947556705404,2,4,2,54,"2;1","PvspJSdc",0,1,NA,0,0.74,1
21,0.508555301848494,2,4,2,58,"2;1","PvspJSdc",0,1,NA,0,0.74,1
22,1.20745932000767,2,2,2,60,"2;1","PvspJSdc",0,1,NA,0,0.74,1
23,0.5,2,6,2,66,"2;1","PvspJSdc",0,1,NA,0,0.74,1
24,0.723499707353885,2,-1,2,65,"2;1","PvspJSdc",0,1,NA,0,0.74,1
25,1.0094900786012,2,2,2,67,"2;1","PvspJSdc",0,1,NA,0,0.74,1
1,1.07025935936928,1,-14,3,-14,"2;1","PvspJSdc",0,1,NA,0,0.74,1
2,0.622077859502864,1,0,3,-14,"2;1","PvspJSdc",0,1,NA,0,0.74,1
3,0.9510091534783,2,5,3,-9,"2;1","PvspJSdc",0,1,NA,0,0.74,1
4,0.5,2,7,3,-2,"2;1","PvspJSdc",0,1,NA,0,0.74,1
5,0.595942153005677,2,4,3,2,"2;1","PvspJSdc",0,1,NA,0,0.74,1
6,1.05764748801749,2,4,3,6,"2;1","PvspJSdc",0,1,NA,0,0.74,1
7,0.763236818682235,2,4,3,10,"2;1","PvspJSdc",0,1,NA,0,0.74,1
8,1.16955282468677,1,4,3,14,"2;1","PvspJSdc",0,1,NA,0,0.74,1
9,0.57937312876636,2,4,3,18,"2;1","PvspJSdc",0,1,NA,0,0.74,1
10,0.777779666970267,2,3,3,21,"2;1","PvspJSdc",0,1,NA,0,0.74,1
