"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.699247038319802,1,2,1,2,"1;2","QG89ipRA",100,4,6,0,1.2,2
2,1.09879480443743,2,2,1,4,"1;2","QG89ipRA",100,4,6,0,1.2,2
3,0.633659262693993,2,4,1,8,"1;2","QG89ipRA",100,4,6,0,1.2,2
4,0.638242339942815,1,5,1,13,"1;2","QG89ipRA",100,4,6,0,1.2,2
5,1.03783939319202,2,-1,1,12,"1;2","QG89ipRA",100,4,6,0,1.2,2
6,0.5,1,5,1,17,"1;2","QG89ipRA",100,4,6,0,1.2,2
7,0.761700837320383,1,3,1,20,"1;2","QG89ipRA",100,4,6,0,1.2,2
8,1.1207868511855,2,3,1,23,"1;2","QG89ipRA",100,4,6,0,1.2,2
9,0.670619242582158,2,0,1,23,"1;2","QG89ipRA",100,4,6,0,1.2,2
10,0.825410150245008,1,5,1,28,"1;2","QG89ipRA",100,4,6,0,1.2,2
11,1.2556243985723,2,5,1,33,"1;2","QG89ipRA",100,4,6,0,1.2,2
12,0.841885633500086,2,2,1,35,"1;2","QG89ipRA",100,4,6,0,1.2,2
13,1.11596248429802,1,1,1,36,"1;2","QG89ipRA",100,4,6,0,1.2,2
14,0.728224226425106,2,3,1,39,"1;2","QG89ipRA",100,4,6,0,1.2,2
15,0.807965483519826,2,5,1,44,"1;2","QG89ipRA",100,4,6,0,1.2,2
16,0.916469985248293,1,5,1,49,"1;2","QG89ipRA",100,4,6,0,1.2,2
17,0.960397908036331,2,3,1,52,"1;2","QG89ipRA",100,4,6,0,1.2,2
18,0.687536057227888,1,3,1,55,"1;2","QG89ipRA",100,4,6,0,1.2,2
19,0.699287921064193,1,4,1,59,"1;2","QG89ipRA",100,4,6,0,1.2,2
20,0.979989949579205,1,3,1,62,"1;2","QG89ipRA",100,4,6,0,1.2,2
1,1.27623759190054,1,2,2,2,"1;2","QG89ipRA",100,4,6,0,1.2,2
2,0.92310765649747,1,6,2,8,"1;2","QG89ipRA",100,4,6,0,1.2,2
3,0.593690265607471,1,-3,2,5,"1;2","QG89ipRA",100,4,6,0,1.2,2
4,0.732192446078975,2,13,2,18,"1;2","QG89ipRA",100,4,6,0,1.2,2
5,0.5,2,16,2,34,"1;2","QG89ipRA",100,4,6,0,1.2,2
6,1.0144671530557,2,-21,2,13,"1;2","QG89ipRA",100,4,6,0,1.2,2
7,0.511949601124521,2,29,2,42,"1;2","QG89ipRA",100,4,6,0,1.2,2
8,0.784553090550453,2,13,2,55,"1;2","QG89ipRA",100,4,6,0,1.2,2
9,1.06983982980337,1,8,2,63,"1;2","QG89ipRA",100,4,6,0,1.2,2
10,0.5,2,10,2,73,"1;2","QG89ipRA",100,4,6,0,1.2,2
11,0.541098588345038,2,23,2,96,"1;2","QG89ipRA",100,4,6,0,1.2,2
12,0.5,2,7,2,103,"1;2","QG89ipRA",100,4,6,0,1.2,2
13,0.662406754120282,2,-1,2,102,"1;2","QG89ipRA",100,4,6,0,1.2,2
14,0.982077919332885,1,1,2,103,"1;2","QG89ipRA",100,4,6,0,1.2,2
15,0.5,1,2,2,105,"1;2","QG89ipRA",100,4,6,0,1.2,2
16,0.5,2,-5,2,100,"1;2","QG89ipRA",100,4,6,0,1.2,2
17,0.692215221128804,1,3,2,103,"1;2","QG89ipRA",100,4,6,0,1.2,2
18,0.662748634003557,1,4,2,107,"1;2","QG89ipRA",100,4,6,0,1.2,2
19,0.987785872455646,1,-2,2,105,"1;2","QG89ipRA",100,4,6,0,1.2,2
20,0.816907106123385,2,5,2,110,"1;2","QG89ipRA",100,4,6,0,1.2,2
21,1.27064931571731,2,-21,2,89,"1;2","QG89ipRA",100,4,6,0,1.2,2
22,0.925964172734134,2,1,2,90,"1;2","QG89ipRA",100,4,6,0,1.2,2
23,1.05678149338483,2,18,2,108,"1;2","QG89ipRA",100,4,6,0,1.2,2
24,0.744340316627564,1,8,2,116,"1;2","QG89ipRA",100,4,6,0,1.2,2
25,0.816026901851729,1,3,2,119,"1;2","QG89ipRA",100,4,6,0,1.2,2
1,0.5,2,22,3,22,"1;2","QG89ipRA",100,4,6,0,1.2,2
2,0.588607731457393,1,2,3,24,"1;2","QG89ipRA",100,4,6,0,1.2,2
3,0.846699620223622,1,-1,3,23,"1;2","QG89ipRA",100,4,6,0,1.2,2
4,1.1228476450291,1,6,3,29,"1;2","QG89ipRA",100,4,6,0,1.2,2
