"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.691610832448704,2,0,1,0,"2;1","QfDEuQFU",100,6,7,0,1.4,2
2,1.01589619104234,1,4,1,4,"2;1","QfDEuQFU",100,6,7,0,1.4,2
3,0.799915908678517,1,1,1,5,"2;1","QfDEuQFU",100,6,7,0,1.4,2
4,0.815791306643984,2,5,1,10,"2;1","QfDEuQFU",100,6,7,0,1.4,2
5,1.14421783824958,1,3,1,13,"2;1","QfDEuQFU",100,6,7,0,1.4,2
6,0.915618496276688,1,1,1,14,"2;1","QfDEuQFU",100,6,7,0,1.4,2
7,1.14918288501765,2,2,1,16,"2;1","QfDEuQFU",100,6,7,0,1.4,2
8,1.28452937427313,2,4,1,20,"2;1","QfDEuQFU",100,6,7,0,1.4,2
9,0.558328239651805,2,4,1,24,"2;1","QfDEuQFU",100,6,7,0,1.4,2
10,0.825016561768352,2,1,1,25,"2;1","QfDEuQFU",100,6,7,0,1.4,2
11,0.938834031349738,2,2,1,27,"2;1","QfDEuQFU",100,6,7,0,1.4,2
12,0.619134786009926,2,5,1,32,"2;1","QfDEuQFU",100,6,7,0,1.4,2
13,0.554529184767765,1,-1,1,31,"2;1","QfDEuQFU",100,6,7,0,1.4,2
14,1.06180951639939,1,0,1,31,"2;1","QfDEuQFU",100,6,7,0,1.4,2
15,0.8687147716541,1,2,1,33,"2;1","QfDEuQFU",100,6,7,0,1.4,2
16,0.691618899908499,2,2,1,35,"2;1","QfDEuQFU",100,6,7,0,1.4,2
17,0.713506715670318,2,2,1,37,"2;1","QfDEuQFU",100,6,7,0,1.4,2
18,1.00063416793176,2,0,1,37,"2;1","QfDEuQFU",100,6,7,0,1.4,2
19,0.640594263609939,2,7,1,44,"2;1","QfDEuQFU",100,6,7,0,1.4,2
20,0.737067201587039,1,3,1,47,"2;1","QfDEuQFU",100,6,7,0,1.4,2
1,0.582893505540864,1,12,2,12,"2;1","QfDEuQFU",100,6,7,0,1.4,2
2,0.988602901638134,1,-2,2,10,"2;1","QfDEuQFU",100,6,7,0,1.4,2
3,1.10809753711511,1,11,2,21,"2;1","QfDEuQFU",100,6,7,0,1.4,2
4,0.821508452191369,1,0,2,21,"2;1","QfDEuQFU",100,6,7,0,1.4,2
5,0.5,1,6,2,27,"2;1","QfDEuQFU",100,6,7,0,1.4,2
6,0.715423451228646,2,3,2,30,"2;1","QfDEuQFU",100,6,7,0,1.4,2
7,0.782104108351079,1,12,2,42,"2;1","QfDEuQFU",100,6,7,0,1.4,2
8,0.921250602326293,1,6,2,48,"2;1","QfDEuQFU",100,6,7,0,1.4,2
9,1.14030138670876,2,3,2,51,"2;1","QfDEuQFU",100,6,7,0,1.4,2
10,1.03618673823359,2,1,2,52,"2;1","QfDEuQFU",100,6,7,0,1.4,2
11,0.557639948771816,1,23,2,75,"2;1","QfDEuQFU",100,6,7,0,1.4,2
12,0.656420613879402,1,19,2,94,"2;1","QfDEuQFU",100,6,7,0,1.4,2
13,1.38459754661776,1,9,2,103,"2;1","QfDEuQFU",100,6,7,0,1.4,2
14,0.868748634377329,1,23,2,126,"2;1","QfDEuQFU",100,6,7,0,1.4,2
15,0.62004011176707,2,2,2,128,"2;1","QfDEuQFU",100,6,7,0,1.4,2
16,0.870626246838495,2,1,2,129,"2;1","QfDEuQFU",100,6,7,0,1.4,2
17,0.942893886423136,2,0,2,129,"2;1","QfDEuQFU",100,6,7,0,1.4,2
18,0.5,2,9,2,138,"2;1","QfDEuQFU",100,6,7,0,1.4,2
19,1.00547345873046,2,7,2,145,"2;1","QfDEuQFU",100,6,7,0,1.4,2
