"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.531064444755664,2,2,1,2,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
2,0.5,1,3,1,5,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
3,0.5,1,4,1,9,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
4,0.801340303518833,1,0,1,9,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
5,1.02276220205762,1,5,1,14,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
6,1.15999722287927,1,4,1,18,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
7,0.5,1,2,1,20,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
8,0.980825370099998,1,5,1,25,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
9,0.587074300639551,1,6,1,31,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
10,0.776695241073593,1,4,1,35,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
11,1.3615421763776,1,2,1,37,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
12,1.08633530295589,1,4,1,41,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
13,0.753192907411014,1,4,1,45,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
14,0.738760679047509,1,3,1,48,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
15,0.680432826634351,2,7,1,55,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
16,1.25164844390988,2,6,1,61,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
17,0.799082571470097,2,3,1,64,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
18,0.5,1,-2,1,62,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
19,0.648409177247682,2,3,1,65,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
20,0.571689507315524,2,1,1,66,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
1,1.20429116386233,1,-1,2,-1,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
2,0.982096249783986,1,3,2,2,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
3,0.500807451568294,1,1,2,3,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
4,1.04559605697755,1,5,2,8,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
5,1.0004212324419,1,0,2,8,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
6,1.23275361275705,1,2,2,10,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
7,0.957547418876123,1,2,2,12,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
8,1.22806961283379,1,6,2,18,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
9,1.093724604273,1,6,2,24,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
10,0.948093331370603,1,0,2,24,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
11,1.07935008343255,1,0,2,24,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
12,0.804709760422482,1,2,2,26,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
13,0.605108620219359,1,2,2,28,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
14,0.904978139665542,1,6,2,34,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
15,0.813259087865397,1,-2,2,32,"1;2","Rjb8j8pQ",100,6,2,0,0.4,1
