"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.546807715764202,1,3,1,3,"1;2","SFeqHjen",100,4,6,0,1.2,3
2,0.914074622199101,1,1,1,4,"1;2","SFeqHjen",100,4,6,0,1.2,3
3,0.974104589404043,2,4,1,8,"1;2","SFeqHjen",100,4,6,0,1.2,3
4,0.5,2,1,1,9,"1;2","SFeqHjen",100,4,6,0,1.2,3
5,0.510817233107891,2,4,1,13,"1;2","SFeqHjen",100,4,6,0,1.2,3
6,1.16403593837453,1,4,1,17,"1;2","SFeqHjen",100,4,6,0,1.2,3
7,0.56957367915017,1,3,1,20,"1;2","SFeqHjen",100,4,6,0,1.2,3
8,0.815471110937317,1,2,1,22,"1;2","SFeqHjen",100,4,6,0,1.2,3
9,0.868473130339422,2,2,1,24,"1;2","SFeqHjen",100,4,6,0,1.2,3
10,0.95592513771675,2,3,1,27,"1;2","SFeqHjen",100,4,6,0,1.2,3
11,0.767667581144346,2,6,1,33,"1;2","SFeqHjen",100,4,6,0,1.2,3
12,0.637895030968673,2,8,1,41,"1;2","SFeqHjen",100,4,6,0,1.2,3
13,1.10701733702244,1,0,1,41,"1;2","SFeqHjen",100,4,6,0,1.2,3
14,0.724747288371761,2,3,1,44,"1;2","SFeqHjen",100,4,6,0,1.2,3
15,0.636038723799113,2,3,1,47,"1;2","SFeqHjen",100,4,6,0,1.2,3
16,0.5,2,3,1,50,"1;2","SFeqHjen",100,4,6,0,1.2,3
17,1.26245876970887,1,3,1,53,"1;2","SFeqHjen",100,4,6,0,1.2,3
18,0.965798755417608,2,1,1,54,"1;2","SFeqHjen",100,4,6,0,1.2,3
19,1.03020606994135,2,0,1,54,"1;2","SFeqHjen",100,4,6,0,1.2,3
20,0.616896486621925,2,4,1,58,"1;2","SFeqHjen",100,4,6,0,1.2,3
1,1.04085462953881,1,5,2,5,"1;2","SFeqHjen",100,4,6,0,1.2,3
2,0.812044412972296,2,-4,2,1,"1;2","SFeqHjen",100,4,6,0,1.2,3
3,0.791917484299701,2,1,2,2,"1;2","SFeqHjen",100,4,6,0,1.2,3
4,0.823699139820187,1,9,2,11,"1;2","SFeqHjen",100,4,6,0,1.2,3
5,0.648710269331514,1,6,2,17,"1;2","SFeqHjen",100,4,6,0,1.2,3
6,0.751808078139415,1,6,2,23,"1;2","SFeqHjen",100,4,6,0,1.2,3
