"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.663243688152041,1,2,1,2,"1;2","SO99iD4w",100,6,2,0,0.4,1
2,1.07635217498112,2,1,1,3,"1;2","SO99iD4w",100,6,2,0,0.4,1
3,0.5,1,7,1,10,"1;2","SO99iD4w",100,6,2,0,0.4,1
4,1.01034787533389,2,6,1,16,"1;2","SO99iD4w",100,6,2,0,0.4,1
5,0.647379542677602,1,5,1,21,"1;2","SO99iD4w",100,6,2,0,0.4,1
6,1.11351953019555,2,1,1,22,"1;2","SO99iD4w",100,6,2,0,0.4,1
7,0.5,1,5,1,27,"1;2","SO99iD4w",100,6,2,0,0.4,1
8,1.0073593786263,1,1,1,28,"1;2","SO99iD4w",100,6,2,0,0.4,1
9,0.5,1,4,1,32,"1;2","SO99iD4w",100,6,2,0,0.4,1
10,0.84102085947154,1,2,1,34,"1;2","SO99iD4w",100,6,2,0,0.4,1
11,0.7181137557747,2,1,1,35,"1;2","SO99iD4w",100,6,2,0,0.4,1
12,1.16616647274541,1,2,1,37,"1;2","SO99iD4w",100,6,2,0,0.4,1
13,1.09585797232545,2,3,1,40,"1;2","SO99iD4w",100,6,2,0,0.4,1
14,0.994005620502864,2,5,1,45,"1;2","SO99iD4w",100,6,2,0,0.4,1
15,0.974654684473393,2,3,1,48,"1;2","SO99iD4w",100,6,2,0,0.4,1
16,0.895552593016268,2,2,1,50,"1;2","SO99iD4w",100,6,2,0,0.4,1
17,1.35204596756666,2,4,1,54,"1;2","SO99iD4w",100,6,2,0,0.4,1
18,0.653261205433246,2,-1,1,53,"1;2","SO99iD4w",100,6,2,0,0.4,1
19,0.643846568606044,2,0,1,53,"1;2","SO99iD4w",100,6,2,0,0.4,1
20,0.80710616281703,1,4,1,57,"1;2","SO99iD4w",100,6,2,0,0.4,1
1,0.599853311872813,1,3,2,3,"1;2","SO99iD4w",100,6,2,0,0.4,1
2,1.04068602568816,1,3,2,6,"1;2","SO99iD4w",100,6,2,0,0.4,1
3,0.627564949300429,1,5,2,11,"1;2","SO99iD4w",100,6,2,0,0.4,1
4,0.851033990397996,2,-9,2,2,"1;2","SO99iD4w",100,6,2,0,0.4,1
5,0.838784774028369,2,-1,2,1,"1;2","SO99iD4w",100,6,2,0,0.4,1
6,1.09349569003635,2,-11,2,-10,"1;2","SO99iD4w",100,6,2,0,0.4,1
7,0.582632106213355,2,15,2,5,"1;2","SO99iD4w",100,6,2,0,0.4,1
8,0.8251560838807,2,9,2,14,"1;2","SO99iD4w",100,6,2,0,0.4,1
9,0.5,2,3,2,17,"1;2","SO99iD4w",100,6,2,0,0.4,1
10,0.5,1,0,2,17,"1;2","SO99iD4w",100,6,2,0,0.4,1
11,0.735056857231031,2,7,2,24,"1;2","SO99iD4w",100,6,2,0,0.4,1
12,0.649590343185563,2,-14,2,10,"1;2","SO99iD4w",100,6,2,0,0.4,1
13,0.5,2,7,2,17,"1;2","SO99iD4w",100,6,2,0,0.4,1
