"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.530355542414242,1,4,1,4,"1;2","Sozgnos9",0,2,NA,0,0.66,2
2,0.939078744136193,1,3,1,7,"1;2","Sozgnos9",0,2,NA,0,0.66,2
3,0.643161182084227,1,4,1,11,"1;2","Sozgnos9",0,2,NA,0,0.66,2
4,1.21940648393016,2,1,1,12,"1;2","Sozgnos9",0,2,NA,0,0.66,2
5,0.807080059380403,1,3,1,15,"1;2","Sozgnos9",0,2,NA,0,0.66,2
6,1.06433127129649,1,5,1,20,"1;2","Sozgnos9",0,2,NA,0,0.66,2
7,1.10866743010316,1,3,1,23,"1;2","Sozgnos9",0,2,NA,0,0.66,2
8,1.32330680767248,2,1,1,24,"1;2","Sozgnos9",0,2,NA,0,0.66,2
9,0.5,1,3,1,27,"1;2","Sozgnos9",0,2,NA,0,0.66,2
10,1.09824908460685,1,2,1,29,"1;2","Sozgnos9",0,2,NA,0,0.66,2
11,0.757543774517234,1,1,1,30,"1;2","Sozgnos9",0,2,NA,0,0.66,2
12,0.5,1,2,1,32,"1;2","Sozgnos9",0,2,NA,0,0.66,2
13,1.27972014964131,1,3,1,35,"1;2","Sozgnos9",0,2,NA,0,0.66,2
14,0.900936705548561,1,4,1,39,"1;2","Sozgnos9",0,2,NA,0,0.66,2
15,0.503606612185304,2,4,1,43,"1;2","Sozgnos9",0,2,NA,0,0.66,2
16,0.515040537798197,1,2,1,45,"1;2","Sozgnos9",0,2,NA,0,0.66,2
17,0.933118139838902,1,-1,1,44,"1;2","Sozgnos9",0,2,NA,0,0.66,2
18,0.5,2,4,1,48,"1;2","Sozgnos9",0,2,NA,0,0.66,2
19,0.803159467761645,2,3,1,51,"1;2","Sozgnos9",0,2,NA,0,0.66,2
20,0.988123447025505,2,0,1,51,"1;2","Sozgnos9",0,2,NA,0,0.66,2
1,0.73437947722474,2,4,2,4,"2;1","Sozgnos9",0,2,NA,0,0.66,2
2,1.07531830585437,2,5,2,9,"2;1","Sozgnos9",0,2,NA,0,0.66,2
3,0.862070033279288,2,3,2,12,"2;1","Sozgnos9",0,2,NA,0,0.66,2
4,0.641464107758738,2,2,2,14,"2;1","Sozgnos9",0,2,NA,0,0.66,2
5,0.902456312493396,2,-2,2,12,"2;1","Sozgnos9",0,2,NA,0,0.66,2
6,0.806990421081918,2,4,2,16,"2;1","Sozgnos9",0,2,NA,0,0.66,2
7,0.756777007702834,2,8,2,24,"2;1","Sozgnos9",0,2,NA,0,0.66,2
8,0.969147706603012,2,2,2,26,"2;1","Sozgnos9",0,2,NA,0,0.66,2
9,0.888349894862479,2,5,2,31,"2;1","Sozgnos9",0,2,NA,0,0.66,2
10,1.23930540023305,2,1,2,32,"2;1","Sozgnos9",0,2,NA,0,0.66,2
11,0.982783199919193,2,3,2,35,"2;1","Sozgnos9",0,2,NA,0,0.66,2
12,0.872331124281709,2,9,2,44,"2;1","Sozgnos9",0,2,NA,0,0.66,2
13,1.05794099654757,2,10,2,54,"2;1","Sozgnos9",0,2,NA,0,0.66,2
14,0.678024165112526,2,3,2,57,"2;1","Sozgnos9",0,2,NA,0,0.66,2
15,1.3209788490397,2,8,2,65,"2;1","Sozgnos9",0,2,NA,0,0.66,2
16,0.847440209932621,1,5,2,70,"2;1","Sozgnos9",0,2,NA,0,0.66,2
17,0.936455693808644,2,6,2,76,"2;1","Sozgnos9",0,2,NA,0,0.66,2
18,0.683000406792559,2,3,2,79,"2;1","Sozgnos9",0,2,NA,0,0.66,2
19,0.840214893049459,2,7,2,86,"2;1","Sozgnos9",0,2,NA,0,0.66,2
20,0.85369049252551,2,6,2,92,"2;1","Sozgnos9",0,2,NA,0,0.66,2
21,0.5,2,5,2,97,"2;1","Sozgnos9",0,2,NA,0,0.66,2
22,0.999325368251935,2,5,2,102,"2;1","Sozgnos9",0,2,NA,0,0.66,2
23,0.5,1,10,2,112,"2;1","Sozgnos9",0,2,NA,0,0.66,2
24,0.717787268397826,2,3,2,115,"2;1","Sozgnos9",0,2,NA,0,0.66,2
25,0.724037499279205,1,1,2,116,"2;1","Sozgnos9",0,2,NA,0,0.66,2
1,0.5,2,-1,3,-1,"1;2","Sozgnos9",0,2,NA,0,0.66,2
2,0.941395716644569,2,1,3,0,"1;2","Sozgnos9",0,2,NA,0,0.66,2
3,0.5,1,3,3,3,"1;2","Sozgnos9",0,2,NA,0,0.66,2
4,0.943875621047604,1,-2,3,1,"1;2","Sozgnos9",0,2,NA,0,0.66,2
5,1.04288132797305,2,-6,3,-5,"1;2","Sozgnos9",0,2,NA,0,0.66,2
6,0.594604668630638,1,-1,3,-6,"1;2","Sozgnos9",0,2,NA,0,0.66,2
7,0.805761320835788,1,2,3,-4,"1;2","Sozgnos9",0,2,NA,0,0.66,2
8,0.5,1,4,3,0,"1;2","Sozgnos9",0,2,NA,0,0.66,2
9,0.652171649009149,2,10,3,10,"1;2","Sozgnos9",0,2,NA,0,0.66,2
10,0.710715606614299,2,15,3,25,"1;2","Sozgnos9",0,2,NA,0,0.66,2
11,0.854307856678853,2,2,3,27,"1;2","Sozgnos9",0,2,NA,0,0.66,2
12,0.894769595872616,1,-1,3,26,"1;2","Sozgnos9",0,2,NA,0,0.66,2
13,0.894002801492044,1,6,3,32,"1;2","Sozgnos9",0,2,NA,0,0.66,2
14,0.5,2,-10,3,22,"1;2","Sozgnos9",0,2,NA,0,0.66,2
15,0.645800501658892,2,1,3,23,"1;2","Sozgnos9",0,2,NA,0,0.66,2
16,0.939029458909108,1,5,3,28,"1;2","Sozgnos9",0,2,NA,0,0.66,2
17,0.578026797005124,1,2,3,30,"1;2","Sozgnos9",0,2,NA,0,0.66,2
18,0.591357952672887,1,7,3,37,"1;2","Sozgnos9",0,2,NA,0,0.66,2
19,1.14709815224095,1,7,3,44,"1;2","Sozgnos9",0,2,NA,0,0.66,2
20,0.5,1,0,3,44,"1;2","Sozgnos9",0,2,NA,0,0.66,2
21,0.96059848189503,2,-6,3,38,"1;2","Sozgnos9",0,2,NA,0,0.66,2
22,0.596633799841556,2,18,3,56,"1;2","Sozgnos9",0,2,NA,0,0.66,2
23,0.894840778417944,2,-1,3,55,"1;2","Sozgnos9",0,2,NA,0,0.66,2
24,0.969697083598215,2,1,3,56,"1;2","Sozgnos9",0,2,NA,0,0.66,2
25,0.807365676344184,2,-2,3,54,"1;2","Sozgnos9",0,2,NA,0,0.66,2
1,1.17883220753742,1,4,4,4,"1;2","Sozgnos9",0,2,NA,0,0.66,2
2,0.695701800682889,1,-1,4,3,"1;2","Sozgnos9",0,2,NA,0,0.66,2
3,0.603461931932257,1,5,4,8,"1;2","Sozgnos9",0,2,NA,0,0.66,2
4,0.616704962684853,1,0,4,8,"1;2","Sozgnos9",0,2,NA,0,0.66,2
5,0.826625655784456,1,0,4,8,"1;2","Sozgnos9",0,2,NA,0,0.66,2
6,1.03310760758191,2,-12,4,-4,"1;2","Sozgnos9",0,2,NA,0,0.66,2
7,1.07136214562096,1,4,4,0,"1;2","Sozgnos9",0,2,NA,0,0.66,2
8,0.5,2,-10,4,-10,"1;2","Sozgnos9",0,2,NA,0,0.66,2
9,1.11498442237239,1,3,4,-7,"1;2","Sozgnos9",0,2,NA,0,0.66,2
10,1.17558650751416,1,7,4,0,"1;2","Sozgnos9",0,2,NA,0,0.66,2
11,0.720700511770702,1,1,4,1,"1;2","Sozgnos9",0,2,NA,0,0.66,2
12,0.5,1,4,4,5,"1;2","Sozgnos9",0,2,NA,0,0.66,2
13,0.524472634525221,2,-1,4,4,"1;2","Sozgnos9",0,2,NA,0,0.66,2
14,0.5,1,5,4,9,"1;2","Sozgnos9",0,2,NA,0,0.66,2
15,0.831768273359406,1,7,4,16,"1;2","Sozgnos9",0,2,NA,0,0.66,2
16,0.801406467208214,1,4,4,20,"1;2","Sozgnos9",0,2,NA,0,0.66,2
17,0.899458399447278,2,12,4,32,"1;2","Sozgnos9",0,2,NA,0,0.66,2
