"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,1,1,1,"2;1","SveA7GN5",100,4,4,0,0.8,1
2,0.88049736073604,2,3,1,4,"2;1","SveA7GN5",100,4,4,0,0.8,1
3,0.5,1,6,1,10,"2;1","SveA7GN5",100,4,4,0,0.8,1
4,0.974686860305691,1,4,1,14,"2;1","SveA7GN5",100,4,4,0,0.8,1
5,0.944898885810726,1,-2,1,12,"2;1","SveA7GN5",100,4,4,0,0.8,1
6,0.515624501299448,1,3,1,15,"2;1","SveA7GN5",100,4,4,0,0.8,1
7,1.16243700222998,1,2,1,17,"2;1","SveA7GN5",100,4,4,0,0.8,1
8,0.916031819860082,1,1,1,18,"2;1","SveA7GN5",100,4,4,0,0.8,1
9,0.871060361271162,1,5,1,23,"2;1","SveA7GN5",100,4,4,0,0.8,1
10,0.550025095624934,1,3,1,26,"2;1","SveA7GN5",100,4,4,0,0.8,1
11,0.791661833793374,1,2,1,28,"2;1","SveA7GN5",100,4,4,0,0.8,1
12,0.529389668034269,1,1,1,29,"2;1","SveA7GN5",100,4,4,0,0.8,1
13,0.667106157997104,2,1,1,30,"2;1","SveA7GN5",100,4,4,0,0.8,1
14,0.5,2,3,1,33,"2;1","SveA7GN5",100,4,4,0,0.8,1
15,0.5,2,2,1,35,"2;1","SveA7GN5",100,4,4,0,0.8,1
16,0.635655477923803,1,5,1,40,"2;1","SveA7GN5",100,4,4,0,0.8,1
17,0.5,1,2,1,42,"2;1","SveA7GN5",100,4,4,0,0.8,1
18,1.11090118884514,2,4,1,46,"2;1","SveA7GN5",100,4,4,0,0.8,1
19,0.736292135349964,2,3,1,49,"2;1","SveA7GN5",100,4,4,0,0.8,1
20,0.5,1,6,1,55,"2;1","SveA7GN5",100,4,4,0,0.8,1
1,1.41373110075866,2,15,2,15,"1;2","SveA7GN5",100,4,4,0,0.8,1
2,0.794662416391356,2,-16,2,-1,"1;2","SveA7GN5",100,4,4,0,0.8,1
3,0.5,2,13,2,12,"1;2","SveA7GN5",100,4,4,0,0.8,1
4,0.948023038218793,2,-13,2,-1,"1;2","SveA7GN5",100,4,4,0,0.8,1
5,0.996423549113959,2,10,2,9,"1;2","SveA7GN5",100,4,4,0,0.8,1
6,0.782101818744352,2,15,2,24,"1;2","SveA7GN5",100,4,4,0,0.8,1
7,0.765834883242562,2,13,2,37,"1;2","SveA7GN5",100,4,4,0,0.8,1
8,0.5,2,10,2,47,"1;2","SveA7GN5",100,4,4,0,0.8,1
9,1.1248512705203,2,13,2,60,"1;2","SveA7GN5",100,4,4,0,0.8,1
10,1.00439890482082,2,-4,2,56,"1;2","SveA7GN5",100,4,4,0,0.8,1
11,0.509923905853909,1,5,2,61,"1;2","SveA7GN5",100,4,4,0,0.8,1
12,1.07025893548542,2,-2,2,59,"1;2","SveA7GN5",100,4,4,0,0.8,1
13,1.23256133665579,2,6,2,65,"1;2","SveA7GN5",100,4,4,0,0.8,1
14,0.9315471571659,2,-4,2,61,"1;2","SveA7GN5",100,4,4,0,0.8,1
15,0.615526586309983,2,10,2,71,"1;2","SveA7GN5",100,4,4,0,0.8,1
16,1.05060204840352,2,27,2,98,"1;2","SveA7GN5",100,4,4,0,0.8,1
17,0.805200494213792,1,-1,2,97,"1;2","SveA7GN5",100,4,4,0,0.8,1
18,0.656195611053938,2,18,2,115,"1;2","SveA7GN5",100,4,4,0,0.8,1
19,0.885325691515491,2,4,2,119,"1;2","SveA7GN5",100,4,4,0,0.8,1
20,1.14705408751369,1,8,2,127,"1;2","SveA7GN5",100,4,4,0,0.8,1
21,1.31354174308168,1,0,2,127,"1;2","SveA7GN5",100,4,4,0,0.8,1
22,0.755257207046435,1,4,2,131,"1;2","SveA7GN5",100,4,4,0,0.8,1
23,0.5,2,0,2,131,"1;2","SveA7GN5",100,4,4,0,0.8,1
24,0.854989117210222,1,1,2,132,"1;2","SveA7GN5",100,4,4,0,0.8,1
25,0.976663276374233,2,-9,2,123,"1;2","SveA7GN5",100,4,4,0,0.8,1
1,0.561420371260515,1,1,3,1,"2;1","SveA7GN5",100,4,4,0,0.8,1
2,0.775136477716754,1,-6,3,-5,"2;1","SveA7GN5",100,4,4,0,0.8,1
3,1.26264181377258,1,0,3,-5,"2;1","SveA7GN5",100,4,4,0,0.8,1
4,0.588854092855237,1,2,3,-3,"2;1","SveA7GN5",100,4,4,0,0.8,1
5,1.1530867913367,2,4,3,1,"2;1","SveA7GN5",100,4,4,0,0.8,1
6,0.75260715220762,2,6,3,7,"2;1","SveA7GN5",100,4,4,0,0.8,1
7,1.03542235620388,1,14,3,21,"2;1","SveA7GN5",100,4,4,0,0.8,1
8,0.7642233808134,1,5,3,26,"2;1","SveA7GN5",100,4,4,0,0.8,1
9,0.997698519619376,1,-10,3,16,"2;1","SveA7GN5",100,4,4,0,0.8,1
10,0.5,1,7,3,23,"2;1","SveA7GN5",100,4,4,0,0.8,1
11,1.09523668097414,1,14,3,37,"2;1","SveA7GN5",100,4,4,0,0.8,1
12,1.32243272970877,1,7,3,44,"2;1","SveA7GN5",100,4,4,0,0.8,1
13,0.5,1,-5,3,39,"2;1","SveA7GN5",100,4,4,0,0.8,1
14,0.86732021414533,2,5,3,44,"2;1","SveA7GN5",100,4,4,0,0.8,1
15,0.798580285418288,1,14,3,58,"2;1","SveA7GN5",100,4,4,0,0.8,1
16,0.84307140028792,1,-22,3,36,"2;1","SveA7GN5",100,4,4,0,0.8,1
17,0.734738883032765,1,5,3,41,"2;1","SveA7GN5",100,4,4,0,0.8,1
18,0.983045466468945,1,6,3,47,"2;1","SveA7GN5",100,4,4,0,0.8,1
19,0.845257848400752,1,14,3,61,"2;1","SveA7GN5",100,4,4,0,0.8,1
20,0.995687375228791,1,0,3,61,"2;1","SveA7GN5",100,4,4,0,0.8,1
21,1.04892034295432,1,0,3,61,"2;1","SveA7GN5",100,4,4,0,0.8,1
22,0.722227048250874,1,4,3,65,"2;1","SveA7GN5",100,4,4,0,0.8,1
23,1.09951186863071,1,-5,3,60,"2;1","SveA7GN5",100,4,4,0,0.8,1
24,1.05581046986702,1,-18,3,42,"2;1","SveA7GN5",100,4,4,0,0.8,1
25,1.2420829170649,1,11,3,53,"2;1","SveA7GN5",100,4,4,0,0.8,1
1,0.5,2,23,4,23,"1;2","SveA7GN5",100,4,4,0,0.8,1
2,0.699720001547805,2,16,4,39,"1;2","SveA7GN5",100,4,4,0,0.8,1
3,0.5,2,21,4,60,"1;2","SveA7GN5",100,4,4,0,0.8,1
4,0.531918879466948,1,8,4,68,"1;2","SveA7GN5",100,4,4,0,0.8,1
5,0.5,2,-9,4,59,"1;2","SveA7GN5",100,4,4,0,0.8,1
6,1.00513489163103,1,5,4,64,"1;2","SveA7GN5",100,4,4,0,0.8,1
7,1.06086288116139,1,2,4,66,"1;2","SveA7GN5",100,4,4,0,0.8,1
8,0.849903856520584,1,9,4,75,"1;2","SveA7GN5",100,4,4,0,0.8,1
9,0.724791696014809,1,5,4,80,"1;2","SveA7GN5",100,4,4,0,0.8,1
10,0.774750019191353,1,4,4,84,"1;2","SveA7GN5",100,4,4,0,0.8,1
11,0.5,1,-1,4,83,"1;2","SveA7GN5",100,4,4,0,0.8,1
12,0.673770481536788,1,3,4,86,"1;2","SveA7GN5",100,4,4,0,0.8,1
13,1.00435822879164,1,2,4,88,"1;2","SveA7GN5",100,4,4,0,0.8,1
14,0.679587407589194,1,11,4,99,"1;2","SveA7GN5",100,4,4,0,0.8,1
15,0.628668876121722,2,1,4,100,"1;2","SveA7GN5",100,4,4,0,0.8,1
16,0.5,1,5,4,105,"1;2","SveA7GN5",100,4,4,0,0.8,1
17,0.784145297305034,1,1,4,106,"1;2","SveA7GN5",100,4,4,0,0.8,1
18,1.22102908584833,2,-11,4,95,"1;2","SveA7GN5",100,4,4,0,0.8,1
19,0.770085620925712,1,5,4,100,"1;2","SveA7GN5",100,4,4,0,0.8,1
20,1.1574693654719,2,-16,4,84,"1;2","SveA7GN5",100,4,4,0,0.8,1
21,0.951487063784267,1,7,4,91,"1;2","SveA7GN5",100,4,4,0,0.8,1
