"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.65955435635777,2,5,1,5,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
2,1.1543220667986,2,1,1,6,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
3,0.695121309651188,2,9,1,15,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
4,1.20577574789731,2,4,1,19,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
5,0.824538162240379,2,5,1,24,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
6,0.612612852721438,2,3,1,27,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
7,0.946338063569733,2,3,1,30,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
8,0.977786782156407,2,0,1,30,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
9,0.785673661556216,2,1,1,31,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
10,0.870024168682165,2,6,1,37,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
11,0.565927130876859,2,3,1,40,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
12,1.28251639606385,1,3,1,43,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
13,0.627752768949276,2,2,1,45,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
14,1.45647397713698,1,1,1,46,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
15,1.11957002583624,2,3,1,49,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
16,0.694647697599565,2,2,1,51,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
17,0.693146583662897,2,4,1,55,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
18,0.724744031638904,2,0,1,55,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
19,0.515404216563047,2,3,1,58,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
20,0.536681717953487,1,4,1,62,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
1,0.954657452691345,2,1,2,1,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
2,1.22473050881567,2,0,2,1,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
3,0.741571747279629,2,3,2,4,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
4,0.781217339262241,2,1,2,5,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
5,1.17995439311266,2,2,2,7,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
6,0.698321678225299,1,0,2,7,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
7,0.5,2,4,2,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
8,0.5,2,0,2,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
9,0.628465911937176,2,2,2,13,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
10,0.5,2,1,2,14,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
11,1.0480960205063,2,5,2,19,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
12,0.931748519675235,2,1,2,20,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
13,1.27500119312935,2,1,2,21,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
14,0.762136021883853,2,2,2,23,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
15,0.617475689122491,1,20,2,43,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
16,0.831399189048479,1,10,2,53,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
17,1.11997254230501,1,19,2,72,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
18,0.981255407864591,1,4,2,76,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
19,0.854024470305926,1,4,2,80,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
20,0.54561813649831,1,-5,2,75,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
21,0.866057187211372,2,6,2,81,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
22,0.585328587020819,1,4,2,85,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
23,1.25726471745147,1,3,2,88,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
24,0.634986715347434,1,-3,2,85,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
25,0.5,2,1,2,86,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
1,0.63754465068872,2,-2,3,-2,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
2,0.908865842489509,1,-7,3,-9,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
3,1.43526020734567,2,4,3,-5,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
4,0.5,2,7,3,2,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
5,0.906735664021005,2,1,3,3,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
6,1.29480398504212,2,-1,3,2,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
7,0.886252543938038,2,5,3,7,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
8,0.71608827295276,2,3,3,10,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
9,0.5,2,4,3,14,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
10,0.951715699497324,1,-13,3,1,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
11,0.627512133505285,1,23,3,24,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
12,0.776985666358765,1,15,3,39,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
13,0.5,1,0,3,39,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
14,0.84471688735727,2,3,3,42,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
15,0.851904216586455,1,12,3,54,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
16,0.516738828531833,2,6,3,60,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
17,0.65037259317695,1,16,3,76,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
18,0.5,1,19,3,95,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
19,0.767715208316994,1,-6,3,89,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
20,0.863166388021213,1,-6,3,83,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
21,0.848446275682104,2,6,3,89,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
22,0.824083469998077,2,6,3,95,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
23,1.01071703613111,2,0,3,95,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
24,0.527683076595927,1,24,3,119,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
25,1.18572459121263,1,1,3,120,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
1,0.5,1,4,4,4,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
2,1.271625508825,1,4,4,8,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
3,0.701213243973622,1,-2,4,6,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
4,1.07750194182056,1,2,4,8,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
5,0.5,1,1,4,9,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
6,1.09400213699629,1,4,4,13,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
7,0.602881206096142,1,6,4,19,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
8,1.36521901266645,1,3,4,22,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
9,0.749909690824227,2,-2,4,20,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
10,0.659433553790951,2,20,4,40,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
11,0.717998516561925,2,12,4,52,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
12,0.885695456209195,2,7,4,59,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
13,0.5,2,-8,4,51,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
14,0.859281720848137,1,-1,4,50,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
15,0.792731286227465,2,9,4,59,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
16,1.20120222001113,1,1,4,60,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
17,0.906687284430309,2,5,4,65,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
18,0.831925637699842,2,5,4,70,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
19,0.696020416159197,2,-10,4,60,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
20,0.553498648466317,1,2,4,62,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
21,1.04957236801172,2,27,4,89,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
22,0.740978562570287,2,-12,4,77,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
23,0.670562171954936,2,-12,4,65,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
24,0.640177837971553,1,7,4,72,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
25,0.785306698197759,2,38,4,110,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
1,0.510892046666732,2,3,5,3,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
2,1.04311695405628,2,2,5,5,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
3,1.13907083200219,1,29,5,34,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
4,0.665377793153261,1,4,5,38,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
5,1.02038260644321,1,13,5,51,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
6,0.878047540480994,1,6,5,57,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
7,0.571526602613295,1,4,5,61,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
8,1.10821842184056,1,-19,5,42,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
9,0.932793651390955,2,2,5,44,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
10,1.08648967307551,2,2,5,46,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
11,0.998835251206722,1,21,5,67,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
12,0.792202177903858,1,7,5,74,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
13,0.832641696903445,1,11,5,85,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
14,0.762928106871917,1,14,5,99,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
15,0.5,2,3,5,102,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
16,0.756602170424038,1,-6,5,96,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
17,0.613246329386272,1,11,5,107,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
18,0.772029175789374,1,36,5,143,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
19,0.784446885824265,2,7,5,150,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
20,1.20143352788596,1,8,5,158,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
21,0.730084799964555,1,3,5,161,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
22,0.835560029445346,1,1,5,162,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
23,0.5,1,-12,5,150,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
24,0.852454642128521,2,3,5,153,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
25,1.16522578599879,2,1,5,154,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
1,0.852511157654196,1,-1,6,-1,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
2,0.920322552058982,2,6,6,5,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
3,0.72346585845743,2,4,6,9,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
4,0.875662269362175,2,2,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
5,1.13111127292635,2,2,6,13,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
6,1.15974561247519,2,-2,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
7,0.618913860798225,1,6,6,17,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
8,0.665756187885786,1,-5,6,12,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
9,0.735694094326953,2,0,6,12,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
10,0.726126242905562,2,2,6,14,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
11,0.902136786398042,2,2,6,16,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
12,1.02545198803842,1,-7,6,9,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
13,0.800965851104876,2,0,6,9,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
14,0.920723214229189,2,1,6,10,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
15,0.685415275990274,2,1,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
16,0.696420524341934,2,0,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
17,0.689595473624652,2,0,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
18,1.25283305081288,1,0,6,11,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
19,0.5,2,4,6,15,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
20,0.638417019151037,2,1,6,16,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
21,1.39574287625103,2,6,6,22,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
22,0.989814385156743,1,-3,6,19,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
23,0.791065686777503,1,-6,6,13,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
24,0.913049733602485,1,-1,6,12,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
25,0.88398202656173,2,4,6,16,"2;1","Szf3cOeu",0,3,NA,0,0.82,1
1,1.10018606114632,2,-2,7,-2,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
2,1.31770222453675,1,6,7,4,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
3,0.770440537070564,1,4,7,8,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
4,1.2760212465281,1,3,7,11,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
5,0.897938823845179,1,2,7,13,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
6,0.872401123776018,2,19,7,32,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
7,0.852671829474473,2,8,7,40,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
8,0.905316866950026,2,13,7,53,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
9,0.672109149862053,2,7,7,60,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
10,0.578745129031826,2,-9,7,51,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
11,0.517869651824502,2,6,7,57,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
12,0.578277536500977,2,23,7,80,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
13,0.831759309538781,1,4,7,84,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
14,0.722875410987552,2,-12,7,72,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
15,0.5,2,-3,7,69,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
16,0.675485681087669,1,6,7,75,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
17,1.07410879607806,1,4,7,79,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
18,1.19606134870026,1,1,7,80,"1;2","Szf3cOeu",0,3,NA,0,0.82,1
