"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.566228992983369,2,6,1,6,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
2,0.5,2,2,1,8,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
3,1.14697401403725,2,3,1,11,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
4,0.510446321994063,1,0,1,11,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
5,1.46627023346697,2,5,1,16,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
6,0.751688327494159,2,4,1,20,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
7,0.521333131823289,2,7,1,27,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
8,0.970721627075951,2,3,1,30,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
9,0.806040099880347,2,2,1,32,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
10,1.2289872555446,2,4,1,36,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
11,0.813874644804855,2,3,1,39,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
12,1.25993205841934,2,7,1,46,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
13,0.687845973311339,2,2,1,48,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
14,1.57159402494809,2,6,1,54,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
15,0.530124530633205,2,0,1,54,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
16,0.82614438099326,2,3,1,57,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
17,0.5,2,-1,1,56,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
18,1.0365370082081,2,5,1,61,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
19,0.83195902731959,1,5,1,66,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
20,0.982549661697948,2,2,1,68,"2;1","T6p4TAXl",0,3,NA,0,0.59,1
1,1.04313154510982,1,1,2,1,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
2,0.85588266594026,1,1,2,2,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
3,0.899507689674288,1,5,2,7,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
4,0.5,2,18,2,25,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
5,0.5,2,-6,2,19,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
6,0.631278050104585,2,1,2,20,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
7,0.763847992911895,1,4,2,24,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
8,0.97429545669548,1,1,2,25,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
9,0.838941352710409,2,11,2,36,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
10,0.589484833126856,2,-4,2,32,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
11,0.5,1,-1,2,31,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
12,0.944830988378934,1,6,2,37,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
13,0.865808605128435,1,2,2,39,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
14,1.0407385990227,1,4,2,43,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
15,1.1231033487419,1,7,2,50,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
16,0.784357484645929,1,1,2,51,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
17,0.622761318920545,1,6,2,57,"1;2","T6p4TAXl",0,3,NA,0,0.59,1
