"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.593688191618912,1,4,1,4,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
2,1.04747719671627,1,2,1,6,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
3,0.65454646936429,2,3,1,9,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
4,0.756642801297169,1,4,1,13,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
5,0.840855632714415,1,2,1,15,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
6,0.5,2,2,1,17,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
7,0.767469205684956,1,6,1,23,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
8,0.64472375769154,1,4,1,27,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
9,0.616505458106346,2,4,1,31,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
10,0.620655292711792,1,6,1,37,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
11,0.5,2,3,1,40,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
12,0.940361776787476,1,6,1,46,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
13,0.946542407388685,1,3,1,49,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
14,0.651507236040407,1,3,1,52,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
15,0.747412359180838,1,3,1,55,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
16,1.20078390617602,2,8,1,63,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
17,0.615488005343137,2,5,1,68,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
18,0.805203635642685,2,2,1,70,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
19,1.01763042961826,1,2,1,72,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
20,1.07966286651155,1,4,1,76,"1;2","TIqgZS2t",0,2,NA,0,0.85,1
