"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.993402827766978,2,1,1,1,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,0.5,1,-2,1,-1,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,0.593463907697946,2,2,1,1,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,0.661848302046398,1,3,1,4,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.763063680596244,1,4,1,8,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,0.574360523668051,1,4,1,12,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.587317465533294,2,5,1,17,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,0.611954670232435,1,5,1,22,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,0.543514457928332,2,3,1,25,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,1.27961721002294,2,4,1,29,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.777946231285573,1,5,1,34,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,0.5,1,3,1,37,"2;1","TeY4LLDP",100,4,3,0,0.6,3
13,0.5,1,8,1,45,"2;1","TeY4LLDP",100,4,3,0,0.6,3
14,1.16338434893306,1,3,1,48,"2;1","TeY4LLDP",100,4,3,0,0.6,3
15,0.5,1,2,1,50,"2;1","TeY4LLDP",100,4,3,0,0.6,3
16,0.607166344594453,2,2,1,52,"2;1","TeY4LLDP",100,4,3,0,0.6,3
17,0.674112662408286,1,3,1,55,"2;1","TeY4LLDP",100,4,3,0,0.6,3
18,0.665661672966074,2,5,1,60,"2;1","TeY4LLDP",100,4,3,0,0.6,3
19,1.00510151243626,1,4,1,64,"2;1","TeY4LLDP",100,4,3,0,0.6,3
20,1.05551892459447,2,3,1,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
1,1.15531854784882,2,-13,2,-13,"1;2","TeY4LLDP",100,4,3,0,0.6,3
2,0.551910569950105,1,6,2,-7,"1;2","TeY4LLDP",100,4,3,0,0.6,3
3,0.5,1,4,2,-3,"1;2","TeY4LLDP",100,4,3,0,0.6,3
4,1.04352844979214,2,15,2,12,"1;2","TeY4LLDP",100,4,3,0,0.6,3
5,0.5,2,18,2,30,"1;2","TeY4LLDP",100,4,3,0,0.6,3
6,1.02606449597004,1,1,2,31,"1;2","TeY4LLDP",100,4,3,0,0.6,3
7,0.805069427075979,1,2,2,33,"1;2","TeY4LLDP",100,4,3,0,0.6,3
8,0.51334019429579,2,-26,2,7,"1;2","TeY4LLDP",100,4,3,0,0.6,3
9,0.844186966376273,1,5,2,12,"1;2","TeY4LLDP",100,4,3,0,0.6,3
10,0.825747147610019,2,3,2,15,"1;2","TeY4LLDP",100,4,3,0,0.6,3
11,0.805078020527142,2,-1,2,14,"1;2","TeY4LLDP",100,4,3,0,0.6,3
12,0.5,2,25,2,39,"1;2","TeY4LLDP",100,4,3,0,0.6,3
13,0.560920952041269,2,-12,2,27,"1;2","TeY4LLDP",100,4,3,0,0.6,3
14,0.748782542502788,2,-6,2,21,"1;2","TeY4LLDP",100,4,3,0,0.6,3
15,0.838502180879549,2,6,2,27,"1;2","TeY4LLDP",100,4,3,0,0.6,3
16,0.5,2,10,2,37,"1;2","TeY4LLDP",100,4,3,0,0.6,3
17,0.5,2,-8,2,29,"1;2","TeY4LLDP",100,4,3,0,0.6,3
18,1.0558573859305,2,2,2,31,"1;2","TeY4LLDP",100,4,3,0,0.6,3
19,0.747572216105333,2,32,2,63,"1;2","TeY4LLDP",100,4,3,0,0.6,3
20,0.828552637494615,1,0,2,63,"1;2","TeY4LLDP",100,4,3,0,0.6,3
21,0.924299096754614,1,7,2,70,"1;2","TeY4LLDP",100,4,3,0,0.6,3
22,0.922381839992971,2,-4,2,66,"1;2","TeY4LLDP",100,4,3,0,0.6,3
23,0.5,2,-40,2,26,"1;2","TeY4LLDP",100,4,3,0,0.6,3
24,0.667155052735834,2,-7,2,19,"1;2","TeY4LLDP",100,4,3,0,0.6,3
25,1.1514107073841,2,-6,2,13,"1;2","TeY4LLDP",100,4,3,0,0.6,3
1,1.19945187004214,2,4,3,4,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,0.547265251785318,2,3,3,7,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,0.5,2,3,3,10,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,0.725284726268866,1,-10,3,0,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.5,1,6,3,6,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,0.5,1,19,3,25,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.682214309319099,2,1,3,26,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,0.579677876139463,1,0,3,26,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,1.03725215239902,1,6,3,32,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,0.672402072507344,1,20,3,52,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.790196973758459,1,-13,3,39,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,1.38874298244563,2,4,3,43,"2;1","TeY4LLDP",100,4,3,0,0.6,3
13,0.690429810711739,2,7,3,50,"2;1","TeY4LLDP",100,4,3,0,0.6,3
14,1.03704151892567,1,9,3,59,"2;1","TeY4LLDP",100,4,3,0,0.6,3
15,0.682334312483393,1,6,3,65,"2;1","TeY4LLDP",100,4,3,0,0.6,3
16,0.652357145086654,2,5,3,70,"2;1","TeY4LLDP",100,4,3,0,0.6,3
17,0.684717127390123,2,2,3,72,"2;1","TeY4LLDP",100,4,3,0,0.6,3
18,1.21139876288567,2,7,3,79,"2;1","TeY4LLDP",100,4,3,0,0.6,3
19,0.558186540603904,1,3,3,82,"2;1","TeY4LLDP",100,4,3,0,0.6,3
20,0.5,2,4,3,86,"2;1","TeY4LLDP",100,4,3,0,0.6,3
21,0.936461608571593,2,1,3,87,"2;1","TeY4LLDP",100,4,3,0,0.6,3
22,0.660903781016372,1,25,3,112,"2;1","TeY4LLDP",100,4,3,0,0.6,3
23,0.71483729339547,1,-1,3,111,"2;1","TeY4LLDP",100,4,3,0,0.6,3
24,0.777243575269764,2,5,3,116,"2;1","TeY4LLDP",100,4,3,0,0.6,3
25,0.82567895940619,1,-12,3,104,"2;1","TeY4LLDP",100,4,3,0,0.6,3
1,0.927648544219476,1,9,4,9,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,0.537064596894222,2,4,4,13,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,0.789813465292912,1,13,4,26,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,0.982047736990041,1,8,4,34,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.949342950015454,1,18,4,52,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,1.01829295457297,2,1,4,53,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.887593556314277,1,14,4,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,1.04959120058663,1,-7,4,60,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,1.43702661285706,1,7,4,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,0.960547470568906,1,12,4,79,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.599681109235143,2,2,4,81,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,0.915659944805819,2,5,4,86,"2;1","TeY4LLDP",100,4,3,0,0.6,3
13,0.829929310449409,2,-1,4,85,"2;1","TeY4LLDP",100,4,3,0,0.6,3
14,0.525632424132539,1,9,4,94,"2;1","TeY4LLDP",100,4,3,0,0.6,3
15,0.5,1,1,4,95,"2;1","TeY4LLDP",100,4,3,0,0.6,3
16,0.863798415275612,1,6,4,101,"2;1","TeY4LLDP",100,4,3,0,0.6,3
17,0.607175645310247,1,4,4,105,"2;1","TeY4LLDP",100,4,3,0,0.6,3
18,0.869448703660529,1,-3,4,102,"2;1","TeY4LLDP",100,4,3,0,0.6,3
19,0.605344814079249,2,4,4,106,"2;1","TeY4LLDP",100,4,3,0,0.6,3
20,0.891997066436245,2,6,4,112,"2;1","TeY4LLDP",100,4,3,0,0.6,3
21,0.572585190361812,1,22,4,134,"2;1","TeY4LLDP",100,4,3,0,0.6,3
22,0.858016120107174,1,2,4,136,"2;1","TeY4LLDP",100,4,3,0,0.6,3
23,0.894453985136442,1,-22,4,114,"2;1","TeY4LLDP",100,4,3,0,0.6,3
24,0.823533071761596,2,8,4,122,"2;1","TeY4LLDP",100,4,3,0,0.6,3
25,0.903987530341711,1,15,4,137,"2;1","TeY4LLDP",100,4,3,0,0.6,3
1,0.828082489001883,1,4,5,4,"1;2","TeY4LLDP",100,4,3,0,0.6,3
2,0.561936302394477,1,0,5,4,"1;2","TeY4LLDP",100,4,3,0,0.6,3
3,1.15955171754143,1,6,5,10,"1;2","TeY4LLDP",100,4,3,0,0.6,3
4,0.931450788917946,1,4,5,14,"1;2","TeY4LLDP",100,4,3,0,0.6,3
5,0.90454053257105,1,4,5,18,"1;2","TeY4LLDP",100,4,3,0,0.6,3
6,0.888318389766505,2,5,5,23,"1;2","TeY4LLDP",100,4,3,0,0.6,3
7,0.610740654346391,2,7,5,30,"1;2","TeY4LLDP",100,4,3,0,0.6,3
8,0.5,1,2,5,32,"1;2","TeY4LLDP",100,4,3,0,0.6,3
9,1.04425574241213,1,5,5,37,"1;2","TeY4LLDP",100,4,3,0,0.6,3
10,0.786036483423857,2,1,5,38,"1;2","TeY4LLDP",100,4,3,0,0.6,3
11,0.690866250736211,1,5,5,43,"1;2","TeY4LLDP",100,4,3,0,0.6,3
12,1.06385521881897,1,4,5,47,"1;2","TeY4LLDP",100,4,3,0,0.6,3
13,0.734389801620869,1,4,5,51,"1;2","TeY4LLDP",100,4,3,0,0.6,3
14,0.908434193815709,2,-4,5,47,"1;2","TeY4LLDP",100,4,3,0,0.6,3
15,0.880229018023791,2,6,5,53,"1;2","TeY4LLDP",100,4,3,0,0.6,3
16,0.5,2,11,5,64,"1;2","TeY4LLDP",100,4,3,0,0.6,3
17,0.614886057945645,1,9,5,73,"1;2","TeY4LLDP",100,4,3,0,0.6,3
18,0.691270695371722,1,6,5,79,"1;2","TeY4LLDP",100,4,3,0,0.6,3
19,0.848904985457643,1,6,5,85,"1;2","TeY4LLDP",100,4,3,0,0.6,3
20,0.5,1,6,5,91,"1;2","TeY4LLDP",100,4,3,0,0.6,3
21,0.858039497219307,1,3,5,94,"1;2","TeY4LLDP",100,4,3,0,0.6,3
22,0.701698241806792,1,4,5,98,"1;2","TeY4LLDP",100,4,3,0,0.6,3
23,1.17197345493641,1,7,5,105,"1;2","TeY4LLDP",100,4,3,0,0.6,3
24,0.5,2,4,5,109,"1;2","TeY4LLDP",100,4,3,0,0.6,3
25,0.597771150602142,2,-18,5,91,"1;2","TeY4LLDP",100,4,3,0,0.6,3
1,0.847651974847156,1,18,6,18,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,1.00760418451135,2,-1,6,17,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,0.5,2,7,6,24,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,0.724742195502067,1,4,6,28,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.512099090042814,1,6,6,34,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,1.01523104441134,1,12,6,46,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.958137810015021,1,21,6,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,0.988738378383036,2,7,6,74,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,0.919324138053019,1,7,6,81,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,0.645805204677942,1,-6,6,75,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.825140025681287,1,-16,6,59,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,0.838812470823947,1,15,6,74,"2;1","TeY4LLDP",100,4,3,0,0.6,3
13,0.694046774982108,1,-11,6,63,"2;1","TeY4LLDP",100,4,3,0,0.6,3
14,1.06058751500288,2,3,6,66,"2;1","TeY4LLDP",100,4,3,0,0.6,3
15,1.09770997472732,2,1,6,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
16,0.875065799013201,2,1,6,68,"2;1","TeY4LLDP",100,4,3,0,0.6,3
17,0.81738601080114,2,6,6,74,"2;1","TeY4LLDP",100,4,3,0,0.6,3
18,1.18880520527551,2,10,6,84,"2;1","TeY4LLDP",100,4,3,0,0.6,3
19,0.5,1,0,6,84,"2;1","TeY4LLDP",100,4,3,0,0.6,3
20,0.5,1,-13,6,71,"2;1","TeY4LLDP",100,4,3,0,0.6,3
21,0.878421927092142,1,-6,6,65,"2;1","TeY4LLDP",100,4,3,0,0.6,3
22,0.937221756191489,2,2,6,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
23,0.5,2,2,6,69,"2;1","TeY4LLDP",100,4,3,0,0.6,3
24,0.776044704087107,1,3,6,72,"2;1","TeY4LLDP",100,4,3,0,0.6,3
25,0.930784027948185,2,6,6,78,"2;1","TeY4LLDP",100,4,3,0,0.6,3
1,0.9396544236046,1,28,7,28,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,0.914119691668801,1,-15,7,13,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,1.01448391546795,1,3,7,16,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,0.860564974040652,2,0,7,16,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.5,1,0,7,16,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,0.572491559012335,1,3,7,19,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.978793000571015,1,-4,7,15,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,0.70434382857139,2,7,7,22,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,0.5,1,-7,7,15,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,0.94741174091452,1,19,7,34,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.597048387843842,1,-10,7,24,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,0.57847412490735,2,2,7,26,"2;1","TeY4LLDP",100,4,3,0,0.6,3
13,0.692523882919673,2,5,7,31,"2;1","TeY4LLDP",100,4,3,0,0.6,3
14,0.594820663105085,1,-3,7,28,"2;1","TeY4LLDP",100,4,3,0,0.6,3
15,1.13387233506677,2,2,7,30,"2;1","TeY4LLDP",100,4,3,0,0.6,3
16,0.629066176388043,2,5,7,35,"2;1","TeY4LLDP",100,4,3,0,0.6,3
17,0.974642566524879,2,2,7,37,"2;1","TeY4LLDP",100,4,3,0,0.6,3
18,1.15980638627525,1,6,7,43,"2;1","TeY4LLDP",100,4,3,0,0.6,3
19,0.988770341467677,1,-3,7,40,"2;1","TeY4LLDP",100,4,3,0,0.6,3
20,0.5,1,-9,7,31,"2;1","TeY4LLDP",100,4,3,0,0.6,3
21,1.10376568890355,2,3,7,34,"2;1","TeY4LLDP",100,4,3,0,0.6,3
22,0.5,1,7,7,41,"2;1","TeY4LLDP",100,4,3,0,0.6,3
23,0.5,2,4,7,45,"2;1","TeY4LLDP",100,4,3,0,0.6,3
24,0.73962681807727,2,4,7,49,"2;1","TeY4LLDP",100,4,3,0,0.6,3
25,0.758253452563868,1,18,7,67,"2;1","TeY4LLDP",100,4,3,0,0.6,3
1,0.902569072261901,2,2,8,2,"2;1","TeY4LLDP",100,4,3,0,0.6,3
2,1.05286819651764,2,3,8,5,"2;1","TeY4LLDP",100,4,3,0,0.6,3
3,1.189442931359,1,6,8,11,"2;1","TeY4LLDP",100,4,3,0,0.6,3
4,1.52295224613576,2,2,8,13,"2;1","TeY4LLDP",100,4,3,0,0.6,3
5,0.647915065900831,1,9,8,22,"2;1","TeY4LLDP",100,4,3,0,0.6,3
6,0.681462791116037,1,-5,8,17,"2;1","TeY4LLDP",100,4,3,0,0.6,3
7,0.782967207903838,2,5,8,22,"2;1","TeY4LLDP",100,4,3,0,0.6,3
8,0.911457560028799,1,-8,8,14,"2;1","TeY4LLDP",100,4,3,0,0.6,3
9,1.04144594913138,2,6,8,20,"2;1","TeY4LLDP",100,4,3,0,0.6,3
10,0.554601429807258,2,6,8,26,"2;1","TeY4LLDP",100,4,3,0,0.6,3
11,0.5,2,5,8,31,"2;1","TeY4LLDP",100,4,3,0,0.6,3
12,0.956369504516202,1,6,8,37,"2;1","TeY4LLDP",100,4,3,0,0.6,3
