"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.589580021063879,2,3,1,3,"1;2","U36T7vPs",100,5,1,0,0.2,1
2,0.680653665922611,1,3,1,6,"1;2","U36T7vPs",100,5,1,0,0.2,1
3,1.12405107214036,2,2,1,8,"1;2","U36T7vPs",100,5,1,0,0.2,1
4,0.5,2,4,1,12,"1;2","U36T7vPs",100,5,1,0,0.2,1
5,1.12550127447641,2,1,1,13,"1;2","U36T7vPs",100,5,1,0,0.2,1
6,0.832895164915546,1,2,1,15,"1;2","U36T7vPs",100,5,1,0,0.2,1
7,1.06388270286709,1,2,1,17,"1;2","U36T7vPs",100,5,1,0,0.2,1
8,0.841462410093563,2,2,1,19,"1;2","U36T7vPs",100,5,1,0,0.2,1
9,0.5,1,6,1,25,"1;2","U36T7vPs",100,5,1,0,0.2,1
10,0.731278895417367,1,3,1,28,"1;2","U36T7vPs",100,5,1,0,0.2,1
11,0.5,2,0,1,28,"1;2","U36T7vPs",100,5,1,0,0.2,1
12,0.644496610839802,1,6,1,34,"1;2","U36T7vPs",100,5,1,0,0.2,1
13,0.942769278461404,2,7,1,41,"1;2","U36T7vPs",100,5,1,0,0.2,1
14,0.795887392203705,2,6,1,47,"1;2","U36T7vPs",100,5,1,0,0.2,1
15,0.90997188302241,2,2,1,49,"1;2","U36T7vPs",100,5,1,0,0.2,1
16,0.762034452329865,1,3,1,52,"1;2","U36T7vPs",100,5,1,0,0.2,1
17,0.528990526126997,1,-1,1,51,"1;2","U36T7vPs",100,5,1,0,0.2,1
18,1.08245402794271,1,5,1,56,"1;2","U36T7vPs",100,5,1,0,0.2,1
19,0.964389345399944,1,2,1,58,"1;2","U36T7vPs",100,5,1,0,0.2,1
20,0.938614631986762,1,1,1,59,"1;2","U36T7vPs",100,5,1,0,0.2,1
1,0.750969673171114,1,6,2,6,"1;2","U36T7vPs",100,5,1,0,0.2,1
2,1.07103919866918,2,7,2,13,"1;2","U36T7vPs",100,5,1,0,0.2,1
3,0.506578500580059,2,-9,2,4,"1;2","U36T7vPs",100,5,1,0,0.2,1
4,0.760262645721376,2,6,2,10,"1;2","U36T7vPs",100,5,1,0,0.2,1
5,0.687823393186903,2,3,2,13,"1;2","U36T7vPs",100,5,1,0,0.2,1
6,0.988576924613152,2,14,2,27,"1;2","U36T7vPs",100,5,1,0,0.2,1
7,0.5,2,11,2,38,"1;2","U36T7vPs",100,5,1,0,0.2,1
8,0.612105116890257,2,4,2,42,"1;2","U36T7vPs",100,5,1,0,0.2,1
9,0.633157448578439,2,12,2,54,"1;2","U36T7vPs",100,5,1,0,0.2,1
