"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.601717168086892,2,3,1,3,"2;1","UBEqv1eA",100,5,1,0,0.2,2
2,0.56755535440054,1,3,1,6,"2;1","UBEqv1eA",100,5,1,0,0.2,2
3,0.5,2,1,1,7,"2;1","UBEqv1eA",100,5,1,0,0.2,2
4,0.9853259751544,1,3,1,10,"2;1","UBEqv1eA",100,5,1,0,0.2,2
5,1.0743480989213,2,3,1,13,"2;1","UBEqv1eA",100,5,1,0,0.2,2
6,1.19279541607587,1,4,1,17,"2;1","UBEqv1eA",100,5,1,0,0.2,2
7,0.663170245586105,1,5,1,22,"2;1","UBEqv1eA",100,5,1,0,0.2,2
8,0.669154621444339,2,4,1,26,"2;1","UBEqv1eA",100,5,1,0,0.2,2
9,0.979670412684182,2,2,1,28,"2;1","UBEqv1eA",100,5,1,0,0.2,2
10,0.960129245489452,1,3,1,31,"2;1","UBEqv1eA",100,5,1,0,0.2,2
11,0.559792837123952,2,0,1,31,"2;1","UBEqv1eA",100,5,1,0,0.2,2
12,0.710063788253372,1,7,1,38,"2;1","UBEqv1eA",100,5,1,0,0.2,2
13,1.10005423073193,2,2,1,40,"2;1","UBEqv1eA",100,5,1,0,0.2,2
14,1.02343727458781,1,3,1,43,"2;1","UBEqv1eA",100,5,1,0,0.2,2
15,0.767602324759002,2,3,1,46,"2;1","UBEqv1eA",100,5,1,0,0.2,2
16,0.5,2,2,1,48,"2;1","UBEqv1eA",100,5,1,0,0.2,2
17,1.0611187888771,1,5,1,53,"2;1","UBEqv1eA",100,5,1,0,0.2,2
18,0.849849319755346,2,3,1,56,"2;1","UBEqv1eA",100,5,1,0,0.2,2
19,0.902110768695146,2,5,1,61,"2;1","UBEqv1eA",100,5,1,0,0.2,2
20,0.720530427074973,1,3,1,64,"2;1","UBEqv1eA",100,5,1,0,0.2,2
1,1.0813066861501,2,5,2,5,"2;1","UBEqv1eA",100,5,1,0,0.2,2
2,1.47491508187802,2,7,2,12,"2;1","UBEqv1eA",100,5,1,0,0.2,2
3,0.87486124777667,2,6,2,18,"2;1","UBEqv1eA",100,5,1,0,0.2,2
4,0.765260519929344,2,0,2,18,"2;1","UBEqv1eA",100,5,1,0,0.2,2
5,0.658424176608133,2,3,2,21,"2;1","UBEqv1eA",100,5,1,0,0.2,2
6,1.05507575908539,1,-12,2,9,"2;1","UBEqv1eA",100,5,1,0,0.2,2
7,0.665242119998305,2,5,2,14,"2;1","UBEqv1eA",100,5,1,0,0.2,2
8,0.811538810030105,1,2,2,16,"2;1","UBEqv1eA",100,5,1,0,0.2,2
9,0.791990037174154,1,19,2,35,"2;1","UBEqv1eA",100,5,1,0,0.2,2
10,0.828336167460596,1,-12,2,23,"2;1","UBEqv1eA",100,5,1,0,0.2,2
11,1.12449096599393,1,-6,2,17,"2;1","UBEqv1eA",100,5,1,0,0.2,2
12,0.525326978590347,1,2,2,19,"2;1","UBEqv1eA",100,5,1,0,0.2,2
