"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,1,1,1,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
2,1.1360636630993,1,5,1,6,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
3,1.01000075918008,2,3,1,9,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
4,0.534059683029328,1,6,1,15,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
5,0.690557341362531,1,1,1,16,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
6,0.811885580135833,1,6,1,22,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
7,1.29289603111766,1,4,1,26,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
8,0.703644653318431,1,6,1,32,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
9,0.810744066966654,1,1,1,33,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
10,1.04504320092992,1,-3,1,30,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
11,0.671719648143801,2,2,1,32,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
12,0.826565264493104,1,3,1,35,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
13,0.714656743732808,1,8,1,43,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
14,0.618850826034631,1,4,1,47,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
15,0.5,2,6,1,53,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
16,0.845324945059518,2,2,1,55,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
17,0.965677027865457,1,4,1,59,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
18,0.751479567229363,2,1,1,60,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
19,1.02511608828417,1,5,1,65,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
20,0.875332137028724,1,1,1,66,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
1,0.760661431698522,1,3,2,3,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
2,0.614168905696642,1,3,2,6,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
3,1.04782291606666,1,2,2,8,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
4,0.813419132334231,1,6,2,14,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
5,0.699844896854926,1,3,2,17,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
6,0.716899137155878,2,5,2,22,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
7,0.993683284437851,1,0,2,22,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
8,0.66734624699986,2,17,2,39,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
9,1.0184382095198,2,-4,2,35,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
10,1.32483282827576,2,5,2,40,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
11,0.5,1,4,2,44,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
12,0.637125729256397,2,-3,2,41,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
13,0.908047687503167,1,2,2,43,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
14,0.5,1,2,2,45,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
15,1.37701546357971,1,4,2,49,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
16,0.539169723182444,1,5,2,54,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
17,0.819886555671325,1,7,2,61,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
18,0.784371866614007,1,5,2,66,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
19,0.758210580491977,1,4,2,70,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
20,0.955908474496131,2,-18,2,52,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
21,0.907688079105597,1,9,2,61,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
22,0.796537194054644,2,-5,2,56,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
23,0.715023609880572,1,2,2,58,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
24,0.711424273162094,1,7,2,65,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
25,0.895704561189351,1,5,2,70,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
1,1.00213466540446,2,2,3,2,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
2,0.780601146011014,2,10,3,12,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
3,0.633593021804151,2,2,3,14,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
4,1.11386035324541,2,5,3,19,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
5,1.00591562905588,2,2,3,21,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
6,1.0239142657018,2,2,3,23,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
7,1.05546559557917,1,3,3,26,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
8,0.82521972321971,2,4,3,30,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
9,1.05837588061743,1,13,3,43,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
10,1.19958606927079,2,4,3,47,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
11,0.676276078447569,2,5,3,52,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
12,1.01223483367639,1,-4,3,48,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
13,0.636615216975256,2,3,3,51,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
14,0.696372027236099,2,2,3,53,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
15,0.706153329156008,2,2,3,55,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
16,0.997399657392901,2,5,3,60,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
17,0.5,2,9,3,69,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
18,0.822307581196073,2,6,3,75,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
19,1.15805847048513,2,4,3,79,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
20,0.817705062198661,2,8,3,87,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
21,0.928753153964023,1,23,3,110,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
22,1.02515915922979,1,3,3,113,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
23,0.887748372795826,1,2,3,115,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
24,0.981086047331934,1,0,3,115,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
25,1.00699392112366,2,5,3,120,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
1,1.06337026021252,1,-6,4,-6,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
2,0.542313710039608,2,-1,4,-7,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
3,1.16714155515494,2,3,4,-4,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
4,0.798074327938931,2,4,4,0,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
5,0.678362812794668,2,5,4,5,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
6,0.722046388102215,2,4,4,9,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
7,0.5,2,4,4,13,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
8,0.802464772502696,2,0,4,13,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
9,0.942913773094045,2,6,4,19,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
10,0.518990652290859,2,-1,4,18,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
11,0.59032208026564,1,10,4,28,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
12,1.1506179721275,2,4,4,32,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
13,1.05197113527951,2,0,4,32,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
14,0.5,2,5,4,37,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
15,0.831973770467904,1,3,4,40,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
16,0.82464469343259,1,-20,4,20,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
17,0.995819395644332,2,1,4,21,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
18,0.924965857640474,2,1,4,22,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
19,0.757849365873277,2,2,4,24,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
20,0.745057312049988,2,8,4,32,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
21,0.840974323673042,2,3,4,35,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
22,0.502451481467316,2,4,4,39,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
23,0.626865521501918,1,4,4,43,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
24,0.831541004753778,2,2,4,45,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
25,0.703693710786084,2,1,4,46,"2;1","UUYRZ6OR",0,2,NA,0,1.03,2
1,1.18991659259337,1,5,5,5,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
2,0.707796439745319,1,3,5,8,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
3,0.5,1,5,5,13,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
4,0.974533389694168,2,2,5,15,"1;2","UUYRZ6OR",0,2,NA,0,1.03,2
