"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.936218615637318,1,3,1,3,"2;1","UnvchS1T",100,4,7,0,1.4,3
2,0.983711350486643,1,3,1,6,"2;1","UnvchS1T",100,4,7,0,1.4,3
3,1.0398979777224,1,6,1,12,"2;1","UnvchS1T",100,4,7,0,1.4,3
4,0.5,1,0,1,12,"2;1","UnvchS1T",100,4,7,0,1.4,3
5,1.1605085426767,1,1,1,13,"2;1","UnvchS1T",100,4,7,0,1.4,3
6,1.17326941869743,1,3,1,16,"2;1","UnvchS1T",100,4,7,0,1.4,3
7,1.14775253056007,2,2,1,18,"2;1","UnvchS1T",100,4,7,0,1.4,3
8,1.17942436103022,2,2,1,20,"2;1","UnvchS1T",100,4,7,0,1.4,3
9,0.901565129747313,1,2,1,22,"2;1","UnvchS1T",100,4,7,0,1.4,3
10,0.597173195128164,1,6,1,28,"2;1","UnvchS1T",100,4,7,0,1.4,3
11,0.611451387356143,1,4,1,32,"2;1","UnvchS1T",100,4,7,0,1.4,3
12,0.5,2,4,1,36,"2;1","UnvchS1T",100,4,7,0,1.4,3
13,0.784500104176464,1,3,1,39,"2;1","UnvchS1T",100,4,7,0,1.4,3
14,0.720355750928551,2,2,1,41,"2;1","UnvchS1T",100,4,7,0,1.4,3
15,0.601747966678235,2,2,1,43,"2;1","UnvchS1T",100,4,7,0,1.4,3
16,0.671870809156454,1,1,1,44,"2;1","UnvchS1T",100,4,7,0,1.4,3
17,0.710177438151424,2,-1,1,43,"2;1","UnvchS1T",100,4,7,0,1.4,3
18,0.729353098836318,1,6,1,49,"2;1","UnvchS1T",100,4,7,0,1.4,3
19,0.953471619421806,1,5,1,54,"2;1","UnvchS1T",100,4,7,0,1.4,3
20,0.817407163376726,1,5,1,59,"2;1","UnvchS1T",100,4,7,0,1.4,3
1,0.866153892101026,1,12,2,12,"2;1","UnvchS1T",100,4,7,0,1.4,3
2,1.06871366907342,2,4,2,16,"2;1","UnvchS1T",100,4,7,0,1.4,3
3,1.01969746944186,2,2,2,18,"2;1","UnvchS1T",100,4,7,0,1.4,3
4,0.527689012659612,2,4,2,22,"2;1","UnvchS1T",100,4,7,0,1.4,3
5,0.780533858187974,2,-1,2,21,"2;1","UnvchS1T",100,4,7,0,1.4,3
6,0.69873504198597,2,7,2,28,"2;1","UnvchS1T",100,4,7,0,1.4,3
7,0.5,1,2,2,30,"2;1","UnvchS1T",100,4,7,0,1.4,3
8,0.921411485328072,1,21,2,51,"2;1","UnvchS1T",100,4,7,0,1.4,3
9,0.865784331357155,1,22,2,73,"2;1","UnvchS1T",100,4,7,0,1.4,3
10,1.02854797205995,1,6,2,79,"2;1","UnvchS1T",100,4,7,0,1.4,3
11,0.779753618871698,1,-11,2,68,"2;1","UnvchS1T",100,4,7,0,1.4,3
12,1.11874862222305,1,3,2,71,"2;1","UnvchS1T",100,4,7,0,1.4,3
13,0.5827179371055,1,-8,2,63,"2;1","UnvchS1T",100,4,7,0,1.4,3
14,0.679343941771057,1,13,2,76,"2;1","UnvchS1T",100,4,7,0,1.4,3
15,0.717657905134156,1,6,2,82,"2;1","UnvchS1T",100,4,7,0,1.4,3
16,0.81892649177386,1,1,2,83,"2;1","UnvchS1T",100,4,7,0,1.4,3
17,0.833375153442194,2,4,2,87,"2;1","UnvchS1T",100,4,7,0,1.4,3
18,0.800165127372547,1,11,2,98,"2;1","UnvchS1T",100,4,7,0,1.4,3
19,0.5,1,6,2,104,"2;1","UnvchS1T",100,4,7,0,1.4,3
20,1.34645914872465,2,6,2,110,"2;1","UnvchS1T",100,4,7,0,1.4,3
21,1.03001128307556,2,7,2,117,"2;1","UnvchS1T",100,4,7,0,1.4,3
22,0.752649058653254,2,7,2,124,"2;1","UnvchS1T",100,4,7,0,1.4,3
23,0.796953643163485,2,7,2,131,"2;1","UnvchS1T",100,4,7,0,1.4,3
24,0.910033256279428,2,6,2,137,"2;1","UnvchS1T",100,4,7,0,1.4,3
25,1.03298871253553,1,4,2,141,"2;1","UnvchS1T",100,4,7,0,1.4,3
1,0.5,1,-1,3,-1,"2;1","UnvchS1T",100,4,7,0,1.4,3
2,0.654679646879153,2,3,3,2,"2;1","UnvchS1T",100,4,7,0,1.4,3
3,1.0735719466101,2,4,3,6,"2;1","UnvchS1T",100,4,7,0,1.4,3
4,0.925968056583628,2,4,3,10,"2;1","UnvchS1T",100,4,7,0,1.4,3
5,0.765110907332457,1,9,3,19,"2;1","UnvchS1T",100,4,7,0,1.4,3
6,0.798092379304468,1,-10,3,9,"2;1","UnvchS1T",100,4,7,0,1.4,3
7,0.785614422382422,1,-7,3,2,"2;1","UnvchS1T",100,4,7,0,1.4,3
8,1.20278604021909,1,7,3,9,"2;1","UnvchS1T",100,4,7,0,1.4,3
9,0.577067511645615,1,26,3,35,"2;1","UnvchS1T",100,4,7,0,1.4,3
