"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.969281878620375,1,5,1,5,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
2,0.988819498732643,2,3,1,8,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
3,0.953186652355008,1,-2,1,6,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
4,1.16251166567229,2,2,1,8,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
5,0.698743675455491,2,3,1,11,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
6,0.762685703829667,2,4,1,15,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
7,0.916090245209915,1,1,1,16,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
8,0.947906743085907,1,5,1,21,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
9,1.08342665068467,2,4,1,25,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
10,1.07612455151325,1,3,1,28,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
11,0.700358163874714,2,1,1,29,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
12,0.609772444869905,2,5,1,34,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
13,1.05446787281215,2,5,1,39,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
14,0.561211082535052,1,3,1,42,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
15,0.817040226589171,1,4,1,46,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
16,0.985228874600875,1,4,1,50,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
17,0.5,2,2,1,52,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
18,1.15243163969636,1,0,1,52,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
19,0.609657889157735,1,5,1,57,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
20,0.545310326783319,2,4,1,61,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
1,0.687850444043965,2,3,2,3,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
2,0.866655893374504,2,5,2,8,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
3,0.968485705139838,2,3,2,11,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
4,0.5,2,7,2,18,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
5,0.5,1,6,2,24,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
6,0.712751725437312,1,17,2,41,"2;1","VP9fOXvh",0,1,NA,1,0.91,3
