"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.596007578234175,1,5,1,5,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
2,0.758098612529497,1,3,1,8,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
3,1.54409076718127,1,1,1,9,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
4,0.752371753898371,1,5,1,14,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
5,1.15653716713303,1,1,1,15,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
6,0.990395944220305,1,-2,1,13,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
7,1.11437351403203,1,3,1,16,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
8,1.11656507322917,1,1,1,17,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
9,0.5,1,6,1,23,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
10,1.08877223523682,1,1,1,24,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
11,1.02086082527557,1,3,1,27,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
12,1.33187888399832,1,5,1,32,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
13,0.5,1,5,1,37,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
14,0.675062976159422,1,2,1,39,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
15,0.846797791168372,1,3,1,42,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
16,0.520152897283102,2,3,1,45,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
17,0.956679256985703,1,2,1,47,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
18,0.514289633583946,1,3,1,50,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
19,1.62461192925161,1,4,1,54,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
20,0.912532676073297,1,2,1,56,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
1,1.14068997689048,1,0,2,0,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
2,1.19625173419913,2,8,2,8,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
3,0.5,1,2,2,10,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
4,0.590854495379823,2,12,2,22,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
5,0.864910150045958,2,8,2,30,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
6,0.73782005565972,1,7,2,37,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
7,1.08595710462693,2,7,2,44,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
8,0.737929038143914,2,9,2,53,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
9,0.681164784977981,2,17,2,70,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
10,0.673775845149258,2,17,2,87,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
11,1.06994350748431,2,1,2,88,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
12,0.61562360748768,2,2,2,90,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
13,0.97081768738146,2,-4,2,86,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
14,0.749144294471944,1,1,2,87,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
15,0.525592078122722,2,5,2,92,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
16,0.704084605850963,1,-4,2,88,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
17,1.29810618840456,2,0,2,88,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
18,0.72476562035342,1,1,2,89,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
19,1.16641513219671,1,6,2,95,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
20,0.713343704169719,1,2,2,97,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
21,0.88084515451572,1,5,2,102,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
22,0.762589463413524,1,1,2,103,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
23,0.502138568329711,1,4,2,107,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
24,1.134037652633,1,0,2,107,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
25,0.81202209994774,1,5,2,112,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
1,0.606637487417263,1,1,3,1,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
2,0.660821595403874,1,2,3,3,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
3,0.815475790791203,1,6,3,9,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
4,0.570227582453077,2,31,3,40,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
5,0.951040704979151,1,3,3,43,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
6,0.987724732637719,1,5,3,48,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
7,0.5,2,18,3,66,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
8,0.870276291788599,1,3,3,69,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
9,0.755127039518123,2,-7,3,62,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
10,1.17420712449208,2,8,3,70,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
11,0.792911169341652,2,1,3,71,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
12,1.07422337304551,1,1,3,72,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
13,0.839235860683125,2,-11,3,61,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
14,0.931924708116841,1,4,3,65,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
15,1.09045783636026,1,3,3,68,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
16,0.939986560467744,1,3,3,71,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
17,0.863981158204739,2,-17,3,54,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
18,0.900294693554279,1,2,3,56,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
19,0.542243343921818,1,0,3,56,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
20,0.508433546612822,1,-2,3,54,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
21,0.5,1,3,3,57,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
22,0.5,1,3,3,60,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
23,0.926272838142053,1,3,3,63,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
24,0.5,2,-10,3,53,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
25,0.842065199837325,2,8,3,61,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
1,0.66097878093993,1,-2,4,-2,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
2,0.782140923323181,1,-1,4,-3,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
3,1.34097431311542,2,-1,4,-4,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
4,0.60244945811075,2,3,4,-1,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
5,0.5,1,13,4,12,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
6,0.989957639903859,1,27,4,39,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
7,0.5,1,5,4,44,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
8,0.916047702610424,1,18,4,62,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
9,1.15474068178914,1,10,4,72,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
10,0.789194435204852,1,14,4,86,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
11,0.954775133169571,1,-7,4,79,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
12,0.568246734367232,1,-9,4,70,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
13,1.00175606393791,2,5,4,75,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
14,0.536668806591046,2,2,4,77,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
15,0.5,2,6,4,83,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
16,0.980715586282615,2,5,4,88,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
17,1.20014891846289,2,-2,4,86,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
18,0.881937115082514,1,2,4,88,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
19,0.910956629783247,2,2,4,90,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
20,0.799948459284278,2,3,4,93,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
21,1.24226373171628,2,1,4,94,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
22,0.5,2,5,4,99,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
23,0.697297497555623,2,-1,4,98,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
24,0.809908843750923,2,2,4,100,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
25,0.806844066535404,1,-2,4,98,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
1,0.615243141792657,2,2,5,2,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
2,0.78529259828159,2,-1,5,1,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
3,0.633568252204346,1,2,5,3,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
4,0.693184424560292,1,6,5,9,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
5,0.910352476975251,1,-5,5,4,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
6,1.01721378591461,2,1,5,5,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
7,0.647883515422583,2,5,5,10,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
8,0.678800627898599,2,1,5,11,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
9,0.616273500917888,2,2,5,13,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
10,0.728433932486485,2,5,5,18,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
11,0.918379926627234,1,7,5,25,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
12,1.03392745159401,1,6,5,31,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
13,0.931176877189437,1,15,5,46,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
14,0.825589180690314,2,2,5,48,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
15,0.5,1,9,5,57,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
16,0.5,1,3,5,60,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
17,0.88366261091177,1,-7,5,53,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
18,0.80430628735162,2,2,5,55,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
19,0.5,2,3,5,58,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
20,0.843412032253916,1,22,5,80,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
21,0.858744494151665,2,0,5,80,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
22,0.822459639146018,2,7,5,87,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
23,0.981861029538258,1,-7,5,80,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
24,0.820592092719848,1,2,5,82,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
25,0.5,2,0,5,82,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
1,1.05231100013944,1,23,6,23,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
2,0.788249375655873,1,9,6,32,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
3,0.844969300791169,1,5,6,37,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
4,0.876972830799556,1,-5,6,32,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
5,0.79549060395561,1,-6,6,26,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
6,1.0163052769002,2,4,6,30,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
7,0.5,1,5,6,35,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
8,0.756359530540919,2,2,6,37,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
9,0.884754049968405,2,6,6,43,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
10,0.637570990355863,1,2,6,45,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
11,0.747663238135994,2,1,6,46,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
12,1.09863246854296,2,1,6,47,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
13,0.55325415962771,1,-19,6,28,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
14,0.5,1,10,6,38,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
15,0.763803064814075,2,2,6,40,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
16,0.804351009436346,1,-18,6,22,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
17,0.647069019378301,1,9,6,31,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
18,0.53042321659193,2,4,6,35,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
19,0.938860443458825,1,23,6,58,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
20,0.997438461036305,1,22,6,80,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
21,0.665392466388347,2,2,6,82,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
22,0.797291217227712,2,1,6,83,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
23,1.00667428955359,1,3,6,86,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
24,0.699968863491839,1,-18,6,68,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
25,0.570286694994244,1,1,6,69,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
1,1.05273976440299,2,-16,7,-16,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
2,0.764506761266177,1,5,7,-11,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
3,0.601480931132975,2,17,7,6,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
4,0.884147583686208,1,0,7,6,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
5,0.5,1,-1,7,5,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
6,1.16867910755734,2,8,7,13,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
7,1.24917203526964,1,2,7,15,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
8,0.665845411915981,1,3,7,18,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
9,1.01803189527519,1,1,7,19,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
10,0.755216606010286,2,15,7,34,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
11,0.88304644995203,1,4,7,38,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
12,0.754193132163749,2,16,7,54,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
13,0.817656153348745,1,0,7,54,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
14,0.650485864958545,2,14,7,68,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
15,0.5,2,11,7,79,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
16,0.5,1,-1,7,78,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
17,0.963903723469708,2,12,7,90,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
18,0.79211857538538,2,0,7,90,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
19,1.14140550591535,2,3,7,93,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
20,0.814077569350694,2,-5,7,88,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
21,0.5,1,3,7,91,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
22,0.5,1,2,7,93,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
23,0.842889222515618,1,4,7,97,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
24,0.792616319593469,2,-6,7,91,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
25,0.824735091397235,1,1,7,92,"1;2","VhnsFvBE",0,3,NA,0,0.76,1
1,0.825961458275419,1,-6,8,-6,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
2,0.924306754972919,2,2,8,-4,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
3,1.34812568819849,2,8,8,4,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
4,0.520810681736809,1,7,8,11,"2;1","VhnsFvBE",0,3,NA,0,0.76,1
