"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05474586389954,2,4,1,4,"2;1","ViLfukT7",100,6,3,2,0.6,2
2,1.01479896993326,2,5,1,9,"2;1","ViLfukT7",100,6,3,2,0.6,2
3,0.680576733078579,1,3,1,12,"2;1","ViLfukT7",100,6,3,2,0.6,2
4,0.7959613772344,2,3,1,15,"2;1","ViLfukT7",100,6,3,2,0.6,2
5,0.621178661289508,1,2,1,17,"2;1","ViLfukT7",100,6,3,2,0.6,2
6,0.967604923548267,2,1,1,18,"2;1","ViLfukT7",100,6,3,2,0.6,2
7,0.808321307139917,2,1,1,19,"2;1","ViLfukT7",100,6,3,2,0.6,2
8,1.12123251835326,2,6,1,25,"2;1","ViLfukT7",100,6,3,2,0.6,2
9,0.890060065126222,2,2,1,27,"2;1","ViLfukT7",100,6,3,2,0.6,2
10,0.5,2,-4,1,23,"2;1","ViLfukT7",100,6,3,2,0.6,2
11,0.978613052650196,2,3,1,26,"2;1","ViLfukT7",100,6,3,2,0.6,2
12,0.929303992376097,2,3,1,29,"2;1","ViLfukT7",100,6,3,2,0.6,2
13,0.537013860405999,2,5,1,34,"2;1","ViLfukT7",100,6,3,2,0.6,2
14,0.893451625487522,2,3,1,37,"2;1","ViLfukT7",100,6,3,2,0.6,2
15,0.847730984117598,2,1,1,38,"2;1","ViLfukT7",100,6,3,2,0.6,2
16,1.11956484661595,2,-1,1,37,"2;1","ViLfukT7",100,6,3,2,0.6,2
17,0.83444372883316,1,2,1,39,"2;1","ViLfukT7",100,6,3,2,0.6,2
18,0.908169308476956,1,1,1,40,"2;1","ViLfukT7",100,6,3,2,0.6,2
19,0.952481914970891,1,4,1,44,"2;1","ViLfukT7",100,6,3,2,0.6,2
20,0.842257378911663,2,1,1,45,"2;1","ViLfukT7",100,6,3,2,0.6,2
1,1.21936815545569,2,1,2,1,"2;1","ViLfukT7",100,6,3,2,0.6,2
2,0.564794279989693,1,8,2,9,"2;1","ViLfukT7",100,6,3,2,0.6,2
3,1.09140768654067,2,2,2,11,"2;1","ViLfukT7",100,6,3,2,0.6,2
4,0.707092659368256,1,15,2,26,"2;1","ViLfukT7",100,6,3,2,0.6,2
5,0.5,1,8,2,34,"2;1","ViLfukT7",100,6,3,2,0.6,2
6,0.636877336449302,1,11,2,45,"2;1","ViLfukT7",100,6,3,2,0.6,2
7,1.25512102904913,1,11,2,56,"2;1","ViLfukT7",100,6,3,2,0.6,2
8,1.11732283176751,2,1,2,57,"2;1","ViLfukT7",100,6,3,2,0.6,2
9,0.743720727160859,1,2,2,59,"2;1","ViLfukT7",100,6,3,2,0.6,2
10,0.973949757576187,1,-13,2,46,"2;1","ViLfukT7",100,6,3,2,0.6,2
11,0.822013549635856,1,-7,2,39,"2;1","ViLfukT7",100,6,3,2,0.6,2
12,1.19658403402368,1,-6,2,33,"2;1","ViLfukT7",100,6,3,2,0.6,2
