"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.10001371090179,1,5,1,5,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
2,0.5,1,4,1,9,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
3,1.107539523756,1,2,1,11,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
4,0.958264247104868,1,6,1,17,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
5,0.935094312202297,1,7,1,24,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
6,0.5,1,4,1,28,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
7,0.550799871447824,1,1,1,29,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
8,1.18333632365809,1,3,1,32,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
9,0.667860947843356,2,5,1,37,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
10,0.5,1,1,1,38,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
11,0.967546980391314,2,4,1,42,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
12,0.821364432717668,2,1,1,43,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
13,0.78047428091309,1,3,1,46,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
14,1.16965283322698,1,4,1,50,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
15,0.921824235261861,1,2,1,52,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
16,1.05578235647961,1,3,1,55,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
17,0.5,1,0,1,55,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
18,0.767525611975549,2,0,1,55,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
19,0.709170044420123,1,-1,1,54,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
20,0.525273010627885,2,6,1,60,"1;2","Vj1QZDoS",0,2,NA,4,1.07,2
