"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.635105975375223,2,4,1,4,"1;2","VjVon7Je",0,3,NA,0,0.7,3
2,0.852717560393386,2,5,1,9,"1;2","VjVon7Je",0,3,NA,0,0.7,3
3,0.552129976464479,2,3,1,12,"1;2","VjVon7Je",0,3,NA,0,0.7,3
4,0.861722624788032,2,0,1,12,"1;2","VjVon7Je",0,3,NA,0,0.7,3
5,0.716017523830043,1,2,1,14,"1;2","VjVon7Je",0,3,NA,0,0.7,3
6,0.845059390379682,2,3,1,17,"1;2","VjVon7Je",0,3,NA,0,0.7,3
7,0.5,2,2,1,19,"1;2","VjVon7Je",0,3,NA,0,0.7,3
8,1.18621119030239,2,7,1,26,"1;2","VjVon7Je",0,3,NA,0,0.7,3
9,0.549297418022504,2,1,1,27,"1;2","VjVon7Je",0,3,NA,0,0.7,3
10,0.56050734452267,2,4,1,31,"1;2","VjVon7Je",0,3,NA,0,0.7,3
11,0.676575164488969,2,4,1,35,"1;2","VjVon7Je",0,3,NA,0,0.7,3
12,0.970807884338869,1,5,1,40,"1;2","VjVon7Je",0,3,NA,0,0.7,3
13,1.38503833701525,2,-2,1,38,"1;2","VjVon7Je",0,3,NA,0,0.7,3
14,0.603378207812564,2,2,1,40,"1;2","VjVon7Je",0,3,NA,0,0.7,3
15,1.15979302608216,2,1,1,41,"1;2","VjVon7Je",0,3,NA,0,0.7,3
16,0.835837651866296,2,4,1,45,"1;2","VjVon7Je",0,3,NA,0,0.7,3
17,1.09646644639796,2,3,1,48,"1;2","VjVon7Je",0,3,NA,0,0.7,3
18,0.626006716746569,2,5,1,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
19,0.634184570097483,1,-2,1,51,"1;2","VjVon7Je",0,3,NA,0,0.7,3
20,1.04817787022422,2,2,1,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
1,0.852776388183854,1,-14,2,-14,"2;1","VjVon7Je",0,3,NA,0,0.7,3
2,0.664398750216066,2,0,2,-14,"2;1","VjVon7Je",0,3,NA,0,0.7,3
3,1.04796461184357,2,4,2,-10,"2;1","VjVon7Je",0,3,NA,0,0.7,3
4,0.957447769235281,2,1,2,-9,"2;1","VjVon7Je",0,3,NA,0,0.7,3
5,0.899611612861196,2,3,2,-6,"2;1","VjVon7Je",0,3,NA,0,0.7,3
6,0.541481739961466,2,7,2,1,"2;1","VjVon7Je",0,3,NA,0,0.7,3
7,0.850012687751892,2,0,2,1,"2;1","VjVon7Je",0,3,NA,0,0.7,3
8,0.735498038067685,2,2,2,3,"2;1","VjVon7Je",0,3,NA,0,0.7,3
9,0.747951289274042,2,2,2,5,"2;1","VjVon7Je",0,3,NA,0,0.7,3
10,0.565433547537104,1,-22,2,-17,"2;1","VjVon7Je",0,3,NA,0,0.7,3
11,0.61065149872414,1,18,2,1,"2;1","VjVon7Je",0,3,NA,0,0.7,3
12,0.5,2,4,2,5,"2;1","VjVon7Je",0,3,NA,0,0.7,3
13,0.801152865944178,1,5,2,10,"2;1","VjVon7Je",0,3,NA,0,0.7,3
14,0.53037385908529,2,2,2,12,"2;1","VjVon7Je",0,3,NA,0,0.7,3
15,1.33487390088457,2,0,2,12,"2;1","VjVon7Je",0,3,NA,0,0.7,3
16,0.793084359488476,1,-6,2,6,"2;1","VjVon7Je",0,3,NA,0,0.7,3
17,1.03232292898665,1,-8,2,-2,"2;1","VjVon7Je",0,3,NA,0,0.7,3
18,0.557897962926754,2,5,2,3,"2;1","VjVon7Je",0,3,NA,0,0.7,3
19,0.652409210518708,1,6,2,9,"2;1","VjVon7Je",0,3,NA,0,0.7,3
20,0.70816988494471,2,3,2,12,"2;1","VjVon7Je",0,3,NA,0,0.7,3
21,0.5,2,2,2,14,"2;1","VjVon7Je",0,3,NA,0,0.7,3
22,0.5,2,1,2,15,"2;1","VjVon7Je",0,3,NA,0,0.7,3
23,0.930368301727417,2,6,2,21,"2;1","VjVon7Je",0,3,NA,0,0.7,3
24,0.5,2,0,2,21,"2;1","VjVon7Je",0,3,NA,0,0.7,3
25,1.11572145069091,2,0,2,21,"2;1","VjVon7Je",0,3,NA,0,0.7,3
1,0.850602595409467,2,6,3,6,"2;1","VjVon7Je",0,3,NA,0,0.7,3
2,0.999326008144575,2,0,3,6,"2;1","VjVon7Je",0,3,NA,0,0.7,3
3,0.833466249988836,1,4,3,10,"2;1","VjVon7Je",0,3,NA,0,0.7,3
4,0.907719154018431,2,-1,3,9,"2;1","VjVon7Je",0,3,NA,0,0.7,3
5,0.89180819548769,1,6,3,15,"2;1","VjVon7Je",0,3,NA,0,0.7,3
6,0.5,2,4,3,19,"2;1","VjVon7Je",0,3,NA,0,0.7,3
7,0.732101467750809,1,12,3,31,"2;1","VjVon7Je",0,3,NA,0,0.7,3
8,0.897313783696273,1,-13,3,18,"2;1","VjVon7Je",0,3,NA,0,0.7,3
9,1.01701385932908,2,1,3,19,"2;1","VjVon7Je",0,3,NA,0,0.7,3
10,0.679844004976593,2,3,3,22,"2;1","VjVon7Je",0,3,NA,0,0.7,3
11,0.97222630378413,2,2,3,24,"2;1","VjVon7Je",0,3,NA,0,0.7,3
12,1.31470388116985,2,11,3,35,"2;1","VjVon7Je",0,3,NA,0,0.7,3
13,0.783207104361775,1,-2,3,33,"2;1","VjVon7Je",0,3,NA,0,0.7,3
14,0.752641121198922,1,-4,3,29,"2;1","VjVon7Je",0,3,NA,0,0.7,3
15,0.80002008696214,2,1,3,30,"2;1","VjVon7Je",0,3,NA,0,0.7,3
16,0.812968980483738,1,7,3,37,"2;1","VjVon7Je",0,3,NA,0,0.7,3
17,0.566412985940855,1,-1,3,36,"2;1","VjVon7Je",0,3,NA,0,0.7,3
18,1.36698791174814,2,5,3,41,"2;1","VjVon7Je",0,3,NA,0,0.7,3
19,0.906991956581737,2,5,3,46,"2;1","VjVon7Je",0,3,NA,0,0.7,3
20,0.990944673739989,2,1,3,47,"2;1","VjVon7Je",0,3,NA,0,0.7,3
21,0.851520607510016,2,1,3,48,"2;1","VjVon7Je",0,3,NA,0,0.7,3
22,0.731049319894771,2,5,3,53,"2;1","VjVon7Je",0,3,NA,0,0.7,3
23,0.5,2,4,3,57,"2;1","VjVon7Je",0,3,NA,0,0.7,3
24,0.67015263956274,2,1,3,58,"2;1","VjVon7Je",0,3,NA,0,0.7,3
25,1.39866730719613,1,1,3,59,"2;1","VjVon7Je",0,3,NA,0,0.7,3
1,0.881688833253891,2,7,4,7,"1;2","VjVon7Je",0,3,NA,0,0.7,3
2,0.631973018453265,1,6,4,13,"1;2","VjVon7Je",0,3,NA,0,0.7,3
3,1.00243719706939,2,0,4,13,"1;2","VjVon7Je",0,3,NA,0,0.7,3
4,0.918854386241209,1,6,4,19,"1;2","VjVon7Je",0,3,NA,0,0.7,3
5,0.841228190883727,1,-2,4,17,"1;2","VjVon7Je",0,3,NA,0,0.7,3
6,0.756089455444288,2,10,4,27,"1;2","VjVon7Je",0,3,NA,0,0.7,3
7,1.13156778794894,2,4,4,31,"1;2","VjVon7Je",0,3,NA,0,0.7,3
8,1.13792096624089,1,-1,4,30,"1;2","VjVon7Je",0,3,NA,0,0.7,3
9,0.927370059528929,1,3,4,33,"1;2","VjVon7Je",0,3,NA,0,0.7,3
10,0.5,2,-2,4,31,"1;2","VjVon7Je",0,3,NA,0,0.7,3
11,0.977879281951439,2,22,4,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
12,0.788645401623689,2,-5,4,48,"1;2","VjVon7Je",0,3,NA,0,0.7,3
13,0.575110039120197,2,2,4,50,"1;2","VjVon7Je",0,3,NA,0,0.7,3
14,0.895020694543731,2,5,4,55,"1;2","VjVon7Je",0,3,NA,0,0.7,3
15,1.09570093391927,2,2,4,57,"1;2","VjVon7Je",0,3,NA,0,0.7,3
16,1.12597348095881,1,6,4,63,"1;2","VjVon7Je",0,3,NA,0,0.7,3
17,0.5,2,-6,4,57,"1;2","VjVon7Je",0,3,NA,0,0.7,3
18,0.5,1,4,4,61,"1;2","VjVon7Je",0,3,NA,0,0.7,3
19,0.801549772197813,1,3,4,64,"1;2","VjVon7Je",0,3,NA,0,0.7,3
20,0.576701170499438,1,6,4,70,"1;2","VjVon7Je",0,3,NA,0,0.7,3
21,0.780233935235171,2,-14,4,56,"1;2","VjVon7Je",0,3,NA,0,0.7,3
22,1.01585956615358,2,-8,4,48,"1;2","VjVon7Je",0,3,NA,0,0.7,3
23,0.96161024394858,1,1,4,49,"1;2","VjVon7Je",0,3,NA,0,0.7,3
24,1.03363161845877,1,2,4,51,"1;2","VjVon7Je",0,3,NA,0,0.7,3
25,1.27917811598506,1,2,4,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
1,0.5,1,0,5,0,"1;2","VjVon7Je",0,3,NA,0,0.7,3
2,0.570841553029142,2,17,5,17,"1;2","VjVon7Je",0,3,NA,0,0.7,3
3,0.5,1,7,5,24,"1;2","VjVon7Je",0,3,NA,0,0.7,3
4,0.975653239763823,1,0,5,24,"1;2","VjVon7Je",0,3,NA,0,0.7,3
5,1.18380828411892,2,24,5,48,"1;2","VjVon7Je",0,3,NA,0,0.7,3
6,0.910375130607051,1,5,5,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
7,0.730886812155307,2,1,5,54,"1;2","VjVon7Je",0,3,NA,0,0.7,3
8,0.758016049453765,2,-1,5,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
9,1.18505786391587,1,3,5,56,"1;2","VjVon7Je",0,3,NA,0,0.7,3
10,0.5,1,-2,5,54,"1;2","VjVon7Je",0,3,NA,0,0.7,3
11,0.879949005752535,2,18,5,72,"1;2","VjVon7Je",0,3,NA,0,0.7,3
12,0.759291533845348,2,-2,5,70,"1;2","VjVon7Je",0,3,NA,0,0.7,3
13,0.620301160621038,2,7,5,77,"1;2","VjVon7Je",0,3,NA,0,0.7,3
14,0.516284563471318,2,4,5,81,"1;2","VjVon7Je",0,3,NA,0,0.7,3
15,0.900176401629014,2,-16,5,65,"1;2","VjVon7Je",0,3,NA,0,0.7,3
16,0.5,1,0,5,65,"1;2","VjVon7Je",0,3,NA,0,0.7,3
17,1.20623915429732,1,4,5,69,"1;2","VjVon7Je",0,3,NA,0,0.7,3
18,0.652570215492908,2,-18,5,51,"1;2","VjVon7Je",0,3,NA,0,0.7,3
19,0.595340287769983,2,-4,5,47,"1;2","VjVon7Je",0,3,NA,0,0.7,3
20,0.527001624588103,1,1,5,48,"1;2","VjVon7Je",0,3,NA,0,0.7,3
21,0.996255826749495,2,5,5,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
22,0.926908890131598,1,0,5,53,"1;2","VjVon7Je",0,3,NA,0,0.7,3
23,0.860972955492906,1,5,5,58,"1;2","VjVon7Je",0,3,NA,0,0.7,3
24,0.614363997683363,1,5,5,63,"1;2","VjVon7Je",0,3,NA,0,0.7,3
25,0.5,1,2,5,65,"1;2","VjVon7Je",0,3,NA,0,0.7,3
1,0.5,1,-1,6,-1,"1;2","VjVon7Je",0,3,NA,0,0.7,3
2,0.939866702693078,2,19,6,18,"1;2","VjVon7Je",0,3,NA,0,0.7,3
3,0.5,1,-2,6,16,"1;2","VjVon7Je",0,3,NA,0,0.7,3
4,0.5,1,2,6,18,"1;2","VjVon7Je",0,3,NA,0,0.7,3
5,1.30002782103423,2,0,6,18,"1;2","VjVon7Je",0,3,NA,0,0.7,3
6,0.905604711269245,2,-3,6,15,"1;2","VjVon7Je",0,3,NA,0,0.7,3
7,0.602026931241137,2,9,6,24,"1;2","VjVon7Je",0,3,NA,0,0.7,3
8,1.0179628272372,2,-6,6,18,"1;2","VjVon7Je",0,3,NA,0,0.7,3
9,0.605748218248998,2,13,6,31,"1;2","VjVon7Je",0,3,NA,0,0.7,3
10,0.681874409919939,1,0,6,31,"1;2","VjVon7Je",0,3,NA,0,0.7,3
11,0.5,2,5,6,36,"1;2","VjVon7Je",0,3,NA,0,0.7,3
12,0.5,1,1,6,37,"1;2","VjVon7Je",0,3,NA,0,0.7,3
13,0.703157108024613,2,21,6,58,"1;2","VjVon7Je",0,3,NA,0,0.7,3
14,1.49556398198733,2,-9,6,49,"1;2","VjVon7Je",0,3,NA,0,0.7,3
15,0.561148579334351,2,-16,6,33,"1;2","VjVon7Je",0,3,NA,0,0.7,3
16,1.14686504298604,1,1,6,34,"1;2","VjVon7Je",0,3,NA,0,0.7,3
17,1.0325027459379,1,6,6,40,"1;2","VjVon7Je",0,3,NA,0,0.7,3
18,0.541489498905255,1,2,6,42,"1;2","VjVon7Je",0,3,NA,0,0.7,3
19,0.5,1,1,6,43,"1;2","VjVon7Je",0,3,NA,0,0.7,3
20,1.06452050768989,1,0,6,43,"1;2","VjVon7Je",0,3,NA,0,0.7,3
21,1.01300349445675,1,2,6,45,"1;2","VjVon7Je",0,3,NA,0,0.7,3
22,1.0356629922546,2,4,6,49,"1;2","VjVon7Je",0,3,NA,0,0.7,3
23,0.656032391643638,1,1,6,50,"1;2","VjVon7Je",0,3,NA,0,0.7,3
24,0.717944835796715,1,4,6,54,"1;2","VjVon7Je",0,3,NA,0,0.7,3
25,0.610686394084208,1,4,6,58,"1;2","VjVon7Je",0,3,NA,0,0.7,3
1,0.5,2,-5,7,-5,"1;2","VjVon7Je",0,3,NA,0,0.7,3
2,0.928930992821246,1,6,7,1,"1;2","VjVon7Je",0,3,NA,0,0.7,3
3,0.838755214834107,2,20,7,21,"1;2","VjVon7Je",0,3,NA,0,0.7,3
4,1.08412502024004,1,2,7,23,"1;2","VjVon7Je",0,3,NA,0,0.7,3
5,0.715767897319825,2,41,7,64,"1;2","VjVon7Je",0,3,NA,0,0.7,3
6,0.620560608646531,2,16,7,80,"1;2","VjVon7Je",0,3,NA,0,0.7,3
