"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.15132169737626,1,2,1,2,"2;1","VthrgvlV",100,5,0,0,0,2
2,0.877022224133324,2,1,1,3,"2;1","VthrgvlV",100,5,0,0,0,2
3,0.819836857587257,2,2,1,5,"2;1","VthrgvlV",100,5,0,0,0,2
4,0.825319905585411,1,1,1,6,"2;1","VthrgvlV",100,5,0,0,0,2
5,0.684386367522565,1,5,1,11,"2;1","VthrgvlV",100,5,0,0,0,2
6,0.579554143087852,2,4,1,15,"2;1","VthrgvlV",100,5,0,0,0,2
7,0.772272533917772,2,0,1,15,"2;1","VthrgvlV",100,5,0,0,0,2
8,0.5,1,5,1,20,"2;1","VthrgvlV",100,5,0,0,0,2
9,0.5,1,3,1,23,"2;1","VthrgvlV",100,5,0,0,0,2
10,0.841624854791628,1,4,1,27,"2;1","VthrgvlV",100,5,0,0,0,2
11,1.00766956313457,2,5,1,32,"2;1","VthrgvlV",100,5,0,0,0,2
12,1.29014966571973,2,6,1,38,"2;1","VthrgvlV",100,5,0,0,0,2
13,0.857857539730216,2,0,1,38,"2;1","VthrgvlV",100,5,0,0,0,2
14,0.861411180998944,2,1,1,39,"2;1","VthrgvlV",100,5,0,0,0,2
15,1.34567129784069,1,2,1,41,"2;1","VthrgvlV",100,5,0,0,0,2
16,0.5,1,4,1,45,"2;1","VthrgvlV",100,5,0,0,0,2
17,0.863661542606615,2,-1,1,44,"2;1","VthrgvlV",100,5,0,0,0,2
18,0.961482591494573,1,2,1,46,"2;1","VthrgvlV",100,5,0,0,0,2
19,0.956960565944502,1,-1,1,45,"2;1","VthrgvlV",100,5,0,0,0,2
20,0.78196634414486,2,3,1,48,"2;1","VthrgvlV",100,5,0,0,0,2
1,0.5,1,-1,2,-1,"2;1","VthrgvlV",100,5,0,0,0,2
2,0.723385513955091,2,3,2,2,"2;1","VthrgvlV",100,5,0,0,0,2
3,1.03064045377803,2,3,2,5,"2;1","VthrgvlV",100,5,0,0,0,2
4,0.5,1,7,2,12,"2;1","VthrgvlV",100,5,0,0,0,2
5,0.722835729553934,1,7,2,19,"2;1","VthrgvlV",100,5,0,0,0,2
6,1.00112609217798,2,3,2,22,"2;1","VthrgvlV",100,5,0,0,0,2
7,0.571196908964403,2,9,2,31,"2;1","VthrgvlV",100,5,0,0,0,2
8,0.929956507666808,2,2,2,33,"2;1","VthrgvlV",100,5,0,0,0,2
9,0.5,1,0,2,33,"2;1","VthrgvlV",100,5,0,0,0,2
10,0.723488525913561,2,6,2,39,"2;1","VthrgvlV",100,5,0,0,0,2
11,0.726279570420352,2,5,2,44,"2;1","VthrgvlV",100,5,0,0,0,2
12,0.701401460302745,2,5,2,49,"2;1","VthrgvlV",100,5,0,0,0,2
13,0.863202041711378,2,4,2,53,"2;1","VthrgvlV",100,5,0,0,0,2
14,1.06942764335183,2,3,2,56,"2;1","VthrgvlV",100,5,0,0,0,2
15,1.19904634365586,2,0,2,56,"2;1","VthrgvlV",100,5,0,0,0,2
16,0.905607246733809,1,-11,2,45,"2;1","VthrgvlV",100,5,0,0,0,2
17,0.55972786488701,1,4,2,49,"2;1","VthrgvlV",100,5,0,0,0,2
18,0.914452949204486,1,-5,2,44,"2;1","VthrgvlV",100,5,0,0,0,2
19,0.891420644227989,2,2,2,46,"2;1","VthrgvlV",100,5,0,0,0,2
20,1.18636742899068,1,-12,2,34,"2;1","VthrgvlV",100,5,0,0,0,2
21,0.542531857242759,1,-7,2,27,"2;1","VthrgvlV",100,5,0,0,0,2
22,0.72264699340069,1,10,2,37,"2;1","VthrgvlV",100,5,0,0,0,2
23,0.510119996777291,2,3,2,40,"2;1","VthrgvlV",100,5,0,0,0,2
24,0.777108267165881,1,14,2,54,"2;1","VthrgvlV",100,5,0,0,0,2
25,0.567596975780011,2,9,2,63,"2;1","VthrgvlV",100,5,0,0,0,2
1,0.841733086883224,2,-1,3,-1,"1;2","VthrgvlV",100,5,0,0,0,2
2,0.619665922864104,2,18,3,17,"1;2","VthrgvlV",100,5,0,0,0,2
3,1.02721590354871,2,1,3,18,"1;2","VthrgvlV",100,5,0,0,0,2
4,1.09185155785968,2,-11,3,7,"1;2","VthrgvlV",100,5,0,0,0,2
