"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.868209726218323,1,2,1,2,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
2,0.854005213931346,1,4,1,6,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
3,0.609061361189427,1,1,1,7,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
4,0.77693238086935,1,7,1,14,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
5,0.533321833083278,1,5,1,19,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
6,0.799424572198617,1,5,1,24,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
7,0.5,1,0,1,24,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
8,0.841507845485695,2,1,1,25,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
9,0.854871654287815,1,1,1,26,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
10,1.28681221705287,1,4,1,30,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
11,1.28357826979351,2,6,1,36,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
12,0.5,1,2,1,38,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
13,0.762415156198692,1,-1,1,37,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
14,1.02389307877456,1,4,1,41,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
15,0.662681307949667,1,7,1,48,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
16,1.38439758511868,1,5,1,53,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
17,0.986476901779168,1,5,1,58,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
18,0.5,1,0,1,58,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
19,0.902001283407303,1,2,1,60,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
20,0.681415028706654,1,4,1,64,"2;1","VuGMw9TI",0,1,NA,0,0.79,3
1,0.518158404289873,2,-8,2,-8,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
2,1.06788183907815,1,4,2,-4,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
3,0.907983346281934,1,7,2,3,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
4,0.814352989774297,1,2,2,5,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
5,0.615158281130867,2,26,2,31,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
6,0.812547751217031,2,-13,2,18,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
7,0.968900935737509,2,-8,2,10,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
8,1.03267848507534,1,5,2,15,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
9,1.14951544267489,1,2,2,17,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
10,0.835822764051887,1,3,2,20,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
11,1.04834523974806,2,-23,2,-3,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
12,0.671428939091735,1,5,2,2,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
13,0.739883734726172,1,0,2,2,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
14,0.66335320032108,1,4,2,6,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
15,0.580644504352733,1,3,2,9,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
16,0.624683019273046,1,2,2,11,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
17,0.680106703078147,1,-2,2,9,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
18,1.19638954972385,1,3,2,12,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
19,0.906412783591679,1,2,2,14,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
20,0.536865193189277,1,4,2,18,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
21,0.606047166181607,1,0,2,18,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
22,0.984671915152469,2,10,2,28,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
23,0.766440085934866,1,3,2,31,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
24,0.755595573422292,1,2,2,33,"1;2","VuGMw9TI",0,1,NA,0,0.79,3
