"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.08138996049025,2,2,1,2,"1;2","WABJMa65",0,1,NA,0,1.24,3
2,1.26119592189728,2,5,1,7,"1;2","WABJMa65",0,1,NA,0,1.24,3
3,0.705658560596772,1,2,1,9,"1;2","WABJMa65",0,1,NA,0,1.24,3
4,0.578418806896178,1,7,1,16,"1;2","WABJMa65",0,1,NA,0,1.24,3
5,0.645067569958852,1,6,1,22,"1;2","WABJMa65",0,1,NA,0,1.24,3
6,0.877148137262975,1,0,1,22,"1;2","WABJMa65",0,1,NA,0,1.24,3
7,0.554183692882715,1,4,1,26,"1;2","WABJMa65",0,1,NA,0,1.24,3
8,1.13664984457004,2,4,1,30,"1;2","WABJMa65",0,1,NA,0,1.24,3
9,0.5,1,2,1,32,"1;2","WABJMa65",0,1,NA,0,1.24,3
10,0.838505266693984,1,2,1,34,"1;2","WABJMa65",0,1,NA,0,1.24,3
11,0.797930163848147,2,5,1,39,"1;2","WABJMa65",0,1,NA,0,1.24,3
12,0.819334269559157,2,4,1,43,"1;2","WABJMa65",0,1,NA,0,1.24,3
13,0.842473734303938,2,4,1,47,"1;2","WABJMa65",0,1,NA,0,1.24,3
14,0.722447261715165,2,1,1,48,"1;2","WABJMa65",0,1,NA,0,1.24,3
15,1.29454643084289,2,3,1,51,"1;2","WABJMa65",0,1,NA,0,1.24,3
16,0.773180481996467,1,-1,1,50,"1;2","WABJMa65",0,1,NA,0,1.24,3
17,0.788075071309115,2,3,1,53,"1;2","WABJMa65",0,1,NA,0,1.24,3
18,0.799853834139351,1,2,1,55,"1;2","WABJMa65",0,1,NA,0,1.24,3
19,0.656080889431159,2,1,1,56,"1;2","WABJMa65",0,1,NA,0,1.24,3
20,0.865917901331952,1,5,1,61,"1;2","WABJMa65",0,1,NA,0,1.24,3
1,0.767750775823326,2,6,2,6,"1;2","WABJMa65",0,1,NA,0,1.24,3
2,0.536656076994879,1,3,2,9,"1;2","WABJMa65",0,1,NA,0,1.24,3
3,0.60743861996001,1,2,2,11,"1;2","WABJMa65",0,1,NA,0,1.24,3
4,0.970720942432937,2,13,2,24,"1;2","WABJMa65",0,1,NA,0,1.24,3
5,0.797811920718319,2,17,2,41,"1;2","WABJMa65",0,1,NA,0,1.24,3
6,0.897964892798722,2,18,2,59,"1;2","WABJMa65",0,1,NA,0,1.24,3
7,0.872873156315306,2,5,2,64,"1;2","WABJMa65",0,1,NA,0,1.24,3
8,0.723435401674409,2,-6,2,58,"1;2","WABJMa65",0,1,NA,0,1.24,3
9,0.508383668636456,2,2,2,60,"1;2","WABJMa65",0,1,NA,0,1.24,3
10,0.842399316852874,2,2,2,62,"1;2","WABJMa65",0,1,NA,0,1.24,3
11,1.14680316263654,2,5,2,67,"1;2","WABJMa65",0,1,NA,0,1.24,3
12,0.5,2,5,2,72,"1;2","WABJMa65",0,1,NA,0,1.24,3
13,0.778830394003645,2,8,2,80,"1;2","WABJMa65",0,1,NA,0,1.24,3
14,1.02957287236053,2,23,2,103,"1;2","WABJMa65",0,1,NA,0,1.24,3
15,0.5,1,3,2,106,"1;2","WABJMa65",0,1,NA,0,1.24,3
16,1.00299978686433,2,16,2,122,"1;2","WABJMa65",0,1,NA,0,1.24,3
17,0.5,2,35,2,157,"1;2","WABJMa65",0,1,NA,0,1.24,3
18,0.572533833612809,1,8,2,165,"1;2","WABJMa65",0,1,NA,0,1.24,3
19,0.5,2,-1,2,164,"1;2","WABJMa65",0,1,NA,0,1.24,3
20,0.672483851593955,2,8,2,172,"1;2","WABJMa65",0,1,NA,0,1.24,3
21,0.817610428265589,1,2,2,174,"1;2","WABJMa65",0,1,NA,0,1.24,3
22,1.04072800300268,2,-13,2,161,"1;2","WABJMa65",0,1,NA,0,1.24,3
23,1.05608730923845,2,9,2,170,"1;2","WABJMa65",0,1,NA,0,1.24,3
24,0.631824059058153,2,9,2,179,"1;2","WABJMa65",0,1,NA,0,1.24,3
25,0.946890441962245,2,4,2,183,"1;2","WABJMa65",0,1,NA,0,1.24,3
1,0.982999075535309,2,2,3,2,"2;1","WABJMa65",0,1,NA,0,1.24,3
2,0.971138918123253,2,5,3,7,"2;1","WABJMa65",0,1,NA,0,1.24,3
