"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.912735094446808,1,2,1,2,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
2,0.802556564403526,1,3,1,5,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
3,0.620010253889064,1,2,1,7,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
4,0.999653774758549,1,-1,1,6,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
5,1.03685333177068,1,2,1,8,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
6,0.750168566497404,1,2,1,10,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
7,0.691616989112063,1,2,1,12,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
8,0.902570085570226,1,4,1,16,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
9,0.618444154532529,2,3,1,19,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
10,0.5,1,1,1,20,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
11,0.5,1,1,1,21,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
12,0.917470483305555,1,3,1,24,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
13,0.593528281422706,2,3,1,27,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
14,0.5,1,0,1,27,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
15,0.5,2,1,1,28,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
16,0.620018495183638,1,5,1,33,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
17,0.924668520741865,1,1,1,34,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
18,0.619244044089681,1,6,1,40,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
19,0.761115660513221,1,1,1,41,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
20,0.78304270924769,1,0,1,41,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
1,0.656536203020105,2,17,2,17,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
2,1.01968178460348,2,5,2,22,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
3,0.677723432812568,2,18,2,40,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
4,0.973195813379459,2,-22,2,18,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
5,0.5,1,3,2,21,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
6,0.5,2,-11,2,10,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
7,0.5,1,2,2,12,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
8,0.51366915152714,1,5,2,17,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
9,0.5,1,-1,2,16,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
10,0.974676164442372,2,7,2,23,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
11,1.23039405377123,1,3,2,26,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
12,0.74855692710938,1,7,2,33,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
13,0.589830882480559,2,10,2,43,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
14,0.978478484574394,1,2,2,45,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
15,0.931802976600502,1,0,2,45,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
16,1.20678065160375,2,1,2,46,"1;2","WMXJcPBJ",0,3,NA,0,0.91,1
