"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.542076008212247,2,2,1,2,"2;1","WSQAfw5b",100,4,6,0,1.2,1
2,0.79156877892909,2,2,1,4,"2;1","WSQAfw5b",100,4,6,0,1.2,1
3,0.59562747604207,2,4,1,8,"2;1","WSQAfw5b",100,4,6,0,1.2,1
4,0.800156324632527,1,5,1,13,"2;1","WSQAfw5b",100,4,6,0,1.2,1
5,0.5,1,5,1,18,"2;1","WSQAfw5b",100,4,6,0,1.2,1
6,0.664086960401371,1,5,1,23,"2;1","WSQAfw5b",100,4,6,0,1.2,1
7,0.700360182956751,1,0,1,23,"2;1","WSQAfw5b",100,4,6,0,1.2,1
8,0.616229980838584,1,5,1,28,"2;1","WSQAfw5b",100,4,6,0,1.2,1
9,0.828503815250211,1,6,1,34,"2;1","WSQAfw5b",100,4,6,0,1.2,1
10,0.651429555447907,1,8,1,42,"2;1","WSQAfw5b",100,4,6,0,1.2,1
11,0.9092755609772,1,7,1,49,"2;1","WSQAfw5b",100,4,6,0,1.2,1
12,1.12215965285906,1,4,1,53,"2;1","WSQAfw5b",100,4,6,0,1.2,1
13,0.813463160514327,1,5,1,58,"2;1","WSQAfw5b",100,4,6,0,1.2,1
14,0.761929176281745,1,4,1,62,"2;1","WSQAfw5b",100,4,6,0,1.2,1
15,0.631143121838991,1,-1,1,61,"2;1","WSQAfw5b",100,4,6,0,1.2,1
16,1.15872203867492,1,5,1,66,"2;1","WSQAfw5b",100,4,6,0,1.2,1
17,0.631778193335274,1,3,1,69,"2;1","WSQAfw5b",100,4,6,0,1.2,1
18,1.08674244083815,1,5,1,74,"2;1","WSQAfw5b",100,4,6,0,1.2,1
19,1.13121366149432,2,7,1,81,"2;1","WSQAfw5b",100,4,6,0,1.2,1
20,0.557386802575379,1,4,1,85,"2;1","WSQAfw5b",100,4,6,0,1.2,1
1,0.981422881744116,1,6,2,6,"1;2","WSQAfw5b",100,4,6,0,1.2,1
2,0.945313075601226,1,3,2,9,"1;2","WSQAfw5b",100,4,6,0,1.2,1
3,1.07934864904783,1,2,2,11,"1;2","WSQAfw5b",100,4,6,0,1.2,1
4,0.763706018212188,1,5,2,16,"1;2","WSQAfw5b",100,4,6,0,1.2,1
5,0.967881544593806,1,6,2,22,"1;2","WSQAfw5b",100,4,6,0,1.2,1
6,0.80600003701057,1,-1,2,21,"1;2","WSQAfw5b",100,4,6,0,1.2,1
7,0.945771801003102,1,9,2,30,"1;2","WSQAfw5b",100,4,6,0,1.2,1
8,0.937131907327983,1,1,2,31,"1;2","WSQAfw5b",100,4,6,0,1.2,1
9,0.773913721026661,1,4,2,35,"1;2","WSQAfw5b",100,4,6,0,1.2,1
10,0.738122255705327,1,0,2,35,"1;2","WSQAfw5b",100,4,6,0,1.2,1
11,0.941626765046826,1,1,2,36,"1;2","WSQAfw5b",100,4,6,0,1.2,1
12,0.717883451944998,1,2,2,38,"1;2","WSQAfw5b",100,4,6,0,1.2,1
13,0.727006051683307,1,7,2,45,"1;2","WSQAfw5b",100,4,6,0,1.2,1
14,0.902916807213942,1,9,2,54,"1;2","WSQAfw5b",100,4,6,0,1.2,1
15,1.00306088334244,1,2,2,56,"1;2","WSQAfw5b",100,4,6,0,1.2,1
16,0.5,1,9,2,65,"1;2","WSQAfw5b",100,4,6,0,1.2,1
17,0.739142891291803,1,3,2,68,"1;2","WSQAfw5b",100,4,6,0,1.2,1
18,0.634627753340321,1,4,2,72,"1;2","WSQAfw5b",100,4,6,0,1.2,1
19,0.632408698600955,2,15,2,87,"1;2","WSQAfw5b",100,4,6,0,1.2,1
20,0.698772448668692,1,4,2,91,"1;2","WSQAfw5b",100,4,6,0,1.2,1
21,0.945712533530598,1,5,2,96,"1;2","WSQAfw5b",100,4,6,0,1.2,1
22,0.504631216873845,2,21,2,117,"1;2","WSQAfw5b",100,4,6,0,1.2,1
23,0.78001546729869,1,3,2,120,"1;2","WSQAfw5b",100,4,6,0,1.2,1
24,0.689359450541438,1,0,2,120,"1;2","WSQAfw5b",100,4,6,0,1.2,1
25,0.72818591285087,1,3,2,123,"1;2","WSQAfw5b",100,4,6,0,1.2,1
1,0.645489276695925,2,-8,3,-8,"1;2","WSQAfw5b",100,4,6,0,1.2,1
2,1.33893304192815,1,7,3,-1,"1;2","WSQAfw5b",100,4,6,0,1.2,1
3,1.12434639065386,2,-7,3,-8,"1;2","WSQAfw5b",100,4,6,0,1.2,1
4,0.5,2,-2,3,-10,"1;2","WSQAfw5b",100,4,6,0,1.2,1
5,0.885379305758305,2,-2,3,-12,"1;2","WSQAfw5b",100,4,6,0,1.2,1
6,0.586895692987704,2,-14,3,-26,"1;2","WSQAfw5b",100,4,6,0,1.2,1
7,0.68484026154192,1,6,3,-20,"1;2","WSQAfw5b",100,4,6,0,1.2,1
8,0.615271830574713,2,3,3,-17,"1;2","WSQAfw5b",100,4,6,0,1.2,1
9,0.748750490930476,2,13,3,-4,"1;2","WSQAfw5b",100,4,6,0,1.2,1
10,1.10084848353965,2,33,3,29,"1;2","WSQAfw5b",100,4,6,0,1.2,1
11,0.554134187883205,2,14,3,43,"1;2","WSQAfw5b",100,4,6,0,1.2,1
12,0.551456798915113,2,0,3,43,"1;2","WSQAfw5b",100,4,6,0,1.2,1
