"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.726594024956706,1,1,1,1,"2;1","WfTXU86X",0,1,NA,2,1,3
2,0.5,1,5,1,6,"2;1","WfTXU86X",0,1,NA,2,1,3
3,0.893183672389965,2,4,1,10,"2;1","WfTXU86X",0,1,NA,2,1,3
4,0.613859503098727,1,4,1,14,"2;1","WfTXU86X",0,1,NA,2,1,3
5,0.884613505060195,1,1,1,15,"2;1","WfTXU86X",0,1,NA,2,1,3
6,0.990391751354616,1,2,1,17,"2;1","WfTXU86X",0,1,NA,2,1,3
7,1.05679946279022,1,3,1,20,"2;1","WfTXU86X",0,1,NA,2,1,3
8,0.89902591513129,1,4,1,24,"2;1","WfTXU86X",0,1,NA,2,1,3
9,0.5,1,3,1,27,"2;1","WfTXU86X",0,1,NA,2,1,3
10,1.10929986136192,1,0,1,27,"2;1","WfTXU86X",0,1,NA,2,1,3
11,0.75932509882048,1,5,1,32,"2;1","WfTXU86X",0,1,NA,2,1,3
12,0.696410298070937,2,0,1,32,"2;1","WfTXU86X",0,1,NA,2,1,3
13,1.45647412982049,1,4,1,36,"2;1","WfTXU86X",0,1,NA,2,1,3
14,0.650781903030068,1,3,1,39,"2;1","WfTXU86X",0,1,NA,2,1,3
15,0.72345408872263,2,0,1,39,"2;1","WfTXU86X",0,1,NA,2,1,3
16,0.675267391416657,1,3,1,42,"2;1","WfTXU86X",0,1,NA,2,1,3
17,0.730323192422401,1,3,1,45,"2;1","WfTXU86X",0,1,NA,2,1,3
18,0.80251653833728,2,7,1,52,"2;1","WfTXU86X",0,1,NA,2,1,3
19,0.846103668832667,1,4,1,56,"2;1","WfTXU86X",0,1,NA,2,1,3
20,1.08716736204237,2,6,1,62,"2;1","WfTXU86X",0,1,NA,2,1,3
1,0.896720485884789,2,6,2,6,"1;2","WfTXU86X",0,1,NA,2,1,3
2,0.5,2,-13,2,-7,"1;2","WfTXU86X",0,1,NA,2,1,3
3,0.593754639192629,2,17,2,10,"1;2","WfTXU86X",0,1,NA,2,1,3
4,1.08773666222858,1,2,2,12,"1;2","WfTXU86X",0,1,NA,2,1,3
5,0.785816390277156,2,7,2,19,"1;2","WfTXU86X",0,1,NA,2,1,3
6,0.832390866701191,2,16,2,35,"1;2","WfTXU86X",0,1,NA,2,1,3
7,0.998984281938217,2,27,2,62,"1;2","WfTXU86X",0,1,NA,2,1,3
8,0.5,1,4,2,66,"1;2","WfTXU86X",0,1,NA,2,1,3
9,0.798604449099274,2,7,2,73,"1;2","WfTXU86X",0,1,NA,2,1,3
10,0.76281473710475,2,20,2,93,"1;2","WfTXU86X",0,1,NA,2,1,3
11,1.28053134748957,2,-5,2,88,"1;2","WfTXU86X",0,1,NA,2,1,3
12,0.844073630473705,2,-11,2,77,"1;2","WfTXU86X",0,1,NA,2,1,3
13,0.733482649680584,1,2,2,79,"1;2","WfTXU86X",0,1,NA,2,1,3
14,0.996134070511494,2,-4,2,75,"1;2","WfTXU86X",0,1,NA,2,1,3
15,0.77772741711864,1,1,2,76,"1;2","WfTXU86X",0,1,NA,2,1,3
16,0.863853075976549,1,6,2,82,"1;2","WfTXU86X",0,1,NA,2,1,3
17,0.508731712255341,1,3,2,85,"1;2","WfTXU86X",0,1,NA,2,1,3
18,0.789669407797652,2,-3,2,82,"1;2","WfTXU86X",0,1,NA,2,1,3
19,0.951140193842342,2,15,2,97,"1;2","WfTXU86X",0,1,NA,2,1,3
20,1.07163556620473,2,-2,2,95,"1;2","WfTXU86X",0,1,NA,2,1,3
21,0.741390256308107,2,-3,2,92,"1;2","WfTXU86X",0,1,NA,2,1,3
22,1.14554446914412,1,6,2,98,"1;2","WfTXU86X",0,1,NA,2,1,3
23,0.667739778271,1,2,2,100,"1;2","WfTXU86X",0,1,NA,2,1,3
24,1.05557931573549,1,4,2,104,"1;2","WfTXU86X",0,1,NA,2,1,3
25,0.563930343243624,1,8,2,112,"1;2","WfTXU86X",0,1,NA,2,1,3
1,0.950078306796893,1,4,3,4,"1;2","WfTXU86X",0,1,NA,2,1,3
2,0.5,2,-2,3,2,"1;2","WfTXU86X",0,1,NA,2,1,3
3,0.594065429168439,1,5,3,7,"1;2","WfTXU86X",0,1,NA,2,1,3
4,0.725954070178547,1,4,3,11,"1;2","WfTXU86X",0,1,NA,2,1,3
5,1.00026028354569,1,5,3,16,"1;2","WfTXU86X",0,1,NA,2,1,3
