"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.545820180127268,1,3,1,3,"1;2","WnnCGIEu",100,5,2,0,0.4,2
2,0.745257329427575,2,4,1,7,"1;2","WnnCGIEu",100,5,2,0,0.4,2
3,0.891031809321688,2,6,1,13,"1;2","WnnCGIEu",100,5,2,0,0.4,2
4,1.09770332793195,2,2,1,15,"1;2","WnnCGIEu",100,5,2,0,0.4,2
5,0.734109462771025,2,1,1,16,"1;2","WnnCGIEu",100,5,2,0,0.4,2
6,0.737574033471391,2,3,1,19,"1;2","WnnCGIEu",100,5,2,0,0.4,2
7,0.704644906794187,2,6,1,25,"1;2","WnnCGIEu",100,5,2,0,0.4,2
8,0.802773434423986,2,0,1,25,"1;2","WnnCGIEu",100,5,2,0,0.4,2
9,0.66728499380543,2,4,1,29,"1;2","WnnCGIEu",100,5,2,0,0.4,2
10,0.729659863502947,2,4,1,33,"1;2","WnnCGIEu",100,5,2,0,0.4,2
11,1.36581372325109,2,6,1,39,"1;2","WnnCGIEu",100,5,2,0,0.4,2
12,0.709427881683794,1,3,1,42,"1;2","WnnCGIEu",100,5,2,0,0.4,2
13,0.79381473920297,2,6,1,48,"1;2","WnnCGIEu",100,5,2,0,0.4,2
14,0.587446450187696,2,2,1,50,"1;2","WnnCGIEu",100,5,2,0,0.4,2
15,0.63379327616989,2,0,1,50,"1;2","WnnCGIEu",100,5,2,0,0.4,2
16,0.5,2,2,1,52,"1;2","WnnCGIEu",100,5,2,0,0.4,2
17,0.5,1,5,1,57,"1;2","WnnCGIEu",100,5,2,0,0.4,2
18,0.5,2,2,1,59,"1;2","WnnCGIEu",100,5,2,0,0.4,2
19,0.60937545767573,2,1,1,60,"1;2","WnnCGIEu",100,5,2,0,0.4,2
20,0.891247430422953,1,5,1,65,"1;2","WnnCGIEu",100,5,2,0,0.4,2
1,0.711960773930868,1,6,2,6,"1;2","WnnCGIEu",100,5,2,0,0.4,2
2,1.10035580936688,1,4,2,10,"1;2","WnnCGIEu",100,5,2,0,0.4,2
3,0.811080608943306,1,4,2,14,"1;2","WnnCGIEu",100,5,2,0,0.4,2
4,0.906321049337234,1,2,2,16,"1;2","WnnCGIEu",100,5,2,0,0.4,2
5,0.681862293740925,1,2,2,18,"1;2","WnnCGIEu",100,5,2,0,0.4,2
6,0.5,1,3,2,21,"1;2","WnnCGIEu",100,5,2,0,0.4,2
7,0.5,1,1,2,22,"1;2","WnnCGIEu",100,5,2,0,0.4,2
