"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.870134588638887,2,5,1,5,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
2,1.02551414914851,2,3,1,8,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
3,0.799337425331618,1,6,1,14,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
4,0.535340399990131,2,1,1,15,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
5,0.811496761439808,2,7,1,22,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
6,0.875651833768786,2,8,1,30,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
7,0.639277887814582,2,8,1,38,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
8,0.648295770590889,2,3,1,41,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
9,0.5,1,2,1,43,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
10,0.682934521430709,2,3,1,46,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
11,0.604741894125911,2,2,1,48,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
12,1.31016066940142,2,5,1,53,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
13,0.727252130593808,2,3,1,56,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
14,0.74737261533884,2,2,1,58,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
15,0.641863640569691,1,3,1,61,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
16,1.33734572601382,1,2,1,63,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
17,0.500457566380707,2,4,1,67,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
18,0.948843658070095,2,4,1,71,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
19,0.5,1,6,1,77,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
20,0.640384604644205,1,3,1,80,"2;1","Wt1JDFqi",100,6,4,0,0.8,1
1,0.5,1,3,2,3,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
2,0.5,1,2,2,5,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
3,0.970746899673302,2,15,2,20,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
4,0.739608025085701,2,8,2,28,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
5,0.9462840629425,2,0,2,28,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
6,0.73701261656543,1,-3,2,25,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
7,0.737056413433056,2,26,2,51,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
8,0.63323297897875,1,4,2,55,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
9,0.914864301147169,1,3,2,58,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
10,0.5,1,7,2,65,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
11,0.752085927706326,1,3,2,68,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
12,0.521755367589612,1,1,2,69,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
13,0.5,1,-1,2,68,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
14,0.679854436758877,2,-14,2,54,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
15,0.536667784841185,2,8,2,62,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
16,0.686416503217771,1,8,2,70,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
17,0.704943936329759,1,0,2,70,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
18,0.845477286058277,2,2,2,72,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
19,0.592469227414318,1,5,2,77,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
20,0.550773111520002,2,20,2,97,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
21,0.566634322721516,2,-8,2,89,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
22,0.769877756935109,1,5,2,94,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
23,1.20834646315165,1,7,2,101,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
24,0.5,1,1,2,102,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
25,0.65422262989052,2,2,2,104,"1;2","Wt1JDFqi",100,6,4,0,0.8,1
