"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.724520429992071,1,3,1,3,"2;1","XIaejk73",100,6,1,0,0.2,1
2,0.69289173444261,2,1,1,4,"2;1","XIaejk73",100,6,1,0,0.2,1
3,0.800707430008393,2,1,1,5,"2;1","XIaejk73",100,6,1,0,0.2,1
4,1.29620273323103,1,3,1,8,"2;1","XIaejk73",100,6,1,0,0.2,1
5,0.662377314117835,2,6,1,14,"2;1","XIaejk73",100,6,1,0,0.2,1
6,0.860265815284594,1,2,1,16,"2;1","XIaejk73",100,6,1,0,0.2,1
7,0.968224729653013,2,0,1,16,"2;1","XIaejk73",100,6,1,0,0.2,1
8,0.961011015369415,2,5,1,21,"2;1","XIaejk73",100,6,1,0,0.2,1
9,1.36233683694236,2,5,1,26,"2;1","XIaejk73",100,6,1,0,0.2,1
10,0.714119858586507,2,6,1,32,"2;1","XIaejk73",100,6,1,0,0.2,1
11,0.943081669351899,2,7,1,39,"2;1","XIaejk73",100,6,1,0,0.2,1
12,0.736353960154446,2,6,1,45,"2;1","XIaejk73",100,6,1,0,0.2,1
13,0.952530054675858,2,1,1,46,"2;1","XIaejk73",100,6,1,0,0.2,1
14,1.17022940073813,2,6,1,52,"2;1","XIaejk73",100,6,1,0,0.2,1
15,0.607925360892104,2,2,1,54,"2;1","XIaejk73",100,6,1,0,0.2,1
16,0.5,2,5,1,59,"2;1","XIaejk73",100,6,1,0,0.2,1
17,0.794397699940182,2,2,1,61,"2;1","XIaejk73",100,6,1,0,0.2,1
18,1.14369892192545,2,3,1,64,"2;1","XIaejk73",100,6,1,0,0.2,1
19,0.5,2,1,1,65,"2;1","XIaejk73",100,6,1,0,0.2,1
20,0.730674794215894,1,3,1,68,"2;1","XIaejk73",100,6,1,0,0.2,1
1,0.5,1,4,2,4,"1;2","XIaejk73",100,6,1,0,0.2,1
2,0.5,1,0,2,4,"1;2","XIaejk73",100,6,1,0,0.2,1
3,1.02766115455673,1,3,2,7,"1;2","XIaejk73",100,6,1,0,0.2,1
4,0.904156529429662,1,5,2,12,"1;2","XIaejk73",100,6,1,0,0.2,1
5,0.5,1,-3,2,9,"1;2","XIaejk73",100,6,1,0,0.2,1
6,0.527167230111708,2,-11,2,-2,"1;2","XIaejk73",100,6,1,0,0.2,1
7,1.23136710497981,1,5,2,3,"1;2","XIaejk73",100,6,1,0,0.2,1
8,0.893713414768961,1,6,2,9,"1;2","XIaejk73",100,6,1,0,0.2,1
9,0.914451338784278,1,0,2,9,"1;2","XIaejk73",100,6,1,0,0.2,1
10,0.815307047123847,2,15,2,24,"1;2","XIaejk73",100,6,1,0,0.2,1
11,1.03604582065047,2,4,2,28,"1;2","XIaejk73",100,6,1,0,0.2,1
12,0.767197897103953,2,8,2,36,"1;2","XIaejk73",100,6,1,0,0.2,1
13,0.894449364967685,2,3,2,39,"1;2","XIaejk73",100,6,1,0,0.2,1
14,0.725437534696962,2,-7,2,32,"1;2","XIaejk73",100,6,1,0,0.2,1
15,0.767974564519271,1,5,2,37,"1;2","XIaejk73",100,6,1,0,0.2,1
16,0.834546914977235,2,14,2,51,"1;2","XIaejk73",100,6,1,0,0.2,1
17,0.843462068973372,2,-8,2,43,"1;2","XIaejk73",100,6,1,0,0.2,1
18,1.36877126390814,2,-11,2,32,"1;2","XIaejk73",100,6,1,0,0.2,1
19,0.926318339713973,1,3,2,35,"1;2","XIaejk73",100,6,1,0,0.2,1
20,0.503085167568142,2,15,2,50,"1;2","XIaejk73",100,6,1,0,0.2,1
21,0.773154541066257,2,10,2,60,"1;2","XIaejk73",100,6,1,0,0.2,1
22,0.734207396064149,2,-9,2,51,"1;2","XIaejk73",100,6,1,0,0.2,1
23,0.98933141572301,2,25,2,76,"1;2","XIaejk73",100,6,1,0,0.2,1
24,0.5,2,1,2,77,"1;2","XIaejk73",100,6,1,0,0.2,1
25,0.718038534814883,1,6,2,83,"1;2","XIaejk73",100,6,1,0,0.2,1
1,0.607160055597562,2,-3,3,-3,"2;1","XIaejk73",100,6,1,0,0.2,1
2,0.5,1,1,3,-2,"2;1","XIaejk73",100,6,1,0,0.2,1
3,0.5,2,4,3,2,"2;1","XIaejk73",100,6,1,0,0.2,1
4,0.783300577645246,2,3,3,5,"2;1","XIaejk73",100,6,1,0,0.2,1
5,0.63913020359338,2,6,3,11,"2;1","XIaejk73",100,6,1,0,0.2,1
6,0.753163233723216,1,4,3,15,"2;1","XIaejk73",100,6,1,0,0.2,1
7,0.733006451782812,2,5,3,20,"2;1","XIaejk73",100,6,1,0,0.2,1
8,0.606727420460974,1,-1,3,19,"2;1","XIaejk73",100,6,1,0,0.2,1
9,0.824238280828541,2,-4,3,15,"2;1","XIaejk73",100,6,1,0,0.2,1
10,0.715482531035406,2,4,3,19,"2;1","XIaejk73",100,6,1,0,0.2,1
11,0.882671213004656,2,-2,3,17,"2;1","XIaejk73",100,6,1,0,0.2,1
12,1.13461465594107,2,0,3,17,"2;1","XIaejk73",100,6,1,0,0.2,1
13,0.701884193146682,2,0,3,17,"2;1","XIaejk73",100,6,1,0,0.2,1
14,0.898290137054009,2,5,3,22,"2;1","XIaejk73",100,6,1,0,0.2,1
15,0.61471152380939,2,3,3,25,"2;1","XIaejk73",100,6,1,0,0.2,1
16,1.08665757830752,2,4,3,29,"2;1","XIaejk73",100,6,1,0,0.2,1
17,0.5,2,4,3,33,"2;1","XIaejk73",100,6,1,0,0.2,1
18,1.14145871565832,2,-1,3,32,"2;1","XIaejk73",100,6,1,0,0.2,1
19,1.09497908519714,2,4,3,36,"2;1","XIaejk73",100,6,1,0,0.2,1
20,0.615286275803119,2,4,3,40,"2;1","XIaejk73",100,6,1,0,0.2,1
21,0.5,2,1,3,41,"2;1","XIaejk73",100,6,1,0,0.2,1
22,0.608333851117122,2,1,3,42,"2;1","XIaejk73",100,6,1,0,0.2,1
23,1.16114383544028,1,-5,3,37,"2;1","XIaejk73",100,6,1,0,0.2,1
24,1.1268520363518,2,-1,3,36,"2;1","XIaejk73",100,6,1,0,0.2,1
25,1.14379387873853,1,9,3,45,"2;1","XIaejk73",100,6,1,0,0.2,1
1,0.982346557574439,2,5,4,5,"2;1","XIaejk73",100,6,1,0,0.2,1
2,1.03124922549295,1,-5,4,0,"2;1","XIaejk73",100,6,1,0,0.2,1
3,0.594657404908348,1,21,4,21,"2;1","XIaejk73",100,6,1,0,0.2,1
4,0.852514359564104,1,12,4,33,"2;1","XIaejk73",100,6,1,0,0.2,1
5,0.64359332825585,1,5,4,38,"2;1","XIaejk73",100,6,1,0,0.2,1
6,0.597446825340825,1,-13,4,25,"2;1","XIaejk73",100,6,1,0,0.2,1
7,0.590206661233461,1,-5,4,20,"2;1","XIaejk73",100,6,1,0,0.2,1
8,0.5,1,3,4,23,"2;1","XIaejk73",100,6,1,0,0.2,1
9,0.50657580828445,1,4,4,27,"2;1","XIaejk73",100,6,1,0,0.2,1
10,1.03451590396129,1,-8,4,19,"2;1","XIaejk73",100,6,1,0,0.2,1
11,0.820094777599222,1,5,4,24,"2;1","XIaejk73",100,6,1,0,0.2,1
12,0.798462789727999,2,-4,4,20,"2;1","XIaejk73",100,6,1,0,0.2,1
13,0.679396852291141,1,16,4,36,"2;1","XIaejk73",100,6,1,0,0.2,1
14,0.5,1,8,4,44,"2;1","XIaejk73",100,6,1,0,0.2,1
15,0.599376080827192,1,4,4,48,"2;1","XIaejk73",100,6,1,0,0.2,1
16,1.23562709637576,1,-5,4,43,"2;1","XIaejk73",100,6,1,0,0.2,1
17,0.688130345971396,1,-4,4,39,"2;1","XIaejk73",100,6,1,0,0.2,1
18,0.878615233276144,2,3,4,42,"2;1","XIaejk73",100,6,1,0,0.2,1
19,0.914081893782689,2,9,4,51,"2;1","XIaejk73",100,6,1,0,0.2,1
20,0.917203528747027,2,4,4,55,"2;1","XIaejk73",100,6,1,0,0.2,1
21,0.5,2,0,4,55,"2;1","XIaejk73",100,6,1,0,0.2,1
22,0.704545278467502,1,-3,4,52,"2;1","XIaejk73",100,6,1,0,0.2,1
23,1.14951907948017,1,-6,4,46,"2;1","XIaejk73",100,6,1,0,0.2,1
24,1.01648668462707,1,-5,4,41,"2;1","XIaejk73",100,6,1,0,0.2,1
25,0.892344538859363,2,5,4,46,"2;1","XIaejk73",100,6,1,0,0.2,1
1,0.5,1,3,5,3,"1;2","XIaejk73",100,6,1,0,0.2,1
2,0.888144775486066,2,-3,5,0,"1;2","XIaejk73",100,6,1,0,0.2,1
3,0.990016605948218,2,17,5,17,"1;2","XIaejk73",100,6,1,0,0.2,1
4,0.695376870323871,2,22,5,39,"1;2","XIaejk73",100,6,1,0,0.2,1
5,0.878936533369658,2,9,5,48,"1;2","XIaejk73",100,6,1,0,0.2,1
6,0.890697194894359,2,-6,5,42,"1;2","XIaejk73",100,6,1,0,0.2,1
7,0.787366459113549,2,14,5,56,"1;2","XIaejk73",100,6,1,0,0.2,1
8,0.694725020239095,2,6,5,62,"1;2","XIaejk73",100,6,1,0,0.2,1
9,1.08727130002423,2,-12,5,50,"1;2","XIaejk73",100,6,1,0,0.2,1
10,1.33457571913709,2,-14,5,36,"1;2","XIaejk73",100,6,1,0,0.2,1
11,1.03430459498714,2,3,5,39,"1;2","XIaejk73",100,6,1,0,0.2,1
12,1.06873040221064,2,3,5,42,"1;2","XIaejk73",100,6,1,0,0.2,1
13,0.789047220881888,2,8,5,50,"1;2","XIaejk73",100,6,1,0,0.2,1
14,0.963843256914402,2,7,5,57,"1;2","XIaejk73",100,6,1,0,0.2,1
15,0.860264695910839,2,9,5,66,"1;2","XIaejk73",100,6,1,0,0.2,1
16,1.08714562177117,2,4,5,70,"1;2","XIaejk73",100,6,1,0,0.2,1
17,0.790795676747034,2,3,5,73,"1;2","XIaejk73",100,6,1,0,0.2,1
18,1.10353565546073,2,-14,5,59,"1;2","XIaejk73",100,6,1,0,0.2,1
19,0.61333409056345,2,20,5,79,"1;2","XIaejk73",100,6,1,0,0.2,1
20,0.695612528714298,2,2,5,81,"1;2","XIaejk73",100,6,1,0,0.2,1
21,0.5,2,22,5,103,"1;2","XIaejk73",100,6,1,0,0.2,1
22,1.20401151933781,1,4,5,107,"1;2","XIaejk73",100,6,1,0,0.2,1
23,0.629292588640865,1,1,5,108,"1;2","XIaejk73",100,6,1,0,0.2,1
24,0.5,1,1,5,109,"1;2","XIaejk73",100,6,1,0,0.2,1
25,1.01651714787285,2,-13,5,96,"1;2","XIaejk73",100,6,1,0,0.2,1
1,1.00903136330868,1,-1,6,-1,"1;2","XIaejk73",100,6,1,0,0.2,1
2,1.2309601280081,2,18,6,17,"1;2","XIaejk73",100,6,1,0,0.2,1
3,0.915080374564327,2,31,6,48,"1;2","XIaejk73",100,6,1,0,0.2,1
4,0.865644979752596,2,-14,6,34,"1;2","XIaejk73",100,6,1,0,0.2,1
5,0.653893920261054,2,4,6,38,"1;2","XIaejk73",100,6,1,0,0.2,1
6,1.04613216418018,2,-3,6,35,"1;2","XIaejk73",100,6,1,0,0.2,1
