"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.592735321620528,2,1,1,1,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
2,0.876395293959132,2,-2,1,-1,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
3,0.5,1,1,1,0,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
4,1.45980739557384,1,8,1,8,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
5,0.549160318386512,1,2,1,10,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
6,0.570987054553093,1,3,1,13,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
7,0.678575362371487,1,4,1,17,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
8,1.10064491605161,1,2,1,19,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
9,1.0285151256565,1,1,1,20,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
10,0.920488038371461,2,3,1,23,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
11,1.52751661009864,1,0,1,23,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
12,0.96142931109783,1,0,1,23,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
13,0.601361764081251,1,1,1,24,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
14,0.897925920709089,1,-1,1,23,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
15,0.991182076177578,2,4,1,27,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
16,1.04436253051399,2,1,1,28,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
17,0.5,2,4,1,32,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
18,0.796806742648955,2,3,1,35,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
19,0.854002837927707,2,1,1,36,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
20,1.03320932499757,1,6,1,42,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
1,1.08009818319881,2,4,2,4,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
2,0.645563307554836,2,3,2,7,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
3,0.612147876659967,2,3,2,10,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
4,0.672789272543597,2,5,2,15,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
5,0.5,2,8,2,23,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
6,0.598847159971288,2,2,2,25,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
7,0.797719687074625,1,-6,2,19,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
8,0.880053432651544,2,6,2,25,"2;1","XsDAYrtI",0,1,NA,0,0.93,1
