"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.583610031130333,2,4,1,4,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
2,1.01311960888288,2,5,1,9,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
3,1.0535062721508,1,2,1,11,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
4,0.569213883590771,2,4,1,15,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
5,0.801806384191777,2,4,1,19,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
6,1.08816028476305,2,5,1,24,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
7,0.853581554583507,2,8,1,32,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
8,0.5,2,6,1,38,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
9,0.972946522991898,2,4,1,42,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
10,0.676388531936116,2,4,1,46,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
11,0.881052350353043,1,3,1,49,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
12,0.5,2,4,1,53,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
13,0.72245741356213,1,5,1,58,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
14,0.59603160015814,2,5,1,63,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
15,0.885571232793541,2,6,1,69,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
16,0.909204579434144,2,6,1,75,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
17,0.5,1,9,1,84,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
18,0.5,2,4,1,88,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
19,0.635999958894991,1,5,1,93,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
20,0.5,2,6,1,99,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
1,0.573038256916411,1,5,2,5,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
2,0.776675457752001,1,4,2,9,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
3,0.849199098156827,1,3,2,12,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
4,1.13911567047617,1,5,2,17,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
5,0.848774775957913,1,5,2,22,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
6,1.16156879329936,1,6,2,28,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
7,0.80502638497294,1,2,2,30,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
8,0.870002633312275,2,14,2,44,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
9,1.10334800390372,1,9,2,53,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
10,0.921028583114794,1,6,2,59,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
11,0.608364467177991,1,10,2,69,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
12,0.815620181418375,1,6,2,75,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
13,0.535838067192406,1,4,2,79,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
14,0.771699750602271,1,4,2,83,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
15,0.586644799366482,1,5,2,88,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
16,0.634426595113455,1,4,2,92,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
17,1.18658273852616,1,3,2,95,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
18,1.0270742490928,2,14,2,109,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
19,0.546228736220389,2,-11,2,98,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
20,0.5,1,8,2,106,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
21,0.875171954897962,1,4,2,110,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
22,0.937957055265115,1,9,2,119,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
23,0.968107248571854,2,15,2,134,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
24,0.738276676674205,1,7,2,141,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
25,1.54390192750912,1,1,2,142,"1;2","Y1iyuFCd",0,1,NA,0,1.23,3
1,0.523633940615785,2,7,3,7,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
2,0.5,2,4,3,11,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
3,1.09459628088961,2,7,3,18,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
4,1.11583680177193,1,19,3,37,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
5,0.5,2,6,3,43,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
6,0.952370750321865,1,11,3,54,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
7,1.02034465492823,1,-5,3,49,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
8,0.5,2,2,3,51,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
9,1.04234128190309,2,5,3,56,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
10,0.816366670801783,2,8,3,64,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
11,0.584673496170487,2,2,3,66,"2;1","Y1iyuFCd",0,1,NA,0,1.23,3
