"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.12533838336451,2,3,1,3,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
2,0.5,1,1,1,4,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
3,0.676251318200318,2,5,1,9,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
4,0.723536671440717,1,4,1,13,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
5,0.509131397604452,1,2,1,15,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
6,1.23023977328593,1,5,1,20,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
7,0.5,2,0,1,20,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
8,0.900050240049052,2,3,1,23,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
9,0.5,2,-1,1,22,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
10,0.888837023097807,2,1,1,23,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
11,0.882218217923873,1,1,1,24,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
12,0.889813420497295,2,4,1,28,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
13,1.10731663108137,1,1,1,29,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
14,0.554659793920601,2,5,1,34,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
15,0.648599739145297,2,4,1,38,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
16,1.09726724997422,2,6,1,44,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
17,0.67211237364614,2,4,1,48,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
18,0.848284364691371,2,3,1,51,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
19,0.813023135181869,2,2,1,53,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
20,0.822771689923063,1,2,1,55,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
1,0.818039224197613,2,24,2,24,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
2,0.688881622201362,2,7,2,31,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
3,0.830552670000091,2,2,2,33,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
4,1.16832125094811,2,5,2,38,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
5,0.5,2,2,2,40,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
6,1.05649358150512,2,1,2,41,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
7,0.72578706012901,2,17,2,58,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
8,0.962165559261649,2,13,2,71,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
9,0.64506968834679,2,7,2,78,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
10,0.999827448220547,2,14,2,92,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
11,0.754419569601372,1,3,2,95,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
12,0.689221352888816,2,11,2,106,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
13,1.34440808017696,2,14,2,120,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
14,0.524303032453073,1,7,2,127,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
15,0.64564919317915,2,7,2,134,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
16,0.908932403785227,1,4,2,138,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
17,0.5,1,6,2,144,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
18,0.633454075265003,1,5,2,149,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
19,0.514457187042393,1,-2,2,147,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
20,0.861602165178985,1,4,2,151,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
21,0.877153953949157,1,5,2,156,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
22,0.565333913961376,1,5,2,161,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
23,1.10269848855306,1,6,2,167,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
24,0.744370808445848,2,8,2,175,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
25,0.5,2,21,2,196,"1;2","Y6ArqLhS",100,6,4,0,0.8,1
1,0.779818021638373,2,5,3,5,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
2,0.557716458473097,2,4,3,9,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
3,0.836366848009066,1,-4,3,5,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
4,1.28832456038346,1,9,3,14,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
5,0.86346257935964,1,2,3,16,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
6,0.989712400741282,1,-15,3,1,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
7,0.698087233516616,1,4,3,5,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
8,0.689180950578829,1,4,3,9,"2;1","Y6ArqLhS",100,6,4,0,0.8,1
