"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.10986755801812,1,5,1,5,"1;2","YFfrJgk9",100,6,3,0,0.6,1
2,0.822242875069895,2,0,1,5,"1;2","YFfrJgk9",100,6,3,0,0.6,1
3,0.521400237582518,1,4,1,9,"1;2","YFfrJgk9",100,6,3,0,0.6,1
4,0.911515983826381,1,6,1,15,"1;2","YFfrJgk9",100,6,3,0,0.6,1
5,0.510851788242749,1,5,1,20,"1;2","YFfrJgk9",100,6,3,0,0.6,1
6,0.5,1,3,1,23,"1;2","YFfrJgk9",100,6,3,0,0.6,1
7,1.06947265110325,1,3,1,26,"1;2","YFfrJgk9",100,6,3,0,0.6,1
8,0.5,1,4,1,30,"1;2","YFfrJgk9",100,6,3,0,0.6,1
9,1.05299497691979,2,5,1,35,"1;2","YFfrJgk9",100,6,3,0,0.6,1
10,0.680338059476233,2,5,1,40,"1;2","YFfrJgk9",100,6,3,0,0.6,1
11,0.523332155897678,1,2,1,42,"1;2","YFfrJgk9",100,6,3,0,0.6,1
12,0.5,2,6,1,48,"1;2","YFfrJgk9",100,6,3,0,0.6,1
13,0.83724972459627,2,7,1,55,"1;2","YFfrJgk9",100,6,3,0,0.6,1
14,0.842950087140943,1,4,1,59,"1;2","YFfrJgk9",100,6,3,0,0.6,1
15,0.811841418713056,2,4,1,63,"1;2","YFfrJgk9",100,6,3,0,0.6,1
16,0.896504066121067,2,1,1,64,"1;2","YFfrJgk9",100,6,3,0,0.6,1
17,0.720063775994388,2,3,1,67,"1;2","YFfrJgk9",100,6,3,0,0.6,1
18,0.534614011231231,1,6,1,73,"1;2","YFfrJgk9",100,6,3,0,0.6,1
19,1.03196533381429,2,2,1,75,"1;2","YFfrJgk9",100,6,3,0,0.6,1
20,0.951844886412464,1,7,1,82,"1;2","YFfrJgk9",100,6,3,0,0.6,1
1,1.1009123785515,2,7,2,7,"1;2","YFfrJgk9",100,6,3,0,0.6,1
2,1.06277271558476,1,0,2,7,"1;2","YFfrJgk9",100,6,3,0,0.6,1
3,0.722468569498329,2,9,2,16,"1;2","YFfrJgk9",100,6,3,0,0.6,1
4,0.878119858819308,2,6,2,22,"1;2","YFfrJgk9",100,6,3,0,0.6,1
5,1.29642382913221,2,-29,2,-7,"1;2","YFfrJgk9",100,6,3,0,0.6,1
6,0.5,2,10,2,3,"1;2","YFfrJgk9",100,6,3,0,0.6,1
7,1.08546268213934,2,6,2,9,"1;2","YFfrJgk9",100,6,3,0,0.6,1
8,0.5,2,-1,2,8,"1;2","YFfrJgk9",100,6,3,0,0.6,1
9,0.903907300730513,1,3,2,11,"1;2","YFfrJgk9",100,6,3,0,0.6,1
10,0.887487276808232,2,-7,2,4,"1;2","YFfrJgk9",100,6,3,0,0.6,1
11,0.946637435620705,2,17,2,21,"1;2","YFfrJgk9",100,6,3,0,0.6,1
12,0.999865601004523,1,4,2,25,"1;2","YFfrJgk9",100,6,3,0,0.6,1
13,1.16777302920529,2,19,2,44,"1;2","YFfrJgk9",100,6,3,0,0.6,1
14,0.765557696014986,2,14,2,58,"1;2","YFfrJgk9",100,6,3,0,0.6,1
15,0.581948951648637,2,-3,2,55,"1;2","YFfrJgk9",100,6,3,0,0.6,1
16,1.05795957323365,2,18,2,73,"1;2","YFfrJgk9",100,6,3,0,0.6,1
17,0.681199924399425,2,-12,2,61,"1;2","YFfrJgk9",100,6,3,0,0.6,1
18,1.4374419634,2,7,2,68,"1;2","YFfrJgk9",100,6,3,0,0.6,1
19,1.14212620699011,2,7,2,75,"1;2","YFfrJgk9",100,6,3,0,0.6,1
20,0.812606357514611,2,17,2,92,"1;2","YFfrJgk9",100,6,3,0,0.6,1
21,0.971420701237582,2,-10,2,82,"1;2","YFfrJgk9",100,6,3,0,0.6,1
22,0.5,2,-3,2,79,"1;2","YFfrJgk9",100,6,3,0,0.6,1
23,0.773404643599326,2,32,2,111,"1;2","YFfrJgk9",100,6,3,0,0.6,1
24,0.5,1,5,2,116,"1;2","YFfrJgk9",100,6,3,0,0.6,1
25,0.784765393003864,2,16,2,132,"1;2","YFfrJgk9",100,6,3,0,0.6,1
1,0.919349151904435,2,0,3,0,"1;2","YFfrJgk9",100,6,3,0,0.6,1
2,1.07932911151056,1,4,3,4,"1;2","YFfrJgk9",100,6,3,0,0.6,1
3,0.993243552826788,2,19,3,23,"1;2","YFfrJgk9",100,6,3,0,0.6,1
4,1.29506007595029,2,7,3,30,"1;2","YFfrJgk9",100,6,3,0,0.6,1
5,0.674690377312944,2,-4,3,26,"1;2","YFfrJgk9",100,6,3,0,0.6,1
6,0.5,2,-16,3,10,"1;2","YFfrJgk9",100,6,3,0,0.6,1
7,0.755914081579402,2,0,3,10,"1;2","YFfrJgk9",100,6,3,0,0.6,1
8,0.564108259352876,2,-3,3,7,"1;2","YFfrJgk9",100,6,3,0,0.6,1
9,1.18585814584951,2,15,3,22,"1;2","YFfrJgk9",100,6,3,0,0.6,1
10,1.29670866677953,2,8,3,30,"1;2","YFfrJgk9",100,6,3,0,0.6,1
11,0.878484673591866,2,21,3,51,"1;2","YFfrJgk9",100,6,3,0,0.6,1
12,0.729505602145237,2,7,3,58,"1;2","YFfrJgk9",100,6,3,0,0.6,1
13,0.5,2,-4,3,54,"1;2","YFfrJgk9",100,6,3,0,0.6,1
14,0.520932877506628,2,5,3,59,"1;2","YFfrJgk9",100,6,3,0,0.6,1
15,1.02770687089662,1,4,3,63,"1;2","YFfrJgk9",100,6,3,0,0.6,1
16,0.5,2,-14,3,49,"1;2","YFfrJgk9",100,6,3,0,0.6,1
17,0.843933608774452,1,4,3,53,"1;2","YFfrJgk9",100,6,3,0,0.6,1
18,0.714887560807165,2,5,3,58,"1;2","YFfrJgk9",100,6,3,0,0.6,1
19,0.535173165883215,2,12,3,70,"1;2","YFfrJgk9",100,6,3,0,0.6,1
20,0.834914795425388,2,-6,3,64,"1;2","YFfrJgk9",100,6,3,0,0.6,1
21,0.636253278258648,2,-13,3,51,"1;2","YFfrJgk9",100,6,3,0,0.6,1
22,0.954471347544084,2,15,3,66,"1;2","YFfrJgk9",100,6,3,0,0.6,1
23,0.702374847921506,2,15,3,81,"1;2","YFfrJgk9",100,6,3,0,0.6,1
24,0.80716300630224,2,13,3,94,"1;2","YFfrJgk9",100,6,3,0,0.6,1
25,0.5,2,-22,3,72,"1;2","YFfrJgk9",100,6,3,0,0.6,1
