"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.818660652860927,2,6,1,6,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
2,0.82003961834074,2,5,1,11,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
3,0.5,1,2,1,13,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
4,0.629214338009963,2,3,1,16,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
5,0.836822750082732,2,3,1,19,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
6,1.43781166396248,2,3,1,22,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
7,0.869071554043429,1,6,1,28,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
8,0.963773891468262,1,1,1,29,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
9,1.20985495851817,1,5,1,34,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
10,0.636129833683056,1,2,1,36,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
11,1.04919867879433,1,6,1,42,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
12,1.20260270188981,1,3,1,45,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
13,1.2429715089976,1,2,1,47,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
14,0.845632480505656,1,4,1,51,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
15,0.769473182768207,2,3,1,54,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
16,0.637835499167121,1,4,1,58,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
17,0.988212999091143,1,5,1,63,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
18,0.503061602726581,2,2,1,65,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
19,0.857859908276162,2,4,1,69,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
20,0.668577683484941,2,5,1,74,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
1,0.5,1,4,2,4,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
2,0.903501347858817,2,5,2,9,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
3,0.5,2,-15,2,-6,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
4,0.806170596060773,2,8,2,2,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
5,0.869645921795603,2,-12,2,-10,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
6,0.951480131751608,2,-20,2,-30,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
7,0.874074912299892,2,-2,2,-32,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
8,0.722370316963987,2,-8,2,-40,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
9,0.806646411268837,2,5,2,-35,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
10,0.539342585860094,2,10,2,-25,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
11,0.5,2,2,2,-23,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
12,1.11363665147172,2,1,2,-22,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
13,0.95243098036508,2,13,2,-9,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
14,0.692465095871636,2,16,2,7,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
15,0.5,2,-7,2,0,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
16,0.614875982166988,2,-1,2,-1,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
17,0.606931781643318,2,15,2,14,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
18,0.669862786940411,2,1,2,15,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
19,1.04796908193721,2,-10,2,5,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
20,0.977843321745407,2,12,2,17,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
21,0.709525481030315,2,11,2,28,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
22,0.93462467706953,2,-6,2,22,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
23,0.584631657441316,2,16,2,38,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
24,0.813780207965729,2,-9,2,29,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
25,0.95351381671474,1,5,2,34,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
1,0.672242598232381,1,2,3,2,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
2,0.780176793249588,2,2,3,4,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
3,1.11135234124956,2,-2,3,2,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
4,1.17657956053308,2,30,3,32,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
5,0.5,2,6,3,38,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
6,0.613933076739738,2,34,3,72,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
7,0.5,2,13,3,85,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
8,0.841336556261446,2,-9,3,76,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
9,0.5,2,-2,3,74,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
10,0.804957555071602,2,6,3,80,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
11,0.786333338447655,2,8,3,88,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
12,0.5,2,3,3,91,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
13,0.851552673038972,2,-6,3,85,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
14,0.5,2,24,3,109,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
15,0.788127614582472,1,6,3,115,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
16,0.5,1,4,3,119,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
17,0.789757027587372,1,7,3,126,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
18,0.68104141879312,1,1,3,127,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
19,0.5,1,5,3,132,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
20,1.20482531041151,1,5,3,137,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
21,1.08506996357078,1,6,3,143,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
22,1.10838467222714,1,7,3,150,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
23,0.935081317896228,1,8,3,158,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
24,0.749687375275974,1,4,3,162,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
25,0.77435199315674,2,0,3,162,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
1,1.08068164070407,2,12,4,12,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
2,0.584072901870308,1,4,4,16,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
3,1.06269889947607,2,-10,4,6,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
4,0.603829918828605,2,-8,4,-2,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
5,1.06860629817369,2,7,4,5,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
6,0.757573222724916,2,-1,4,4,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
7,1.02250254280039,2,0,4,4,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
8,0.816564497089215,2,-4,4,0,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
9,0.870682054703616,2,8,4,8,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
10,0.615514902330745,2,32,4,40,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
11,0.802147371834393,2,5,4,45,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
12,0.835173917643618,2,0,4,45,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
13,0.985499472811097,2,-14,4,31,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
14,0.997033558985932,2,3,4,34,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
15,0.677651307954023,2,-8,4,26,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
16,1.04742065908145,2,4,4,30,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
17,0.558848309397927,2,17,4,47,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
18,0.900530248906742,2,-1,4,46,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
19,0.852431981236699,2,4,4,50,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
20,0.680196849711759,2,-2,4,48,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
21,0.853039992160433,2,-1,4,47,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
22,0.723731992913122,2,-2,4,45,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
23,0.5,2,19,4,64,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
24,0.5,2,10,4,74,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
25,0.940669384598161,1,2,4,76,"1;2","ZpYyyzQ7",100,4,4,0,0.8,3
1,0.5,2,3,5,3,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
2,1.1855628954457,2,4,5,7,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
3,0.650623276716378,1,8,5,15,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
4,1.03578864172636,2,3,5,18,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
5,0.918286754448266,1,-4,5,14,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
6,1.08188876331939,1,15,5,29,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
7,0.550852984345586,1,13,5,42,"2;1","ZpYyyzQ7",100,4,4,0,0.8,3
