"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02105644532387,1,2,1,2,"2;1","aOj5o16j",100,6,1,0,0.2,1
2,1.25295943141814,2,3,1,5,"2;1","aOj5o16j",100,6,1,0,0.2,1
3,0.855019693091109,1,2,1,7,"2;1","aOj5o16j",100,6,1,0,0.2,1
4,1.44120230199648,1,2,1,9,"2;1","aOj5o16j",100,6,1,0,0.2,1
5,1.01984548185299,1,6,1,15,"2;1","aOj5o16j",100,6,1,0,0.2,1
6,0.5,1,4,1,19,"2;1","aOj5o16j",100,6,1,0,0.2,1
7,0.5,2,6,1,25,"2;1","aOj5o16j",100,6,1,0,0.2,1
8,0.979593290271163,2,3,1,28,"2;1","aOj5o16j",100,6,1,0,0.2,1
9,0.661837563692508,1,1,1,29,"2;1","aOj5o16j",100,6,1,0,0.2,1
10,0.557886416801549,2,2,1,31,"2;1","aOj5o16j",100,6,1,0,0.2,1
11,1.28063380032305,2,5,1,36,"2;1","aOj5o16j",100,6,1,0,0.2,1
12,1.09806365222776,2,7,1,43,"2;1","aOj5o16j",100,6,1,0,0.2,1
13,0.624481367842674,2,5,1,48,"2;1","aOj5o16j",100,6,1,0,0.2,1
14,0.5,2,2,1,50,"2;1","aOj5o16j",100,6,1,0,0.2,1
15,0.506302236752668,1,6,1,56,"2;1","aOj5o16j",100,6,1,0,0.2,1
16,0.965255951071197,1,1,1,57,"2;1","aOj5o16j",100,6,1,0,0.2,1
17,0.791218675059556,1,4,1,61,"2;1","aOj5o16j",100,6,1,0,0.2,1
18,1.01427605648526,2,2,1,63,"2;1","aOj5o16j",100,6,1,0,0.2,1
19,0.946699607073788,1,0,1,63,"2;1","aOj5o16j",100,6,1,0,0.2,1
20,1.15718478344068,1,8,1,71,"2;1","aOj5o16j",100,6,1,0,0.2,1
1,0.609714749158005,2,4,2,4,"2;1","aOj5o16j",100,6,1,0,0.2,1
2,0.60581485656691,1,5,2,9,"2;1","aOj5o16j",100,6,1,0,0.2,1
3,0.694987714642039,1,-14,2,-5,"2;1","aOj5o16j",100,6,1,0,0.2,1
4,0.778315955774952,1,7,2,2,"2;1","aOj5o16j",100,6,1,0,0.2,1
5,0.927225286135806,2,-1,2,1,"2;1","aOj5o16j",100,6,1,0,0.2,1
6,0.803155983518422,1,-13,2,-12,"2;1","aOj5o16j",100,6,1,0,0.2,1
7,0.762204818089766,1,-9,2,-21,"2;1","aOj5o16j",100,6,1,0,0.2,1
8,0.900012821623829,1,-2,2,-23,"2;1","aOj5o16j",100,6,1,0,0.2,1
9,0.53211177888524,1,2,2,-21,"2;1","aOj5o16j",100,6,1,0,0.2,1
10,1.16620076174635,1,9,2,-12,"2;1","aOj5o16j",100,6,1,0,0.2,1
11,0.5,2,3,2,-9,"2;1","aOj5o16j",100,6,1,0,0.2,1
