"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.813923170725337,1,3,1,3,"2;1","aV2oVQFJ",100,5,5,0,1,2
2,0.520697724617321,2,0,1,3,"2;1","aV2oVQFJ",100,5,5,0,1,2
3,0.669833854343391,1,4,1,7,"2;1","aV2oVQFJ",100,5,5,0,1,2
4,0.781888086009889,1,2,1,9,"2;1","aV2oVQFJ",100,5,5,0,1,2
5,0.981368275718296,2,3,1,12,"2;1","aV2oVQFJ",100,5,5,0,1,2
6,0.729311717709793,1,2,1,14,"2;1","aV2oVQFJ",100,5,5,0,1,2
7,0.5,2,-1,1,13,"2;1","aV2oVQFJ",100,5,5,0,1,2
8,0.664409673197562,1,6,1,19,"2;1","aV2oVQFJ",100,5,5,0,1,2
9,0.550933418373574,2,3,1,22,"2;1","aV2oVQFJ",100,5,5,0,1,2
10,0.502171353893059,1,-1,1,21,"2;1","aV2oVQFJ",100,5,5,0,1,2
11,0.901418421958333,1,3,1,24,"2;1","aV2oVQFJ",100,5,5,0,1,2
12,0.782415294773391,1,5,1,29,"2;1","aV2oVQFJ",100,5,5,0,1,2
13,0.91239737104318,1,2,1,31,"2;1","aV2oVQFJ",100,5,5,0,1,2
14,0.5,1,4,1,35,"2;1","aV2oVQFJ",100,5,5,0,1,2
15,0.5,2,6,1,41,"2;1","aV2oVQFJ",100,5,5,0,1,2
16,0.5,1,3,1,44,"2;1","aV2oVQFJ",100,5,5,0,1,2
17,0.68585967071625,2,2,1,46,"2;1","aV2oVQFJ",100,5,5,0,1,2
18,0.546780969092211,1,2,1,48,"2;1","aV2oVQFJ",100,5,5,0,1,2
19,1.08578385912909,2,8,1,56,"2;1","aV2oVQFJ",100,5,5,0,1,2
20,0.737872429354126,2,1,1,57,"2;1","aV2oVQFJ",100,5,5,0,1,2
1,0.775248692124168,2,0,2,0,"2;1","aV2oVQFJ",100,5,5,0,1,2
2,0.868488666508044,1,-6,2,-6,"2;1","aV2oVQFJ",100,5,5,0,1,2
3,0.91808515445403,2,2,2,-4,"2;1","aV2oVQFJ",100,5,5,0,1,2
4,0.5,1,8,2,4,"2;1","aV2oVQFJ",100,5,5,0,1,2
5,0.884656548383814,1,24,2,28,"2;1","aV2oVQFJ",100,5,5,0,1,2
6,0.5,1,9,2,37,"2;1","aV2oVQFJ",100,5,5,0,1,2
7,0.854410650256039,2,3,2,40,"2;1","aV2oVQFJ",100,5,5,0,1,2
8,0.628572498158581,2,7,2,47,"2;1","aV2oVQFJ",100,5,5,0,1,2
9,0.5,1,1,2,48,"2;1","aV2oVQFJ",100,5,5,0,1,2
10,1.34317021903119,1,9,2,57,"2;1","aV2oVQFJ",100,5,5,0,1,2
11,0.980825964967589,1,-8,2,49,"2;1","aV2oVQFJ",100,5,5,0,1,2
12,1.14734901549783,2,3,2,52,"2;1","aV2oVQFJ",100,5,5,0,1,2
13,0.594284776538926,1,10,2,62,"2;1","aV2oVQFJ",100,5,5,0,1,2
14,1.18822888814608,2,5,2,67,"2;1","aV2oVQFJ",100,5,5,0,1,2
15,0.629496581703848,1,1,2,68,"2;1","aV2oVQFJ",100,5,5,0,1,2
16,0.633438043853284,2,2,2,70,"2;1","aV2oVQFJ",100,5,5,0,1,2
17,0.733873121094611,1,4,2,74,"2;1","aV2oVQFJ",100,5,5,0,1,2
18,0.545914615423713,1,1,2,75,"2;1","aV2oVQFJ",100,5,5,0,1,2
19,1.01264006250728,2,0,2,75,"2;1","aV2oVQFJ",100,5,5,0,1,2
20,0.892671836323944,1,22,2,97,"2;1","aV2oVQFJ",100,5,5,0,1,2
21,1.13424830425422,1,11,2,108,"2;1","aV2oVQFJ",100,5,5,0,1,2
22,0.943219664381505,1,21,2,129,"2;1","aV2oVQFJ",100,5,5,0,1,2
23,1.29667536838821,1,-1,2,128,"2;1","aV2oVQFJ",100,5,5,0,1,2
24,0.973525177361312,2,3,2,131,"2;1","aV2oVQFJ",100,5,5,0,1,2
