"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.992873323278977,2,4,1,4,"2;1","aYtr3RCt",100,4,8,0,1.6,1
2,0.594564716934541,2,2,1,6,"2;1","aYtr3RCt",100,4,8,0,1.6,1
3,0.834527510465441,1,5,1,11,"2;1","aYtr3RCt",100,4,8,0,1.6,1
4,0.599971686655823,2,5,1,16,"2;1","aYtr3RCt",100,4,8,0,1.6,1
5,0.95727326300843,2,5,1,21,"2;1","aYtr3RCt",100,4,8,0,1.6,1
6,0.502217350359653,1,1,1,22,"2;1","aYtr3RCt",100,4,8,0,1.6,1
7,0.648511018449059,2,4,1,26,"2;1","aYtr3RCt",100,4,8,0,1.6,1
8,0.579942285838482,1,3,1,29,"2;1","aYtr3RCt",100,4,8,0,1.6,1
9,0.651774273014007,2,1,1,30,"2;1","aYtr3RCt",100,4,8,0,1.6,1
10,0.88555205970228,1,0,1,30,"2;1","aYtr3RCt",100,4,8,0,1.6,1
11,0.5,2,4,1,34,"2;1","aYtr3RCt",100,4,8,0,1.6,1
12,0.680107287559154,2,2,1,36,"2;1","aYtr3RCt",100,4,8,0,1.6,1
13,0.764001072450564,2,3,1,39,"2;1","aYtr3RCt",100,4,8,0,1.6,1
14,0.5,1,2,1,41,"2;1","aYtr3RCt",100,4,8,0,1.6,1
15,0.921339995982018,2,4,1,45,"2;1","aYtr3RCt",100,4,8,0,1.6,1
16,0.820630343076064,2,5,1,50,"2;1","aYtr3RCt",100,4,8,0,1.6,1
17,0.952031564543756,2,6,1,56,"2;1","aYtr3RCt",100,4,8,0,1.6,1
18,0.573741458630813,1,6,1,62,"2;1","aYtr3RCt",100,4,8,0,1.6,1
19,0.5,1,1,1,63,"2;1","aYtr3RCt",100,4,8,0,1.6,1
20,0.788813306397188,2,4,1,67,"2;1","aYtr3RCt",100,4,8,0,1.6,1
1,1.06030990589359,2,5,2,5,"2;1","aYtr3RCt",100,4,8,0,1.6,1
2,0.566021530567474,1,9,2,14,"2;1","aYtr3RCt",100,4,8,0,1.6,1
3,1.11157826582525,1,7,2,21,"2;1","aYtr3RCt",100,4,8,0,1.6,1
4,0.725928632598121,1,12,2,33,"2;1","aYtr3RCt",100,4,8,0,1.6,1
5,0.561642166110792,1,-6,2,27,"2;1","aYtr3RCt",100,4,8,0,1.6,1
6,1.21134886413821,2,3,2,30,"2;1","aYtr3RCt",100,4,8,0,1.6,1
7,0.996990819824485,1,5,2,35,"2;1","aYtr3RCt",100,4,8,0,1.6,1
8,1.14358685231721,1,10,2,45,"2;1","aYtr3RCt",100,4,8,0,1.6,1
9,0.711712325804467,1,24,2,69,"2;1","aYtr3RCt",100,4,8,0,1.6,1
10,0.950573907699299,2,2,2,71,"2;1","aYtr3RCt",100,4,8,0,1.6,1
11,0.908870483564735,2,9,2,80,"2;1","aYtr3RCt",100,4,8,0,1.6,1
12,0.811691583953859,1,-7,2,73,"2;1","aYtr3RCt",100,4,8,0,1.6,1
13,0.934549746474302,2,2,2,75,"2;1","aYtr3RCt",100,4,8,0,1.6,1
14,0.746755221187538,1,-11,2,64,"2;1","aYtr3RCt",100,4,8,0,1.6,1
15,0.635618861999858,1,12,2,76,"2;1","aYtr3RCt",100,4,8,0,1.6,1
16,0.651653733039691,2,3,2,79,"2;1","aYtr3RCt",100,4,8,0,1.6,1
17,0.862799152772519,2,5,2,84,"2;1","aYtr3RCt",100,4,8,0,1.6,1
18,0.5,2,3,2,87,"2;1","aYtr3RCt",100,4,8,0,1.6,1
19,0.967212335164344,1,12,2,99,"2;1","aYtr3RCt",100,4,8,0,1.6,1
20,0.684757743348628,2,3,2,102,"2;1","aYtr3RCt",100,4,8,0,1.6,1
21,0.736011675251438,2,4,2,106,"2;1","aYtr3RCt",100,4,8,0,1.6,1
22,0.870074907188835,1,3,2,109,"2;1","aYtr3RCt",100,4,8,0,1.6,1
23,0.913935448910372,2,8,2,117,"2;1","aYtr3RCt",100,4,8,0,1.6,1
24,0.5,1,3,2,120,"2;1","aYtr3RCt",100,4,8,0,1.6,1
25,0.639314179253489,1,0,2,120,"2;1","aYtr3RCt",100,4,8,0,1.6,1
1,0.820322314883596,2,7,3,7,"2;1","aYtr3RCt",100,4,8,0,1.6,1
2,0.943270158479428,1,3,3,10,"2;1","aYtr3RCt",100,4,8,0,1.6,1
3,0.658993150456904,1,1,3,11,"2;1","aYtr3RCt",100,4,8,0,1.6,1
4,0.5,2,2,3,13,"2;1","aYtr3RCt",100,4,8,0,1.6,1
5,0.798705134822367,2,5,3,18,"2;1","aYtr3RCt",100,4,8,0,1.6,1
6,0.653553733645129,2,2,3,20,"2;1","aYtr3RCt",100,4,8,0,1.6,1
7,0.932338943023062,2,5,3,25,"2;1","aYtr3RCt",100,4,8,0,1.6,1
8,0.812256925556683,1,-2,3,23,"2;1","aYtr3RCt",100,4,8,0,1.6,1
9,1.35346250571402,2,2,3,25,"2;1","aYtr3RCt",100,4,8,0,1.6,1
10,1.14391968244802,2,6,3,31,"2;1","aYtr3RCt",100,4,8,0,1.6,1
11,0.646670737103806,2,8,3,39,"2;1","aYtr3RCt",100,4,8,0,1.6,1
12,0.627067272935411,2,4,3,43,"2;1","aYtr3RCt",100,4,8,0,1.6,1
13,0.739305360384582,2,2,3,45,"2;1","aYtr3RCt",100,4,8,0,1.6,1
14,0.5,2,4,3,49,"2;1","aYtr3RCt",100,4,8,0,1.6,1
15,0.78703898706822,2,4,3,53,"2;1","aYtr3RCt",100,4,8,0,1.6,1
16,1.07034566461859,1,-5,3,48,"2;1","aYtr3RCt",100,4,8,0,1.6,1
17,0.695343955713757,2,3,3,51,"2;1","aYtr3RCt",100,4,8,0,1.6,1
18,0.971362390938656,1,8,3,59,"2;1","aYtr3RCt",100,4,8,0,1.6,1
19,0.5,1,-3,3,56,"2;1","aYtr3RCt",100,4,8,0,1.6,1
20,0.86722943722386,1,-12,3,44,"2;1","aYtr3RCt",100,4,8,0,1.6,1
21,1.38350957620237,1,0,3,44,"2;1","aYtr3RCt",100,4,8,0,1.6,1
22,1.04532243107683,1,20,3,64,"2;1","aYtr3RCt",100,4,8,0,1.6,1
23,0.540370064438367,1,-4,3,60,"2;1","aYtr3RCt",100,4,8,0,1.6,1
24,1.09086013171596,1,18,3,78,"2;1","aYtr3RCt",100,4,8,0,1.6,1
25,0.889235314500924,1,-3,3,75,"2;1","aYtr3RCt",100,4,8,0,1.6,1
1,0.885333274117623,1,7,4,7,"1;2","aYtr3RCt",100,4,8,0,1.6,1
2,0.800825596048385,1,7,4,14,"1;2","aYtr3RCt",100,4,8,0,1.6,1
3,1.09516039803493,2,4,4,18,"1;2","aYtr3RCt",100,4,8,0,1.6,1
4,0.616286780999037,1,11,4,29,"1;2","aYtr3RCt",100,4,8,0,1.6,1
5,1.14190226186567,1,0,4,29,"1;2","aYtr3RCt",100,4,8,0,1.6,1
6,0.749996161030272,1,4,4,33,"1;2","aYtr3RCt",100,4,8,0,1.6,1
7,0.900529078054274,1,3,4,36,"1;2","aYtr3RCt",100,4,8,0,1.6,1
8,0.662679114104261,1,6,4,42,"1;2","aYtr3RCt",100,4,8,0,1.6,1
9,0.546430089291733,1,2,4,44,"1;2","aYtr3RCt",100,4,8,0,1.6,1
10,0.930269227122134,1,5,4,49,"1;2","aYtr3RCt",100,4,8,0,1.6,1
11,1.36902025473826,2,10,4,59,"1;2","aYtr3RCt",100,4,8,0,1.6,1
12,0.5,2,9,4,68,"1;2","aYtr3RCt",100,4,8,0,1.6,1
13,0.821119505331233,2,21,4,89,"1;2","aYtr3RCt",100,4,8,0,1.6,1
