"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.725279465868657,1,5,1,5,"2;1","azIxPfGf",100,6,5,0,1,2
2,0.621326268762669,2,2,1,7,"2;1","azIxPfGf",100,6,5,0,1,2
3,0.953501114702485,1,5,1,12,"2;1","azIxPfGf",100,6,5,0,1,2
4,1.05026823763095,2,3,1,15,"2;1","azIxPfGf",100,6,5,0,1,2
5,0.64851000635196,1,-2,1,13,"2;1","azIxPfGf",100,6,5,0,1,2
6,0.520338009552686,2,3,1,16,"2;1","azIxPfGf",100,6,5,0,1,2
7,0.605267225968983,1,2,1,18,"2;1","azIxPfGf",100,6,5,0,1,2
8,0.5,2,3,1,21,"2;1","azIxPfGf",100,6,5,0,1,2
9,0.5,1,5,1,26,"2;1","azIxPfGf",100,6,5,0,1,2
10,0.968875696444835,2,6,1,32,"2;1","azIxPfGf",100,6,5,0,1,2
11,0.5,1,2,1,34,"2;1","azIxPfGf",100,6,5,0,1,2
12,0.824513743366675,1,6,1,40,"2;1","azIxPfGf",100,6,5,0,1,2
13,0.837260480390411,1,6,1,46,"2;1","azIxPfGf",100,6,5,0,1,2
14,1.1032983809738,2,0,1,46,"2;1","azIxPfGf",100,6,5,0,1,2
15,1.05676603288671,1,3,1,49,"2;1","azIxPfGf",100,6,5,0,1,2
16,0.937404720089584,1,2,1,51,"2;1","azIxPfGf",100,6,5,0,1,2
17,0.993176415944981,1,5,1,56,"2;1","azIxPfGf",100,6,5,0,1,2
18,0.874770440112622,2,0,1,56,"2;1","azIxPfGf",100,6,5,0,1,2
19,1.04996279912862,2,0,1,56,"2;1","azIxPfGf",100,6,5,0,1,2
20,0.755064615600569,2,2,1,58,"2;1","azIxPfGf",100,6,5,0,1,2
1,1.01010697622001,1,6,2,6,"1;2","azIxPfGf",100,6,5,0,1,2
2,0.664588804599503,2,2,2,8,"1;2","azIxPfGf",100,6,5,0,1,2
3,0.5,2,-3,2,5,"1;2","azIxPfGf",100,6,5,0,1,2
4,0.5,2,-1,2,4,"1;2","azIxPfGf",100,6,5,0,1,2
